agents,classification,left_method,left_ratio,left_runtime_ms,left_success,map,mismatched_fields,right_method,right_ratio,right_runtime_ms,right_success,scen,seed,time_limit_ms
100,time_budget_sensitivity,lacam_star_ltm,1.35241041506,2907.7945,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_additive,1.48517659191,3024.4621,True,maze-32-32-4-random-8.scen,8,3000.0
100,time_budget_sensitivity,repair5f_static_c100_b100_w075_d090,1.39365815932,2737.7952,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_c100_b100_w075_d090,1.48517659191,3141.573,True,maze-32-32-4-random-8.scen,8,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09828465461,3190.2974,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",repair5f_candidate_additive_ltm,1.09596662031,4572.8987,True,warehouse-10-20-10-2-1-random-14.scen,14,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09828465461,3190.2974,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",laur_disable,1.09596662031,4616.9522,True,warehouse-10-20-10-2-1-random-14.scen,14,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09828465461,3190.2974,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",laur_force_additive_direct,1.09596662031,4662.3849,True,warehouse-10-20-10-2-1-random-14.scen,14,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09828465461,3190.2974,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g_dual_additive_parity,1.09596662031,4461.239,True,warehouse-10-20-10-2-1-random-14.scen,14,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09828465461,3190.2974,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_additive,1.09596662031,5204.2377,True,warehouse-10-20-10-2-1-random-14.scen,14,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.07951002227,4692.868,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g_dual_additive_parity,1.10178173719,3122.5047,True,warehouse-10-20-10-2-1-random-16.scen,16,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.07951002227,4692.868,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_additive,1.10178173719,3124.4891,True,warehouse-10-20-10-2-1-random-16.scen,16,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.07680452094,4841.2591,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio",repair5g_dual_additive_parity,1.08091446185,3136.0034,True,warehouse-10-20-10-2-1-random-17.scen,17,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09402423736,3077.3775,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",always_additive_defer,1.13748432929,3148.8997,True,warehouse-10-20-10-2-1-random-21.scen,21,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09402423736,3077.3775,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",repair5f_candidate_additive_ltm,1.13748432929,3134.3393,True,warehouse-10-20-10-2-1-random-21.scen,21,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09402423736,3077.3775,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",laur_disable,1.13748432929,3230.584,True,warehouse-10-20-10-2-1-random-21.scen,21,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09402423736,3077.3775,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",laur_force_additive_direct,1.13748432929,3140.7865,True,warehouse-10-20-10-2-1-random-21.scen,21,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09402423736,3077.3775,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g_dual_additive_parity,1.13748432929,3166.2494,True,warehouse-10-20-10-2-1-random-21.scen,21,3000.0
50,time_budget_sensitivity,lacam_star_ltm,1.09402423736,3077.3775,True,warehouse-10-20-10-2-1,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_additive,1.13748432929,3298.4592,True,warehouse-10-20-10-2-1-random-21.scen,21,3000.0
100,time_budget_sensitivity,lacam_star_ltm,,3133.2626,False,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",always_additive_defer,1.14952279958,3134.4127,True,warehouse-10-20-10-2-1-random-1.scen,1,3000.0
100,time_budget_sensitivity,lacam_star_ltm,,3133.2626,False,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5f_candidate_additive_ltm,1.14952279958,6666.9207,True,warehouse-10-20-10-2-1-random-1.scen,1,3000.0
100,time_budget_sensitivity,lacam_star_ltm,,3133.2626,False,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",laur_disable,1.14952279958,3127.1741,True,warehouse-10-20-10-2-1-random-1.scen,1,3000.0
100,time_budget_sensitivity,lacam_star_ltm,,3133.2626,False,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",laur_force_additive_direct,1.14952279958,3077.5364,True,warehouse-10-20-10-2-1-random-1.scen,1,3000.0
100,time_budget_sensitivity,lacam_star_ltm,,3133.2626,False,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5g_dual_additive_parity,1.14952279958,3085.9289,True,warehouse-10-20-10-2-1-random-1.scen,1,3000.0
100,time_budget_sensitivity,lacam_star_ltm,,3133.2626,False,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_additive,1.14952279958,3066.3236,True,warehouse-10-20-10-2-1-random-1.scen,1,3000.0
100,time_budget_sensitivity,repair5f_static_c100_b100_w075_d090,1.14952279958,3207.814,True,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_c100_b100_w075_d090,,3131.7825,False,warehouse-10-20-10-2-1-random-1.scen,1,3000.0
100,time_budget_sensitivity,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,1.14952279958,3222.7531,True,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_c125_b125_w075_d095,,3140.6155,False,warehouse-10-20-10-2-1-random-1.scen,1,3000.0
100,time_budget_sensitivity,lacam_star_ltm,,3124.2932,False,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",always_additive_defer,1.19301348662,3118.963,True,warehouse-10-20-10-2-1-random-2.scen,2,3000.0
100,time_budget_sensitivity,lacam_star_ltm,,3124.2932,False,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_additive,1.19301348662,3076.2533,True,warehouse-10-20-10-2-1-random-2.scen,2,3000.0
100,time_budget_sensitivity,repair5f_static_c100_b100_w075_d090,1.19301348662,3169.9199,True,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_c100_b100_w075_d090,,3132.3549,False,warehouse-10-20-10-2-1-random-2.scen,2,3000.0
100,time_budget_sensitivity,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,,3235.1784,False,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_c125_b125_w075_d095,1.19301348662,6721.5577,True,warehouse-10-20-10-2-1-random-2.scen,2,3000.0
100,time_budget_sensitivity,lacam_star_ltm,1.17460899316,3094.0314,True,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",laur_force_additive_direct,,3129.0764,False,warehouse-10-20-10-2-1-random-3.scen,3,3000.0
100,time_budget_sensitivity,repair5f_static_c100_b100_w075_d090,1.17460899316,3085.1528,True,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_c100_b100_w075_d090,,3121.9936,False,warehouse-10-20-10-2-1-random-3.scen,3,3000.0
100,time_budget_sensitivity,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,1.17460899316,3137.4136,True,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5g_dual_c_equiv_c125_b125_w075_d095,,3127.4558,False,warehouse-10-20-10-2-1-random-3.scen,3,3000.0
100,time_budget_sensitivity,lacam_star_ltm,1.13349646547,6563.7023,True,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",repair5f_candidate_additive_ltm,,3127.9103,False,warehouse-10-20-10-2-1-random-4.scen,4,3000.0
100,time_budget_sensitivity,lacam_star_ltm,1.13349646547,6563.7023,True,warehouse-10-20-10-2-1,"success,sum_of_loss,lower_bound,sum_of_loss_ratio,makespan",laur_disable,,3130.4142,False,warehouse-10-20-10-2-1-random-4.scen,4,3000.0
