replay_phase,plan_row_id,context_id,candidate_id,agent_count,budget_role,solver_internal_time_limit_sec,process_hard_timeout_sec,expected_process_hard_timeout_sec,explicit_internal_budget,explicit_hard_timeout,uniform_30s_budget_contract_met,large_agent_30s_budget_contract_met,row_budget_audit_decision,row_budget_audit_failures,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
stage2a_diagnostic_a5_label_train,g567_stage2a_diagnostic_a5_label_train_00000000,g567_stage2a_label_train_00000,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
stage2a_diagnostic_a5_label_train,g567_stage2a_diagnostic_a5_label_train_00000001,g567_stage2a_label_train_00000,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
stage2a_diagnostic_a5_label_train,g567_stage2a_diagnostic_a5_label_train_00000002,g567_stage2a_label_train_00000,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
stage2a_diagnostic_a5_label_train,g567_stage2a_diagnostic_a5_label_train_00000003,g567_stage2a_label_train_00001,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
stage2a_diagnostic_a5_label_train,g567_stage2a_diagnostic_a5_label_train_00000004,g567_stage2a_label_train_00001,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
stage2a_diagnostic_a5_label_train,g567_stage2a_diagnostic_a5_label_train_00000005,g567_stage2a_label_train_00001,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
stage2a_diagnostic_a5_label_train,g567_stage2a_diagnostic_a5_label_train_00000006,g567_stage2a_label_train_00002,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
stage2a_diagnostic_a5_label_train,g567_stage2a_diagnostic_a5_label_train_00000007,g567_stage2a_label_train_00002,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
stage2a_diagnostic_a5_label_train,g567_stage2a_diagnostic_a5_label_train_00000008,g567_stage2a_label_train_00002,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
stage2a_diagnostic_a5_label_train,g567_stage2a_diagnostic_a5_label_train_00000009,g567_stage2a_label_train_00003,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
