plan_row_id,replay_phase,context_id,g567_dataset_row_id,g567_instance_uid,g567_evaluation_uid,g567_identity_digest,g567_scenario_sha256,g567_physical_map_sha256,g567_assignment_sha256,split,map,map_family,agents,agent_count,seed,budget_ms,nominal_budget_ms,short_budget_ms,base_time_limit_sec,budget_role,ltm_max_iterations,horizon_id,scientific_horizon_id,solver_execution_id,role,candidate_id,theta_id,materialized_method,generated_theta_uid,sampling_policy,model_path,variant_id,actor_training_seed,expected_updateparams_fingerprint,replicate_id,replicate_group_id,execution_order_index,cpu_affinity,worker_count,OMP_NUM_THREADS,MKL_NUM_THREADS,OPENBLAS_NUM_THREADS,host_load_snapshot,solver_internal_time_limit_sec,process_hard_timeout_sec,method_start_timestamp,method_end_timestamp,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none
g567_stage2a_diagnostic_a5_label_train_00000000,stage2a_diagnostic_a5_label_train,g567_stage2a_label_train_00000,g567_stage2a_label_train_00000,9d9273da4278bb6cd0df7beff80e88eff355fb733bd2f6a4d929cc8e73fcedfe,51b68bd7a772529027cbcf1612c11149ee4848176ffe985039423372e5be65e9,6c9e657300b58fc60bf295c4acbe5a9ef6cec4c136e8f32628f610b047bc45db,554b436fac41da930cdf58eb0f99c875f3ae8ea7dff79e8a5dbe3ce10f28aa86,7ed06f65e284271f3673e1a421485098568a1776fa5c2694648905e9d3d22e0a,7e6938e05bf25b169c84691cbca5b4021aba31de27844bd48fd760caef18f1ae,LABEL_TRAIN,g567-connector-24x24-a-v3,connector,32,32,567000639,30000,30000,30000,30.0,uniform_30s_all_agent_tiers_primary_exact,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,tierA_additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,force_additive=1|enable_dual_channel=0,0,dd0ed59f151c2ef67c95f61c98d109e587255e59425e649294e4d5ab857cb5c8,0,,1,1,1,1,,30.0,60.0,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g567_stage2a_diagnostic_a5_label_train_00000001,stage2a_diagnostic_a5_label_train,g567_stage2a_label_train_00000,g567_stage2a_label_train_00000,9d9273da4278bb6cd0df7beff80e88eff355fb733bd2f6a4d929cc8e73fcedfe,51b68bd7a772529027cbcf1612c11149ee4848176ffe985039423372e5be65e9,b569b49bd3493fd6a896fbde57b196bd25fccc0489e2079905be5d50072addcb,554b436fac41da930cdf58eb0f99c875f3ae8ea7dff79e8a5dbe3ce10f28aa86,7ed06f65e284271f3673e1a421485098568a1776fa5c2694648905e9d3d22e0a,7e6938e05bf25b169c84691cbca5b4021aba31de27844bd48fd760caef18f1ae,LABEL_TRAIN,g567-connector-24x24-a-v3,connector,32,32,567000639,30000,30000,30000,30.0,uniform_30s_all_agent_tiers_primary_exact,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,tierB_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,b80282dad2dac9ec7f57071664305c9668e3d211ef55f7174ab0a2c049253f2f,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,0,ed8b7210dd7a3b237ef312c6149d1d9e8c6ddf6e14e1f5037402a764498ee654,1,,1,1,1,1,,30.0,60.0,,,False,False,False,False,False,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0
g567_stage2a_diagnostic_a5_label_train_00000002,stage2a_diagnostic_a5_label_train,g567_stage2a_label_train_00000,g567_stage2a_label_train_00000,9d9273da4278bb6cd0df7beff80e88eff355fb733bd2f6a4d929cc8e73fcedfe,51b68bd7a772529027cbcf1612c11149ee4848176ffe985039423372e5be65e9,765f9f553b0129a08d3999703abc94c542d1bc88d1c37096a5a8a2ca7ed2ece3,554b436fac41da930cdf58eb0f99c875f3ae8ea7dff79e8a5dbe3ce10f28aa86,7ed06f65e284271f3673e1a421485098568a1776fa5c2694648905e9d3d22e0a,7e6938e05bf25b169c84691cbca5b4021aba31de27844bd48fd760caef18f1ae,LABEL_TRAIN,g567-connector-24x24-a-v3,connector,32,32,567000639,30000,30000,30000,30.0,uniform_30s_all_agent_tiers_primary_exact,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,tierC_g556,g556_c063174,g556_c063174,g556_c063174,ca6dadf0ff72c7da49018b4f8befe0eba6dbf5782392c4157e4b88fbcb106064,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,0,785ad54802760ef29a3e84cadd5ccb15674996fc9782a9e2e443edb649a15104,2,,1,1,1,1,,30.0,60.0,,,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g567_stage2a_diagnostic_a5_label_train_00000003,stage2a_diagnostic_a5_label_train,g567_stage2a_label_train_00001,g567_stage2a_label_train_00001,96727881c4d865230677892af7297744b99157ef36c5f748b6f855bb9a0d7c7a,8c3ada1cad82b47492072760dec180d31edc29ec733d17ad5edc4cad88cb4fee,ff0f2cbdd20783d7730506df57b30026ac864b99189665a907ceec6e5cfda1de,5f683d094c85e4c2895506c0f69f76fbed727bf61d04a2f886258ccbf946a10b,27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,bafcb1f2c66479e1e70560f2f569da2c24d9c99482d6b7bbc901ab697729ed71,LABEL_TRAIN,g567-empty-16x16-v0,empty,32,32,567000520,30000,30000,30000,30.0,uniform_30s_all_agent_tiers_primary_exact,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,tierA_additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,force_additive=1|enable_dual_channel=0,0,f938476b4be237f4ef6566fc434b0b86811989da325de8992da4d6172d929765,3,,1,1,1,1,,30.0,60.0,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g567_stage2a_diagnostic_a5_label_train_00000004,stage2a_diagnostic_a5_label_train,g567_stage2a_label_train_00001,g567_stage2a_label_train_00001,96727881c4d865230677892af7297744b99157ef36c5f748b6f855bb9a0d7c7a,8c3ada1cad82b47492072760dec180d31edc29ec733d17ad5edc4cad88cb4fee,a2d6d2b115f184a831c1d8df81388ad45ba59e0fe906a6ca564b375b02ee83cc,5f683d094c85e4c2895506c0f69f76fbed727bf61d04a2f886258ccbf946a10b,27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,bafcb1f2c66479e1e70560f2f569da2c24d9c99482d6b7bbc901ab697729ed71,LABEL_TRAIN,g567-empty-16x16-v0,empty,32,32,567000520,30000,30000,30000,30.0,uniform_30s_all_agent_tiers_primary_exact,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,tierB_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,4b56ae3fd145ff5b2c89210eb3981040a7dcf98708e896ce8c525bf421c38edc,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,0,a741211c259c4632e704cde69c6e000ca81dce852c1353949c3d83c1af0890cf,4,,1,1,1,1,,30.0,60.0,,,False,False,False,False,False,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0
g567_stage2a_diagnostic_a5_label_train_00000005,stage2a_diagnostic_a5_label_train,g567_stage2a_label_train_00001,g567_stage2a_label_train_00001,96727881c4d865230677892af7297744b99157ef36c5f748b6f855bb9a0d7c7a,8c3ada1cad82b47492072760dec180d31edc29ec733d17ad5edc4cad88cb4fee,0ae62f5fee47facd590ac38076d7101345c9ee5390cb4c088392a915f9f54019,5f683d094c85e4c2895506c0f69f76fbed727bf61d04a2f886258ccbf946a10b,27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,bafcb1f2c66479e1e70560f2f569da2c24d9c99482d6b7bbc901ab697729ed71,LABEL_TRAIN,g567-empty-16x16-v0,empty,32,32,567000520,30000,30000,30000,30.0,uniform_30s_all_agent_tiers_primary_exact,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,tierC_g556,g556_c063174,g556_c063174,g556_c063174,2dc03eb5a9f94f3aa167a916746471b789b36c1594155e14939b9b1d7583cc9e,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,0,55cb8856647562a58c7bbc664a64d2c932aa6b09daed890a591d3150e85f2976,5,,1,1,1,1,,30.0,60.0,,,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g567_stage2a_diagnostic_a5_label_train_00000006,stage2a_diagnostic_a5_label_train,g567_stage2a_label_train_00002,g567_stage2a_label_train_00002,a7ad2708abd1e5a1461605c700f0484540f3a897300b51d2cf435c7f2f84991a,fbc23fa84c327a005eb18710a56ddc3af839eeb21bea708ba7845c999aaee6f8,841ba211292db1a2a3bd802cff75534998309344032a47b03d1313ca04c8269f,ff28b07a1e9cd78328f46d11d2ae6f7a06570695707c22bd902230cb6dee86cc,27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,abee287e5c8975db081d563cd7975811b0270d59f8966989fbd00360d8b374a1,LABEL_TRAIN,g567-empty-16x16-v0,empty,32,32,567001944,30000,30000,30000,30.0,uniform_30s_all_agent_tiers_primary_exact,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,tierA_additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,force_additive=1|enable_dual_channel=0,0,e486c23a633c8717ffb5cef25b7ead0c58ce72e9a5cd57dc6c339bf51535881e,6,,1,1,1,1,,30.0,60.0,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g567_stage2a_diagnostic_a5_label_train_00000007,stage2a_diagnostic_a5_label_train,g567_stage2a_label_train_00002,g567_stage2a_label_train_00002,a7ad2708abd1e5a1461605c700f0484540f3a897300b51d2cf435c7f2f84991a,fbc23fa84c327a005eb18710a56ddc3af839eeb21bea708ba7845c999aaee6f8,0af22c480d28ddcfaf2bf6f2233bfbf101379f5abdc6495d4d14e247cdee495e,ff28b07a1e9cd78328f46d11d2ae6f7a06570695707c22bd902230cb6dee86cc,27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,abee287e5c8975db081d563cd7975811b0270d59f8966989fbd00360d8b374a1,LABEL_TRAIN,g567-empty-16x16-v0,empty,32,32,567001944,30000,30000,30000,30.0,uniform_30s_all_agent_tiers_primary_exact,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,tierB_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,281e854ece5ef4e20348099b0c8c786e03cc18c07c0cf378f7fffd0c88f9a216,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,0,de6bcbfae7a0761376d3f0f7184e0719493308a08e2ab62ed774d0f87d090940,7,,1,1,1,1,,30.0,60.0,,,False,False,False,False,False,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0
g567_stage2a_diagnostic_a5_label_train_00000008,stage2a_diagnostic_a5_label_train,g567_stage2a_label_train_00002,g567_stage2a_label_train_00002,a7ad2708abd1e5a1461605c700f0484540f3a897300b51d2cf435c7f2f84991a,fbc23fa84c327a005eb18710a56ddc3af839eeb21bea708ba7845c999aaee6f8,0fb53c34be72bc18f1e95a0387d8fb3092d081c09cd624c9e707fb7157853fde,ff28b07a1e9cd78328f46d11d2ae6f7a06570695707c22bd902230cb6dee86cc,27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,abee287e5c8975db081d563cd7975811b0270d59f8966989fbd00360d8b374a1,LABEL_TRAIN,g567-empty-16x16-v0,empty,32,32,567001944,30000,30000,30000,30.0,uniform_30s_all_agent_tiers_primary_exact,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,tierC_g556,g556_c063174,g556_c063174,g556_c063174,76254bdbbeffce5f3900e01dcbe2380d9a877e9a3eb9f306d5a954926abb4fb9,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,0,d75dcf4e69b28d1ef72aa2355595569da80ff7eae5ba3b0f2b97d71583a7740b,8,,1,1,1,1,,30.0,60.0,,,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g567_stage2a_diagnostic_a5_label_train_00000009,stage2a_diagnostic_a5_label_train,g567_stage2a_label_train_00003,g567_stage2a_label_train_00003,9598adb0fca423cc682dd938672bab05c7d84842e5609b9a6c2f9b7f6aa096aa,1402d518e5b8d58a901a58cd2211e84cf92e9fce745d0645a736705e65527570,15cd8153b89906e3c6b090ba57e663a0d57f1fd2238abafa004c2cec7a642fee,850f58e800c9dacc7a8fed42d4dea84a574e6da8643f17dc7bac52ff618f0033,27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,41ceda7a9300b4cff220e51bae5d1c0e792dc44604c9194fbfb61935fe3b6b48,LABEL_TRAIN,g567-empty-16x16-v1,empty,32,32,567001361,30000,30000,30000,30.0,uniform_30s_all_agent_tiers_primary_exact,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,tierA_additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,force_additive=1|enable_dual_channel=0,0,aa08b0990284939504ba9b9c4d872821b351b14b9fbdcf6edac03a05d517b1ea,9,,1,1,1,1,,30.0,60.0,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
