feature_name,mean,std,rows
agents,74.25373134328358,24.988859179482418,804
free_cells,2895.597014925373,3892.5022380756477,804
density,0.07391623333764419,0.04518999290692296,804
map_width,60.88059701492537,53.77274524316995,804
map_height,38.940298507462686,12.922132577816035,804
obstacle_ratio,0.165986473880597,0.09007823253881567,804
iteration,1.3208955223880596,1.0899866236934732,804
has_solution_before,0.7089552238805971,0.4542441132397971,804
best_ratio_before,0.8497607949003358,0.5501442439608812,804
improved_last_iteration,0.0,1.0,804
returned_solutions_count_so_far,1.0,1.0,804
committed_count,0.0,1.0,804
blocked_count,0.0,1.0,804
wait_event_count,0.0,1.0,804
goal_wait_ignored_count,0.0,1.0,804
blocked_per_committed,0.0,1.0,804
wait_per_committed,0.0,1.0,804
blocked_per_agent,0.0,1.0,804
committed_per_agent,0.0,1.0,804
nonzero_edges_before,0.0,1.0,804
max_raw_before,0.0,1.0,804
entropy_edge_usage,0.0,1.0,804
weight_entropy,0.0,1.0,804
