map,agents,method,runs,successes,success_rate,sum_of_loss_ratio_mean,expanded_nodes_mean,time_to_first_solution_ms_mean,returned_solutions_count_mean,low_level_pibt_calls_mean,laur_overhead_ms_mean,laur_inference_count_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,fallback_defer_rate,non_additive_update_rate,selected_harmful_update_rate,selected_rules,ratio_delta_vs_ltm,expanded_delta_vs_ltm,ttfs_delta_vs_ltm
random-32-32-20,50,always_additive_defer,3,3,1.0,1.1178396362133334,279.0,161.33333333333334,1.0,22213.0,0.0012666666666666666,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,-1.0
random-32-32-20,50,lacam_star,3,3,1.0,1.1221591878866668,16946.666666666668,3260.3975,1.0,,0.0,0.0,0.0,0.0,,,,{},0.004319551673333422,16667.666666666668,3098.0641666666666
random-32-32-20,50,lacam_star_ltm,3,3,1.0,1.1178396362133334,279.0,162.33333333333334,1.0,22213.0,0.0,0.0,0.0,0.0,,,,{},,,
random-32-32-20,50,oracle_teacher_forced_best_safe_update_static_proxy,3,3,1.0,1.1178396362133334,201.66666666666666,161.0,1.0,9882.0,0.0,0.0,1.0,0.0,0.25,0.75,,"{""wait_heavy"": 3, ""wait_light"": 6}",0.0,-77.33333333333334,-1.3333333333333428
random-32-32-20,50,repair3_safe_runtime,3,3,1.0,1.1178396362133334,252.0,162.33333333333334,1.0,17357.333333333332,0.35346666666666665,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 3, ""commit_heavy"": 6}",0.0,-27.0,0.0
random-32-32-20,50,repair5d_composite_diagnostic_distilled,3,3,1.0,1.1178396362133334,252.0,161.66666666666666,1.0,17357.333333333332,0.35656666666666664,3.0,1.0,0.0,0.25,0.75,,"{""commit_heavy"": 9}",0.0,-27.0,-0.6666666666666856
random-32-32-20,50,repair5d_force_additive_defer_parity,3,3,1.0,1.1178396362133334,279.0,159.0,1.0,22213.0,0.0014,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,-3.333333333333343
random-32-32-20,50,repair5e2_guarded_oracle_aligned_selector,3,3,1.0,1.1178396362133334,272.0,158.66666666666666,1.0,22249.666666666668,0.3448,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 9}",0.0,-7.0,-3.6666666666666856
random-32-32-20,50,repair5e2_guarded_oracle_aligned_selector_force_additive_parity,3,3,1.0,1.1178396362133334,279.0,157.66666666666666,1.0,22213.0,0.0014666666666666667,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,-4.666666666666686
random-32-32-20,50,repair5e_caseb_ood_guard_distilled,3,3,1.0,1.1178396362133334,279.0,163.66666666666666,1.0,22213.0,0.33623333333333333,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 9}",0.0,0.0,1.3333333333333144
random-32-32-20,50,repair5e_caseb_ood_guard_force_additive_parity,3,3,1.0,1.1178396362133334,279.0,160.33333333333334,1.0,22213.0,0.0017666666666666666,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,-2.0
random-32-32-20,100,always_additive_defer,3,3,1.0,1.2777344629866667,223.66666666666666,323.0,1.0,22157.666666666668,0.0015,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,-2.6666666666666856
random-32-32-20,100,lacam_star,3,3,1.0,1.27971949887,7183.0,3128.7437666666665,1.0,,0.0,0.0,0.0,0.0,,,,{},0.0019850358833333193,6959.333333333333,2803.0771
random-32-32-20,100,lacam_star_ltm,3,3,1.0,1.2777344629866667,223.66666666666666,325.6666666666667,1.0,22157.666666666668,0.0,0.0,0.0,0.0,,,,{},,,
random-32-32-20,100,oracle_teacher_forced_best_safe_update_static_proxy,3,3,1.0,1.2429697170766667,271.3333333333333,323.0,1.0,36495.0,0.0,0.0,1.0,0.0,0.25,0.75,,"{""block_heavy"": 3, ""block_light"": 3, ""wait_light"": 3}",-0.034764745910000006,47.66666666666666,-2.6666666666666856
random-32-32-20,100,repair3_safe_runtime,3,3,1.0,1.26817218132,310.0,326.3333333333333,1.0,47631.666666666664,0.35303333333333337,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 9}",-0.009562281666666728,86.33333333333334,0.6666666666666288
random-32-32-20,100,repair5d_composite_diagnostic_distilled,3,3,1.0,1.2791087185966665,238.33333333333334,327.0,1.0,25228.0,0.3546,3.0,1.0,0.0,0.25,0.75,,"{""commit_heavy"": 9}",0.0013742556099998193,14.666666666666686,1.3333333333333144
random-32-32-20,100,repair5d_force_additive_defer_parity,3,3,1.0,1.2777344629866667,223.66666666666666,323.6666666666667,1.0,22157.666666666668,0.0014333333333333333,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,-2.0
random-32-32-20,100,repair5e2_guarded_oracle_aligned_selector,3,3,1.0,1.2593339236166667,237.33333333333334,321.0,1.0,27849.0,0.35313333333333335,3.0,1.0,0.0,0.25,0.75,,"{""decay_095"": 9}",-0.01840053936999997,13.666666666666686,-4.666666666666686
random-32-32-20,100,repair5e2_guarded_oracle_aligned_selector_force_additive_parity,3,3,1.0,1.2777344629866667,223.66666666666666,330.0,1.0,22157.666666666668,0.0014,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,4.333333333333314
