candidate_id,runtime_method,enable_dual_channel,alpha_cong_commit_progress,alpha_cong_commit_nonprogress,alpha_cong_block,alpha_cong_wait_progress,alpha_cong_wait_nonprogress,alpha_flow_commit_progress,alpha_flow_wait_progress,rho_cong_decay,rho_flow_decay,lambda_cong,lambda_flow,min_edge_cost,max_edge_cost,goal_projection_mode,flow_shield_beta,max_flow_shield,notes,diagnostic_only,phase5p5_allowed,phase6_allowed,component
dcltm_additive_parity,repair5g_dual_additive_parity,False,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Legacy exact additive LTM parity control.,True,False,False,parity
dcltm_c_equiv_additive,repair5g_dual_c_equiv_additive,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Scalar-equivalent C-only dual channel for `additive`.,True,False,False,c_equiv
dcltm_c_equiv_c100_b100_w075_d090,repair5g_dual_c_equiv_c100_b100_w075_d090,True,1.0,1.0,1.0,0.75,0.75,0.0,0.0,0.9,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Scalar-equivalent C-only dual channel for `c100_b100_w075_d090`.,True,False,False,c_equiv
dcltm_c_equiv_c125_b125_w075_d095,repair5g_dual_c_equiv_c125_b125_w075_d095,True,1.25,1.25,1.25,0.75,0.75,0.0,0.0,0.95,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Scalar-equivalent C-only dual channel for `c125_b125_w075_d095`.,True,False,False,c_equiv
dcltm_c_equiv_c100_b125_w075_d100,repair5g_dual_c_equiv_c100_b125_w075_d100,True,1.0,1.0,1.25,0.75,0.75,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Scalar-equivalent C-only dual channel for `c100_b125_w075_d100`.,True,False,False,c_equiv
dcltm_c_equiv_c100_b100_w075_d095,repair5g_dual_c_equiv_c100_b100_w075_d095,True,1.0,1.0,1.0,0.75,0.75,0.0,0.0,0.95,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Scalar-equivalent C-only dual channel for `c100_b100_w075_d095`.,True,False,False,c_equiv
dcltm_c_equiv_c100_b100_w100_d090,repair5g_dual_c_equiv_c100_b100_w100_d090,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Scalar-equivalent C-only dual channel for `c100_b100_w100_d090`.,True,False,False,c_equiv
dcltm_c_equiv_c100_b100_w075_d100,repair5g_dual_c_equiv_c100_b100_w075_d100,True,1.0,1.0,1.0,0.75,0.75,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,Scalar-equivalent C-only dual channel for `c100_b100_w075_d100`.,True,False,False,c_equiv
global_additive_lf0p01_min0p75,repair5g1_global_additive_lf0p01_min0p75,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.01,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_additive_lf0p025_min0p75,repair5g1_global_additive_lf0p025_min0p75,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.025,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_additive_lf0p05_min0p75,repair5g1_global_additive_lf0p05_min0p75,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_additive_lf0p1_min0p75,repair5g1_global_additive_lf0p1_min0p75,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c125_b125_w075_d095_lf0p01_min0p75,repair5g1_global_c125_b125_w075_d095_lf0p01_min0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.01,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c125_b125_w075_d095_lf0p025_min0p75,repair5g1_global_c125_b125_w075_d095_lf0p025_min0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.025,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c125_b125_w075_d095_lf0p05_min0p75,repair5g1_global_c125_b125_w075_d095_lf0p05_min0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.05,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c125_b125_w075_d095_lf0p1_min0p75,repair5g1_global_c125_b125_w075_d095_lf0p1_min0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.1,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c100_b125_w075_d100_lf0p01_min0p75,repair5g1_global_c100_b125_w075_d100_lf0p01_min0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.01,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c100_b125_w075_d100_lf0p025_min0p75,repair5g1_global_c100_b125_w075_d100_lf0p025_min0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.025,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c100_b125_w075_d100_lf0p05_min0p75,repair5g1_global_c100_b125_w075_d100_lf0p05_min0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.05,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c100_b125_w075_d100_lf0p1_min0p75,repair5g1_global_c100_b125_w075_d100_lf0p1_min0p75,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.1,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c100_b100_w075_d095_lf0p01_min0p75,repair5g1_global_c100_b100_w075_d095_lf0p01_min0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.01,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c100_b100_w075_d095_lf0p025_min0p75,repair5g1_global_c100_b100_w075_d095_lf0p025_min0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.025,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c100_b100_w075_d095_lf0p05_min0p75,repair5g1_global_c100_b100_w075_d095_lf0p05_min0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.05,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
global_c100_b100_w075_d095_lf0p1_min0p75,repair5g1_global_c100_b100_w075_d095_lf0p1_min0p75,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.1,0.75,11.0,none,0.0,0.0,G0-style global F small-lambda control.,True,False,False,global_f_small_lambda
agent_additive_lf0p01_min0p5,repair5g1_agent_additive_lf0p01_min0p5,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.01,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p01_min0p75,repair5g1_agent_additive_lf0p01_min0p75,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.01,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p01_min1,repair5g1_agent_additive_lf0p01_min1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.01,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p025_min0p5,repair5g1_agent_additive_lf0p025_min0p5,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.025,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p025_min0p75,repair5g1_agent_additive_lf0p025_min0p75,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.025,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p025_min1,repair5g1_agent_additive_lf0p025_min1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.025,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p05_min0p5,repair5g1_agent_additive_lf0p05_min0p5,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p05_min0p75,repair5g1_agent_additive_lf0p05_min0p75,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p05_min1,repair5g1_agent_additive_lf0p05_min1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.05,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p1_min0p5,repair5g1_agent_additive_lf0p1_min0p5,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p1_min0p75,repair5g1_agent_additive_lf0p1_min0p75,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p1_min1,repair5g1_agent_additive_lf0p1_min1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p2_min0p5,repair5g1_agent_additive_lf0p2_min0p5,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p2_min0p75,repair5g1_agent_additive_lf0p2_min0p75,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_additive_lf0p2_min1,repair5g1_agent_additive_lf0p2_min1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p01_min0p5,repair5g1_agent_c125_b125_w075_d095_lf0p01_min0p5,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.01,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p01_min0p75,repair5g1_agent_c125_b125_w075_d095_lf0p01_min0p75,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.01,0.75,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p01_min1,repair5g1_agent_c125_b125_w075_d095_lf0p01_min1,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.01,1.0,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
agent_c125_b125_w075_d095_lf0p025_min0p5,repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p5,True,1.25,1.25,1.25,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.025,0.5,11.0,agent_progress,0.0,0.0,Agent-aware F discount projected by current-agent goal progress.,True,False,False,agent_progress_f
