method,pairs,finite_pairs,q75_quality_delta,q90_quality_delta,q95_quality_delta,cvar90_positive_loss,worst_quality_delta,frac_delta_gt_0p01,frac_delta_gt_0p05,frac_delta_gt_0p10,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
A1_seed562_dual_stream_c0_f0_graph_actor,1000,613,0.022222222220000143,0.08029197080999984,0.20149253731999983,0.992106727025873,21.42112594317,0.3360522022838499,0.1566068515497553,0.0864600326264274,False,False,False,False,False
A1_seed563_dual_stream_c0_f0_graph_actor,1000,611,0.02008608321999983,0.07587064676999988,0.28160919539999973,3.2435453696574195,67.65760000004,0.32896890343698854,0.14238952536824878,0.07201309328968904,False,False,False,False,False
A1_seed564_dual_stream_c0_f0_graph_actor,1000,610,0.025149700600000102,0.09100286532999968,0.16883116882999993,0.559846366182742,7.266698359909999,0.33278688524590166,0.1721311475409836,0.09016393442622951,False,False,False,False,False
A2_seed562_od_graph_cross_attention_actor,1000,612,0.025748502999999978,0.09090909090999988,0.20610687023000018,1.962229024864762,61.48568747069,0.35130718954248363,0.15522875816993464,0.0915032679738562,False,False,False,False,False
A2_seed563_od_graph_cross_attention_actor,1000,613,0.02669404518000018,0.08215477514000002,0.24193548386999986,1.5970860578220636,45.264237169,0.32463295269168024,0.1631321370309951,0.08809135399673736,False,False,False,False,False
A2_seed564_od_graph_cross_attention_actor,1000,612,0.02398604447999997,0.0822561692199999,0.19271155034000031,2.0167511344257143,78.00211168469,0.3464052287581699,0.1568627450980392,0.08333333333333333,False,False,False,False,False
A4_seed562_field_group_trust_safe_subspace_actor,1000,611,0.018069973089999802,0.0748051086399999,0.21511627907000008,0.9132830304337097,8.41989541241,0.3142389525368249,0.13747954173486088,0.08183306055646482,False,False,False,False,False
A4_seed563_field_group_trust_safe_subspace_actor,1000,606,0.02222222221999992,0.07250502343999998,0.15717821782000008,0.4599715670624194,4.52629145961,0.3316831683168317,0.13036303630363036,0.08085808580858085,False,False,False,False,False
A4_seed564_field_group_trust_safe_subspace_actor,1000,612,0.024941802459999884,0.08132820019999998,0.20373514430999995,0.5412263809577779,4.453365774530001,0.3415032679738562,0.1437908496732026,0.09640522875816994,False,False,False,False,False
