candidate_id,map_family,agents,nominal_budget_ms,horizon_id,rows,success_regression_count_vs_g554_c00051,both_success_quality_pairs_vs_g554_c00051,quality_delta_mean_vs_g554_c00051,better_count_vs_g554_c00051,worse_count_vs_g554_c00051,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g556_c044742,maze,50,1000,blind_short5000_t100_i2,348,0,348,-0.00602925866101,164,95,False,False,False,False,False
g556_c044742,maze,50,1000,blind_short5000_t100_i4,414,0,414,-0.00323045502647,196,132,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short1000_t050_i2,261,0,261,-0.00201043266157,115,81,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short1000_t050_i4,311,0,311,-0.00328313713749,142,99,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short1000_t100_i2,349,0,349,-0.00333436936281,169,102,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short1000_t100_i4,413,0,413,-0.0040177818286,199,126,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short2000_t050_i2,131,0,131,-0.00563397491527,74,35,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short2000_t050_i4,155,0,155,-0.00411940417813,76,41,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short2000_t100_i2,172,0,172,-0.0013123824661,75,57,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short2000_t100_i4,209,0,209,-0.00465434998914,106,57,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short5000_t050_i2,259,0,259,-0.00619055178425,131,62,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short5000_t050_i4,313,0,313,-0.00522758793518,161,82,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short5000_t100_i2,344,0,344,-0.00286598597387,145,113,False,False,False,False,False
g556_c044742,maze,50,2000,blind_short5000_t100_i4,417,0,417,-0.00479105333024,213,121,False,False,False,False,False
g556_c044742,maze,50,500,blind_short1000_t050_i2,260,0,260,-0.00406587631915,125,86,False,False,False,False,False
g556_c044742,maze,50,500,blind_short1000_t050_i4,311,0,311,-0.00382761065965,152,92,False,False,False,False,False
g556_c044742,maze,50,500,blind_short1000_t100_i2,344,0,344,-0.0042566767882,185,93,False,False,False,False,False
g556_c044742,maze,50,500,blind_short1000_t100_i4,419,0,419,-0.00328329491246,194,131,False,False,False,False,False
g556_c044742,maze,50,500,blind_short2000_t050_i2,130,0,130,-0.00300297596292,64,37,False,False,False,False,False
g556_c044742,maze,50,500,blind_short2000_t050_i4,155,0,155,-0.00419875349768,75,41,False,False,False,False,False
g556_c044742,maze,50,500,blind_short2000_t100_i2,175,0,175,-0.00391816921114,90,54,False,False,False,False,False
g556_c044742,maze,50,500,blind_short2000_t100_i4,206,0,206,-0.00726585829568,103,50,False,False,False,False,False
g556_c044742,maze,50,500,blind_short5000_t050_i2,260,0,260,-0.00585050292931,121,73,False,False,False,False,False
g556_c044742,maze,50,500,blind_short5000_t050_i4,312,0,312,-0.00335462899885,145,95,False,False,False,False,False
g556_c044742,maze,50,500,blind_short5000_t100_i2,346,0,346,-0.00311300887364,165,109,False,False,False,False,False
g556_c044742,maze,50,500,blind_short5000_t100_i4,415,0,415,-0.00422536644118,211,117,False,False,False,False,False
g556_c044742,random,100,1000,blind_short1000_t050_i2,262,0,262,-0.00415627053225,127,95,False,False,False,False,False
g556_c044742,random,100,1000,blind_short1000_t050_i4,309,0,309,-0.00151586123939,141,124,False,False,False,False,False
g556_c044742,random,100,1000,blind_short1000_t100_i2,347,0,347,-0.00200142835865,152,133,False,False,False,False,False
g556_c044742,random,100,1000,blind_short1000_t100_i4,415,0,415,-0.0037442353,200,149,False,False,False,False,False
g556_c044742,random,100,1000,blind_short2000_t050_i2,258,0,258,-0.00396457535174,115,77,False,False,False,False,False
g556_c044742,random,100,1000,blind_short2000_t050_i4,313,0,313,-0.00256485230176,147,120,False,False,False,False,False
g556_c044742,random,100,1000,blind_short2000_t100_i2,345,0,345,-0.00266323746635,156,125,False,False,False,False,False
g556_c044742,random,100,1000,blind_short2000_t100_i4,417,0,417,-0.00362582479715,188,153,False,False,False,False,False
g556_c044742,random,100,1000,blind_short5000_t050_i2,129,0,129,-0.00501017604271,67,45,False,False,False,False,False
g556_c044742,random,100,1000,blind_short5000_t050_i4,157,0,157,-0.00347962442153,80,58,False,False,False,False,False
g556_c044742,random,100,1000,blind_short5000_t100_i2,174,0,174,-0.00638488250983,101,51,False,False,False,False,False
g556_c044742,random,100,1000,blind_short5000_t100_i4,207,0,207,-0.00156753708976,95,75,False,False,False,False,False
g556_c044742,random,100,2000,blind_short1000_t050_i2,260,0,260,-0.00236838304119,122,101,False,False,False,False,False
g556_c044742,random,100,2000,blind_short1000_t050_i4,312,0,312,-0.000915447970545,139,120,False,False,False,False,False
g556_c044742,random,100,2000,blind_short1000_t100_i2,345,0,345,-0.00471108314614,173,116,False,False,False,False,False
g556_c044742,random,100,2000,blind_short1000_t100_i4,416,0,416,-0.00502597628337,207,144,False,False,False,False,False
g556_c044742,random,100,2000,blind_short2000_t050_i2,261,0,261,-0.00328852153506,137,89,False,False,False,False,False
g556_c044742,random,100,2000,blind_short2000_t050_i4,310,0,310,-0.00583795134716,155,112,False,False,False,False,False
g556_c044742,random,100,2000,blind_short2000_t100_i2,348,0,348,-0.00345274527951,160,129,False,False,False,False,False
g556_c044742,random,100,2000,blind_short2000_t100_i4,415,0,415,-0.00326980625489,191,145,False,False,False,False,False
g556_c044742,random,100,2000,blind_short5000_t050_i2,130,0,130,-0.00435085414962,61,44,False,False,False,False,False
g556_c044742,random,100,2000,blind_short5000_t050_i4,156,0,156,-0.00123550407269,73,62,False,False,False,False,False
g556_c044742,random,100,2000,blind_short5000_t100_i2,172,0,172,-0.00661262847686,90,57,False,False,False,False,False
g556_c044742,random,100,2000,blind_short5000_t100_i4,209,0,209,-0.00175806768426,96,81,False,False,False,False,False
g556_c044742,random,100,500,blind_short1000_t050_i2,258,0,258,-0.00379888492256,126,97,False,False,False,False,False
g556_c044742,random,100,500,blind_short1000_t050_i4,314,0,314,-0.0063651969471,154,118,False,False,False,False,False
g556_c044742,random,100,500,blind_short1000_t100_i2,346,0,346,-0.00488632219384,176,124,False,False,False,False,False
g556_c044742,random,100,500,blind_short1000_t100_i4,416,0,416,-0.00503730393618,208,146,False,False,False,False,False
g556_c044742,random,100,500,blind_short2000_t050_i2,260,0,260,-0.00308127270258,120,100,False,False,False,False,False
g556_c044742,random,100,500,blind_short2000_t050_i4,311,0,311,-0.00445018028071,146,106,False,False,False,False,False
g556_c044742,random,100,500,blind_short2000_t100_i2,346,0,346,-0.00267873385509,168,129,False,False,False,False,False
g556_c044742,random,100,500,blind_short2000_t100_i4,416,0,416,-0.00212177372351,196,156,False,False,False,False,False
g556_c044742,random,100,500,blind_short5000_t050_i2,131,0,131,0.00122643693023,50,58,False,False,False,False,False
g556_c044742,random,100,500,blind_short5000_t050_i4,155,0,155,-0.00725493951581,86,43,False,False,False,False,False
g556_c044742,random,100,500,blind_short5000_t100_i2,174,0,174,-0.0054381363096,86,60,False,False,False,False,False
g556_c044742,random,100,500,blind_short5000_t100_i4,206,0,206,-0.00211983322709,92,82,False,False,False,False,False
g556_c044742,random,50,1000,blind_short1000_t050_i2,413,0,413,-0.00473488548453,209,134,False,False,False,False,False
g556_c044742,random,50,1000,blind_short1000_t050_i4,348,0,348,-0.00631764439908,170,102,False,False,False,False,False
g556_c044742,random,50,1000,blind_short1000_t100_i2,311,0,311,-0.00785146120232,169,83,False,False,False,False,False
g556_c044742,random,50,1000,blind_short1000_t100_i4,260,0,260,-0.00406798325131,123,86,False,False,False,False,False
