map,agents,seed,scen,oracle_candidate_id,oracle_delta_ratio_vs_ltm,success,ltm_success,sum_of_loss_ratio,better_vs_ltm,equal_vs_ltm,worse_vs_ltm,selected_is_additive
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,additive_ltm,0.0,True,True,1.1244870041,False,True,False,True
maze-32-32-4,50,27,maze-32-32-4-random-27.scen,c075_b100_w100_d090,-0.029381965550000055,True,True,1.18287740628,True,False,False,False
maze-32-32-4,50,28,maze-32-32-4-random-28.scen,c075_b125_w100_d100,-0.013238289210000032,True,True,1.19450101833,True,False,False,False
maze-32-32-4,50,29,maze-32-32-4-random-29.scen,c050_b100_w100_d100,-0.009125840540000096,True,True,1.16570605187,True,False,False,False
maze-32-32-4,50,30,maze-32-32-4-random-30.scen,c050_b100_w100_d100,-0.03276836157999985,True,True,1.1395480226,True,False,False,False
maze-32-32-4,50,31,maze-32-32-4-random-31.scen,c050_b100_w100_d100,-0.020363236109999905,True,True,1.14474408365,True,False,False,False
maze-32-32-4,50,32,maze-32-32-4-random-32.scen,c100_b125_w075_d100,-0.03388235293999986,True,True,1.15670588235,True,False,False,False
maze-32-32-4,50,33,maze-32-32-4-random-33.scen,c125_b100_w100_d095,-0.021855486179999994,True,True,1.24397859054,True,False,False,False
maze-32-32-4,50,34,maze-32-32-4-random-34.scen,c100_b100_w100_d090,-0.0014374700499999449,True,True,1.21849544801,True,False,False,False
maze-32-32-4,50,35,maze-32-32-4-random-35.scen,c100_b100_w100_d095,-0.006904955320999995,True,True,0.79894394801,True,False,False,False
maze-32-32-4,50,36,maze-32-32-4-random-36.scen,c100_b075_w100_d095,-0.03713646531999992,True,True,1.15257270694,True,False,False,False
maze-32-32-4,50,37,maze-32-32-4-random-37.scen,c100_b100_w125_d100,-0.013989387360000105,True,True,1.14182344428,True,False,False,False
maze-32-32-4,50,38,maze-32-32-4-random-38.scen,c125_b125_w100_d100,-0.01231113599000011,True,True,1.13766088416,True,False,False,False
maze-32-32-4,50,39,maze-32-32-4-random-39.scen,c100_b100_w125_d090,-0.006615776079999858,True,True,1.16132315522,True,False,False,False
maze-32-32-4,50,40,maze-32-32-4-random-40.scen,c100_b100_w125_d095,-0.022156573109999966,True,True,1.20531757755,True,False,False,False
maze-32-32-4,50,41,maze-32-32-4-random-41.scen,c075_b125_w125_d095,-0.024460431660000115,True,True,1.1381294964,True,False,False,False
maze-32-32-4,50,42,maze-32-32-4-random-42.scen,c100_b100_w125_d095,-0.009411764710000048,True,True,1.11764705882,True,False,False,False
maze-32-32-4,50,43,maze-32-32-4-random-43.scen,c100_b075_w100_d100,-0.013766519819999878,True,True,1.15308370044,True,False,False,False
maze-32-32-4,50,44,maze-32-32-4-random-44.scen,c125_b075_w100_d090,-0.07157157157000005,True,True,1.15165165165,True,False,False,False
maze-32-32-4,50,45,maze-32-32-4-random-45.scen,c075_b075_w100_d100,-0.0028954035469999084,True,True,0.854867897213,True,False,False,False
maze-32-32-4,100,26,maze-32-32-4-random-26.scen,c100_b075_w100_d100,-0.0769583142500001,True,True,1.21209344938,True,False,False,False
maze-32-32-4,100,27,maze-32-32-4-random-27.scen,c075_b100_w100_d095,-0.017724120220000028,True,True,1.31184176727,True,False,False,False
maze-32-32-4,100,28,maze-32-32-4-random-28.scen,c100_b100_w125_d100,-0.004037685059999907,True,True,1.30740242261,True,False,False,False
maze-32-32-4,100,29,maze-32-32-4-random-29.scen,c100_b100_w075_d095,-0.04438839848999998,True,True,1.21034047919,True,False,False,False
maze-32-32-4,100,30,maze-32-32-4-random-30.scen,c075_b075_w125_d095,-0.022908622909999954,True,True,1.20926640927,True,False,False,False
maze-32-32-4,100,31,maze-32-32-4-random-31.scen,c075_b075_w100_d100,-0.033707865169999796,True,True,1.25970377937,True,False,False,False
maze-32-32-4,100,32,maze-32-32-4-random-32.scen,c125_b125_w075_d095,-0.02987777273999992,True,True,1.26437301947,True,False,False,False
maze-32-32-4,100,33,maze-32-32-4-random-33.scen,c100_b125_w075_d100,-0.027215631540000063,True,True,1.26308443824,True,False,False,False
maze-32-32-4,100,34,maze-32-32-4-random-34.scen,c100_b100_w075_d095,-0.06356631810999991,True,True,1.28481012658,True,False,False,False
maze-32-32-4,100,35,maze-32-32-4-random-35.scen,c075_b125_w125_d095,-0.023308957949999876,True,True,1.02673674589,True,False,False,False
maze-32-32-4,100,36,maze-32-32-4-random-36.scen,c125_b100_w125_d100,-0.029904039280000072,True,True,1.25507699174,True,False,False,False
maze-32-32-4,100,37,maze-32-32-4-random-37.scen,c100_b050_w100_d100,-0.016478342750000152,True,True,1.22551789077,True,False,False,False
maze-32-32-4,100,38,maze-32-32-4-random-38.scen,c100_b075_w100_d090,-0.07772589948000008,True,True,1.22438890415,True,False,False,False
maze-32-32-4,100,39,maze-32-32-4-random-39.scen,c075_b100_w100_d100,-0.05250062205000017,True,True,1.28116446877,True,False,False,False
maze-32-32-4,100,40,maze-32-32-4-random-40.scen,c100_b075_w100_d100,-0.040388930440000026,True,True,1.30890052356,True,False,False,False
maze-32-32-4,100,41,maze-32-32-4-random-41.scen,c125_b075_w100_d100,-0.007261653780000099,True,True,1.26587022722,True,False,False,False
maze-32-32-4,100,42,maze-32-32-4-random-42.scen,c100_b100_w050_d100,-0.059653465350000046,True,True,1.18910891089,True,False,False,False
maze-32-32-4,100,43,maze-32-32-4-random-43.scen,c125_b125_w100_d100,-0.03535856573999996,True,True,1.24402390438,True,False,False,False
maze-32-32-4,100,44,maze-32-32-4-random-44.scen,c100_b050_w100_d100,-0.05415499533000001,True,True,1.24883286648,True,False,False,False
maze-32-32-4,100,45,maze-32-32-4-random-45.scen,c100_b075_w100_d090,-0.004864759679999997,True,True,1.07939287799,True,False,False,False
random-32-32-20,50,26,random-32-32-20-random-26.scen,additive_ltm,0.0,True,True,1.10743061773,False,True,False,True
random-32-32-20,50,27,random-32-32-20-random-27.scen,c125_b125_w075_d095,-0.0018993352300000765,True,True,1.13010446344,True,False,False,False
random-32-32-20,50,28,random-32-32-20-random-28.scen,additive_ltm,0.0,True,True,1.12136325852,False,True,False,True
random-32-32-20,50,29,random-32-32-20-random-29.scen,c125_b075_w125_d095,-0.04973357016000013,True,True,1.1190053286,True,False,False,False
random-32-32-20,50,30,random-32-32-20-random-30.scen,additive_ltm,0.0,True,True,1.13783269962,False,True,False,True
random-32-32-20,50,31,random-32-32-20-random-31.scen,additive_ltm,0.0,True,True,1.09322033898,False,True,False,True
random-32-32-20,50,32,random-32-32-20-random-32.scen,additive_ltm,0.0,True,True,1.1320754717,False,True,False,True
random-32-32-20,50,33,random-32-32-20-random-33.scen,c100_b125_w075_d100,-0.024117140400000014,True,True,1.10594315245,True,False,False,False
random-32-32-20,50,34,random-32-32-20-random-34.scen,additive_ltm,0.0,True,True,1.07410795974,False,True,False,True
random-32-32-20,50,35,random-32-32-20-random-35.scen,additive_ltm,0.0,True,True,1.1432748538,False,True,False,True
random-32-32-20,50,36,random-32-32-20-random-36.scen,c050_b100_w100_d100,-0.04761904762000002,True,True,1.1038961039,True,False,False,False
random-32-32-20,50,37,random-32-32-20-random-37.scen,additive_ltm,0.0,True,True,1.13076923077,False,True,False,True
random-32-32-20,50,38,random-32-32-20-random-38.scen,additive_ltm,0.0,True,True,0.477297493643,False,True,False,True
random-32-32-20,50,39,random-32-32-20-random-39.scen,c100_b100_w125_d100,-0.018433179730000138,True,True,1.10783410138,True,False,False,False
random-32-32-20,50,40,random-32-32-20-random-40.scen,c075_b125_w125_d095,-0.028469750889999812,True,True,1.13612099644,True,False,False,False
random-32-32-20,50,41,random-32-32-20-random-41.scen,additive_ltm,0.0,True,True,1.0985267035,False,True,False,True
random-32-32-20,50,42,random-32-32-20-random-42.scen,additive_ltm,0.0,True,True,1.10410958904,False,True,False,True
random-32-32-20,50,43,random-32-32-20-random-43.scen,c150_b100_w100_d100,-0.014071294549999891,True,True,1.13227016886,True,False,False,False
random-32-32-20,50,44,random-32-32-20-random-44.scen,additive_ltm,0.0,True,True,1.09055501461,False,True,False,True
random-32-32-20,50,45,random-32-32-20-random-45.scen,additive_ltm,0.0,True,True,1.1123388582,False,True,False,True
random-32-32-20,100,26,random-32-32-20-random-26.scen,c075_b125_w125_d095,-0.02632733655000008,True,True,1.22992540588,True,False,False,False
random-32-32-20,100,27,random-32-32-20-random-27.scen,c100_b125_w100_d100,-0.08133971290999997,True,True,1.22440191388,True,False,False,False
random-32-32-20,100,28,random-32-32-20-random-28.scen,c075_b100_w125_d100,-0.04325032765000003,True,True,1.2376583661,True,False,False,False
random-32-32-20,100,29,random-32-32-20-random-29.scen,additive_ltm,0.0,True,True,1.25011185682,False,True,False,True
random-32-32-20,100,30,random-32-32-20-random-30.scen,c150_b100_w100_d100,-0.027777777780000124,True,True,1.20138888889,True,False,False,False
random-32-32-20,100,31,random-32-32-20-random-31.scen,c125_b100_w100_d100,-0.04823825504000001,True,True,1.23741610738,True,False,False,False
random-32-32-20,100,32,random-32-32-20-random-32.scen,c075_b075_w100_d100,-0.0403054730600001,True,True,1.19940602461,True,False,False,False
random-32-32-20,100,33,random-32-32-20-random-33.scen,c125_b075_w100_d090,-0.0033741037499999127,True,True,1.25769717419,True,False,False,False
random-32-32-20,100,34,random-32-32-20-random-34.scen,c100_b075_w075_d100,-0.02648114900999987,True,True,1.1723518851,True,False,False,False
random-32-32-20,100,35,random-32-32-20-random-35.scen,c100_b100_w075_d090,-0.048829431438000004,True,True,0.877257525084,True,False,False,False
random-32-32-20,100,36,random-32-32-20-random-36.scen,c100_b100_w125_d095,-0.05673758864999989,True,True,1.22411347518,True,False,False,False
random-32-32-20,100,37,random-32-32-20-random-37.scen,c125_b125_w100_d100,-0.025362318839999842,True,True,1.20153985507,True,False,False,False
random-32-32-20,100,38,random-32-32-20-random-38.scen,c125_b075_w100_d090,-0.015741935483999936,True,True,0.716387096774,True,False,False,False
random-32-32-20,100,39,random-32-32-20-random-39.scen,c100_b100_w075_d090,-0.024691358029999888,True,True,1.22862368541,True,False,False,False
random-32-32-20,100,40,random-32-32-20-random-40.scen,c075_b075_w100_d100,-0.035220686579999994,True,True,1.24921979492,True,False,False,False
random-32-32-20,100,41,random-32-32-20-random-41.scen,c100_b050_w100_d100,-0.03393565447000002,True,True,1.26575583958,True,False,False,False
random-32-32-20,100,42,random-32-32-20-random-42.scen,c075_b100_w100_d090,-0.004385964910000206,True,True,1.21754385965,True,False,False,False
random-32-32-20,100,43,random-32-32-20-random-43.scen,c125_b100_w100_d090,-0.04685281590000012,True,True,1.20208234737,True,False,False,False
random-32-32-20,100,44,random-32-32-20-random-44.scen,c125_b100_w100_d090,-0.01548183254400004,True,True,0.916903633491,True,False,False,False
random-32-32-20,100,45,random-32-32-20-random-45.scen,c125_b100_w075_d100,-0.04630903255999996,True,True,1.16368638239,True,False,False,False
warehouse-10-20-10-2-1,50,26,warehouse-10-20-10-2-1-random-26.scen,additive_ltm,0.0,True,True,1.09608884597,False,True,False,True
warehouse-10-20-10-2-1,50,27,warehouse-10-20-10-2-1-random-27.scen,additive_ltm,0.0,True,True,1.12468549063,False,True,False,True
warehouse-10-20-10-2-1,50,28,warehouse-10-20-10-2-1-random-28.scen,additive_ltm,0.0,True,True,1.08400520156,False,True,False,True
warehouse-10-20-10-2-1,50,29,warehouse-10-20-10-2-1-random-29.scen,additive_ltm,0.0,True,True,1.06450734894,False,True,False,True
warehouse-10-20-10-2-1,50,30,warehouse-10-20-10-2-1-random-30.scen,additive_ltm,0.0,True,True,1.14586894587,False,True,False,True
warehouse-10-20-10-2-1,50,31,warehouse-10-20-10-2-1-random-31.scen,additive_ltm,0.0,True,True,1.1182328907,False,True,False,True
warehouse-10-20-10-2-1,50,32,warehouse-10-20-10-2-1-random-32.scen,additive_ltm,0.0,True,True,1.04164550533,False,True,False,True
