candidate_id,candidate_rows,mean_quality_delta_vs_static_flow,bootstrap_ci_upper,success_regression_count_vs_static_flow,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c00894,2081,-0.0315924946469,-0.0298130815132,0,False,False,False,False,False
g554_c00065,2081,-0.029631848639,-0.0279235062217,0,False,False,False,False,False
g554_c01012,2081,-0.0284003373164,-0.0271054318489,0,False,False,False,False,False
g554_c00051,2081,-0.0279158530276,-0.0266654301084,0,False,False,False,False,False
g554_c00029,2081,-0.0266661256422,-0.024891114518,0,False,False,False,False,False
g554_c00966,2081,-0.0260850204038,-0.0248034812028,0,False,False,False,False,False
g554_c01062,2081,-0.0239485250881,-0.0221187476138,0,False,False,False,False,False
g554_c02512,2081,-0.022156883043,-0.0209920955407,0,False,False,False,False,False
g554_c02556,2081,-0.0218625500109,-0.0200045358144,0,False,False,False,False,False
g554_c02537,2081,-0.0200225472226,-0.0188100590409,0,False,False,False,False,False
g554_c00992,2081,-0.0199675898924,-0.0188429797967,0,False,False,False,False,False
g554_c00918,2081,-0.0198027568355,-0.0186488179683,0,False,False,False,False,False
g554_c00020,2081,-0.0191285799234,-0.0178863801383,0,False,False,False,False,False
g554_c02574,2081,-0.0183430162325,-0.0171846009537,0,False,False,False,False,False
g554_c02514,2081,-0.0173541248362,-0.0162278474892,0,False,False,False,False,False
g554_c00005,2081,-0.0171517057871,-0.0160717506258,0,False,False,False,False,False
g554_c00022,2081,-0.016892260893,-0.0156190562,0,False,False,False,False,False
g554_c00983,2081,-0.0162969149079,-0.0151381272691,0,False,False,False,False,False
g554_c02496,2081,-0.0161704554408,-0.0150484328104,0,False,False,False,False,False
g554_c00011,2081,-0.015771162481,-0.0146669076885,0,False,False,False,False,False
g554_c02540,2081,-0.0157387569024,-0.0146060832409,0,False,False,False,False,False
g554_c00048,2081,-0.0155785570402,-0.0144714202013,0,False,False,False,False,False
g554_c01014,2081,-0.0155615462254,-0.0144197042914,0,False,False,False,False,False
g554_c01013,2081,-0.0147936552432,-0.0137150877802,0,False,False,False,False,False
g554_c02515,2081,-0.0145002271823,-0.0133892752523,0,False,False,False,False,False
g554_c00050,2081,-0.0134697980661,-0.0123471588044,0,False,False,False,False,False
g554_c02560,2081,-0.0130708516699,-0.0119873627141,0,False,False,False,False,False
g554_c02504,2081,-0.0124172543647,-0.0113251939162,0,False,False,False,False,False
g554_c01080,2081,-0.012317880842,-0.0112898649929,0,False,False,False,False,False
g554_c01024,2081,-0.0122302226484,-0.0111732917819,0,False,False,False,False,False
g554_c02557,2081,-0.0122152681726,-0.0111378510403,0,False,False,False,False,False
g554_c00036,2081,-0.0117549766853,-0.0106887083208,0,False,False,False,False,False
g554_c01023,2081,-0.0117220946722,-0.0106548470266,0,False,False,False,False,False
