row_type,policy,model,fold_id,avoidable_risk_ece,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
calibration_fold,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,seed_oof,0.0,False,False,False,False,False
calibration_fold,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,fixed_train_dev,0.01875,False,False,False,False,False
calibration_fold,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,leave_map_family_maze,0.025,False,False,False,False,False
calibration_fold,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,leave_map_family_random,0.025,False,False,False,False,False
calibration_fold,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,leave_map_family_warehouse,0.1,False,False,False,False,False
calibration_fold,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,leave_map_agent_group_34,0.05,False,False,False,False,False
calibration_fold,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,leave_map_agent_group_204,0.05,False,False,False,False,False
calibration_fold,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,budget_holdout_2000,0.033333333333,False,False,False,False,False
calibration_fold,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,warehouse_holdout,0.1,False,False,False,False,False
calibration_fold,learned_q_conservative_policy,learned_q_conservative_policy,seed_oof,0.0,False,False,False,False,False
calibration_fold,learned_q_conservative_policy,learned_q_conservative_policy,fixed_train_dev,0.01875,False,False,False,False,False
calibration_fold,learned_q_conservative_policy,learned_q_conservative_policy,leave_map_family_maze,0.025,False,False,False,False,False
calibration_fold,learned_q_conservative_policy,learned_q_conservative_policy,leave_map_family_random,0.025,False,False,False,False,False
calibration_fold,learned_q_conservative_policy,learned_q_conservative_policy,leave_map_family_warehouse,0.1,False,False,False,False,False
calibration_fold,learned_q_conservative_policy,learned_q_conservative_policy,leave_map_agent_group_34,0.05,False,False,False,False,False
calibration_fold,learned_q_conservative_policy,learned_q_conservative_policy,leave_map_agent_group_204,0.05,False,False,False,False,False
calibration_fold,learned_q_conservative_policy,learned_q_conservative_policy,budget_holdout_2000,0.033333333333,False,False,False,False,False
calibration_fold,learned_q_conservative_policy,learned_q_conservative_policy,warehouse_holdout,0.1,False,False,False,False,False
calibration_fold,learned_q_with_fallback_regularization,learned_q_with_fallback_regularization,seed_oof,0.0,False,False,False,False,False
calibration_fold,learned_q_with_fallback_regularization,learned_q_with_fallback_regularization,fixed_train_dev,0.01875,False,False,False,False,False
calibration_fold,learned_q_with_fallback_regularization,learned_q_with_fallback_regularization,leave_map_family_maze,0.025,False,False,False,False,False
calibration_fold,learned_q_with_fallback_regularization,learned_q_with_fallback_regularization,leave_map_family_random,0.025,False,False,False,False,False
calibration_fold,learned_q_with_fallback_regularization,learned_q_with_fallback_regularization,leave_map_family_warehouse,0.1,False,False,False,False,False
calibration_fold,learned_q_with_fallback_regularization,learned_q_with_fallback_regularization,leave_map_agent_group_34,0.05,False,False,False,False,False
calibration_fold,learned_q_with_fallback_regularization,learned_q_with_fallback_regularization,leave_map_agent_group_204,0.05,False,False,False,False,False
calibration_fold,learned_q_with_fallback_regularization,learned_q_with_fallback_regularization,budget_holdout_2000,0.033333333333,False,False,False,False,False
calibration_fold,learned_q_with_fallback_regularization,learned_q_with_fallback_regularization,warehouse_holdout,0.1,False,False,False,False,False
calibration_fold,learned_q_risk_constrained,learned_q_risk_constrained,seed_oof,0.0,False,False,False,False,False
calibration_fold,learned_q_risk_constrained,learned_q_risk_constrained,fixed_train_dev,0.01875,False,False,False,False,False
calibration_fold,learned_q_risk_constrained,learned_q_risk_constrained,leave_map_family_maze,0.025,False,False,False,False,False
calibration_fold,learned_q_risk_constrained,learned_q_risk_constrained,leave_map_family_random,0.025,False,False,False,False,False
calibration_fold,learned_q_risk_constrained,learned_q_risk_constrained,leave_map_family_warehouse,0.1,False,False,False,False,False
