map,agents,seed,scen,baseline_method,contender_method,baseline_success,contender_success,baseline_ratio,contender_ratio,delta_ratio,contender_better
maze-32-32-4,50,5,maze-32-32-4-random-5.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.15545590433,1.14897857499,-0.006477329340000004,True
maze-32-32-4,50,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.15545590433,1.15944195316,0.0039860488300000885,False
maze-32-32-4,50,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.15545590433,1.15545590433,0.0,False
maze-32-32-4,50,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.15545590433,1.15545590433,0.0,False
maze-32-32-4,50,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.15545590433,1.16940707524,0.013951170910000199,False
maze-32-32-4,50,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.15545590433,1.15545590433,0.0,False
maze-32-32-4,50,5,maze-32-32-4-random-5.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.15545590433,1.15545590433,0.0,False
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,always_additive_defer,True,True,1.27024459748,1.27024459748,0.0,False
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,lacam_star,True,True,1.27024459748,1.32391355972,0.05366896223999995,False
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.27024459748,1.24269769651,-0.02754690097000001,True
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.27024459748,1.25077178817,-0.01947280931000006,True
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.27024459748,1.27024459748,0.0,False
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.27024459748,1.27024459748,0.0,False
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker,True,True,1.27024459748,1.27024459748,0.0,False
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5e5_crossfold_utility_reranker_force_additive_parity,True,True,1.27024459748,1.27024459748,0.0,False
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair5e_caseb_ood_guard_distilled,True,True,1.27024459748,1.27024459748,0.0,False
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,always_additive_defer,True,True,1.29871465296,1.29871465296,0.0,False
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,lacam_star,True,True,1.29871465296,1.30257069409,0.003856041129999932,False
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,oracle_teacher_forced_best_safe_update_static_proxy,True,True,1.29871465296,1.28843187661,-0.010282776349999967,True
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5d_composite_diagnostic_distilled,True,True,1.29871465296,1.30745501285,0.008740359889999993,False
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5e3_split_guarded_selector,True,True,1.29871465296,1.29871465296,0.0,False
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair5e4_closed_loop_utility_selector,True,True,1.29871465296,1.29871465296,0.0,False
