variant_id,pairs,finite_quality_pairs,actor_success_count,static_flow_success_count,actor_success_rate,static_flow_success_rate,success_gains_vs_static_flow,success_regressions_vs_static_flow,better_count_vs_static_flow,worse_count_vs_static_flow,tie_count_vs_static_flow,mean_delta_vs_static_flow,median_delta_vs_static_flow,mean_relative_improvement_vs_static_flow,median_relative_improvement_vs_static_flow,mean_runtime_speedup_vs_static_flow,median_runtime_speedup_vs_static_flow,quality_delta_q90_vs_static_flow,quality_delta_q95_vs_static_flow,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
B1,4000,1928,2451,1936,0.61275,0.484,523,8,1632,291,5,-0.053488789973952275,-0.051060635520000064,0.037452867042552754,0.042720161403045756,0.5823999976643894,0.9781986384819825,0.017325678509999925,0.06940063091999993,False,False,False,False,False
B2,4000,1927,2457,1936,0.61425,0.484,530,9,1638,284,5,-0.05605183909990659,-0.05194805194999996,0.039296480268115185,0.04317154926821005,0.584480553448699,0.978350287117472,0.01808586385600005,0.0770904549499996,False,False,False,False,False
E0,1000,483,617,484,0.617,0.484,134,1,409,73,1,-0.061522101544089026,-0.05541561712999998,0.04314856732233953,0.04628571428814498,0.5878807313536025,0.9777333943429902,0.017042217037999845,0.043855641183999906,False,False,False,False,False
E1,1000,483,614,484,0.614,0.484,131,1,413,69,1,-0.06426646199249482,-0.05988023951999999,0.04506842370778077,0.04878048780250271,0.5864639418658886,0.977827281927792,0.016660754356000097,0.05232178142099988,False,False,False,False,False
E2,1000,480,613,484,0.613,0.484,133,4,409,71,0,-0.058521134476010414,-0.05721600778999991,0.04192433337253866,0.04762757225693936,0.5816491545878993,0.978018970167839,0.02312654988400011,0.0697179344559999,False,False,False,False,False
