context_source_id,normalized_context_key,budget_ms,map,map_family,map_agent_group,agents,seed,scenario_path,map_path,source,namespace,contains_original_gold_anchor,generated_metadata_only,generated_solver_executable,ids_166_205_untouched,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|a50|s146|it0|c7dae4a48422|b1000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,maze-32-32-4,maze,maze-32-32-4|a50,50,146,outputs/tmp/phase5p5_repair5g532_real_context_scenarios/maze-32-32-4-random-146.scen,external/lacam2/scripts/map/maze-32-32-4.map,g529_original_gold_anchor,observed_gold_anchor,True,False,True,True,False,False,False,False,False
maze-32-32-4|a50|s146|it0|c7dae4a48422|b2000,maze-32-32-4|a50|s146|it0|c7dae4a48422,2000,maze-32-32-4,maze,maze-32-32-4|a50,50,146,outputs/tmp/phase5p5_repair5g532_real_context_scenarios/maze-32-32-4-random-146.scen,external/lacam2/scripts/map/maze-32-32-4.map,g529_original_gold_anchor,observed_gold_anchor,True,False,True,True,False,False,False,False,False
maze-32-32-4|a50|s147|it0|074c749363dd|b1000,maze-32-32-4|a50|s147|it0|074c749363dd,1000,maze-32-32-4,maze,maze-32-32-4|a50,50,147,outputs/tmp/phase5p5_repair5g532_real_context_scenarios/maze-32-32-4-random-147.scen,external/lacam2/scripts/map/maze-32-32-4.map,g529_original_gold_anchor,observed_gold_anchor,True,False,True,True,False,False,False,False,False
maze-32-32-4|a50|s147|it0|074c749363dd|b2000,maze-32-32-4|a50|s147|it0|074c749363dd,2000,maze-32-32-4,maze,maze-32-32-4|a50,50,147,outputs/tmp/phase5p5_repair5g532_real_context_scenarios/maze-32-32-4-random-147.scen,external/lacam2/scripts/map/maze-32-32-4.map,g529_original_gold_anchor,observed_gold_anchor,True,False,True,True,False,False,False,False,False
maze-32-32-4|a50|s148|it0|aaeca5d81436|b1000,maze-32-32-4|a50|s148|it0|aaeca5d81436,1000,maze-32-32-4,maze,maze-32-32-4|a50,50,148,outputs/tmp/phase5p5_repair5g532_real_context_scenarios/maze-32-32-4-random-148.scen,external/lacam2/scripts/map/maze-32-32-4.map,g529_original_gold_anchor,observed_gold_anchor,True,False,True,True,False,False,False,False,False
maze-32-32-4|a50|s148|it0|aaeca5d81436|b2000,maze-32-32-4|a50|s148|it0|aaeca5d81436,2000,maze-32-32-4,maze,maze-32-32-4|a50,50,148,outputs/tmp/phase5p5_repair5g532_real_context_scenarios/maze-32-32-4-random-148.scen,external/lacam2/scripts/map/maze-32-32-4.map,g529_original_gold_anchor,observed_gold_anchor,True,False,True,True,False,False,False,False,False
maze-32-32-4|a50|s149|it0|58cc592ada66|b1000,maze-32-32-4|a50|s149|it0|58cc592ada66,1000,maze-32-32-4,maze,maze-32-32-4|a50,50,149,outputs/tmp/phase5p5_repair5g532_real_context_scenarios/maze-32-32-4-random-149.scen,external/lacam2/scripts/map/maze-32-32-4.map,g529_original_gold_anchor,observed_gold_anchor,True,False,True,True,False,False,False,False,False
maze-32-32-4|a50|s149|it0|58cc592ada66|b2000,maze-32-32-4|a50|s149|it0|58cc592ada66,2000,maze-32-32-4,maze,maze-32-32-4|a50,50,149,outputs/tmp/phase5p5_repair5g532_real_context_scenarios/maze-32-32-4-random-149.scen,external/lacam2/scripts/map/maze-32-32-4.map,g529_original_gold_anchor,observed_gold_anchor,True,False,True,True,False,False,False,False,False
maze-32-32-4|a50|s150|it0|79258cd40d93|b1000,maze-32-32-4|a50|s150|it0|79258cd40d93,1000,maze-32-32-4,maze,maze-32-32-4|a50,50,150,outputs/tmp/phase5p5_repair5g532_real_context_scenarios/maze-32-32-4-random-150.scen,external/lacam2/scripts/map/maze-32-32-4.map,g529_original_gold_anchor,observed_gold_anchor,True,False,True,True,False,False,False,False,False
maze-32-32-4|a50|s150|it0|79258cd40d93|b2000,maze-32-32-4|a50|s150|it0|79258cd40d93,2000,maze-32-32-4,maze,maze-32-32-4|a50,50,150,outputs/tmp/phase5p5_repair5g532_real_context_scenarios/maze-32-32-4-random-150.scen,external/lacam2/scripts/map/maze-32-32-4.map,g529_original_gold_anchor,observed_gold_anchor,True,False,True,True,False,False,False,False,False
