artifact_label,expected_path,resolved_path,alias_for,exists,row_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision_summary,outputs/reports/phase5p5_repair5g541_decision_summary.json,outputs/reports/phase5p5_repair5g541_decision_summary.json,,True,1,False,False,False,False,False
balanced_per_stratum_regions_summary,outputs/reports/phase5p5_repair5g541_balanced_per_stratum_regions_summary.json,outputs/reports/phase5p5_repair5g541_balanced_per_stratum_regions_summary.json,,True,1,False,False,False,False,False
final_stratum_regions_summary,outputs/reports/phase5p5_repair5g541_final_stratum_regions_summary.json,outputs/reports/phase5p5_repair5g541_final_stratum_regions_summary.json,,True,1,False,False,False,False,False
frozen_stratum_policy_summary,outputs/reports/phase5p5_repair5g541_frozen_stratum_policy_summary.json,outputs/reports/phase5p5_repair5g541_frozen_stratum_policy_summary.json,,True,1,False,False,False,False,False
frozen_stratum_blind_evidence_summary,outputs/reports/phase5p5_repair5g541_frozen_stratum_blind_evidence_summary.json,outputs/reports/phase5p5_repair5g541_frozen_stratum_blind_evidence_summary.json,,True,1,False,False,False,False,False
final_supported_stratum_regions,outputs/tables/phase5p5_repair5g541_final_supported_stratum_regions.csv,outputs/tables/phase5p5_repair5g541_final_supported_stratum_regions.csv,,True,24,False,False,False,False,False
frozen_stratum_policy,outputs/tables/phase5p5_repair5g541_frozen_stratum_policy.csv,outputs/tables/phase5p5_repair5g541_frozen_stratum_policy.csv,,True,18,False,False,False,False,False
frozen_stratum_blind_replay_results,outputs/tables/phase5p5_repair5g541_frozen_stratum_blind_replay_results.csv,outputs/tables/phase5p5_repair5g541_frozen_stratum_blind_replay_results.csv,,True,7200,False,False,False,False,False
frozen_stratum_selected_vs_static_flow,outputs/tables/phase5p5_repair5g541_frozen_stratum_selected_vs_static_flow.csv,outputs/tables/phase5p5_repair5g541_frozen_stratum_blind_selected_vs_static_flow.csv,outputs/tables/phase5p5_repair5g541_frozen_stratum_selected_vs_static_flow.csv,True,1440,False,False,False,False,False
frozen_stratum_selected_vs_family_static,outputs/tables/phase5p5_repair5g541_frozen_stratum_selected_vs_family_static.csv,outputs/tables/phase5p5_repair5g541_frozen_stratum_blind_selected_vs_frozen_family_static.csv,outputs/tables/phase5p5_repair5g541_frozen_stratum_selected_vs_family_static.csv,True,1440,False,False,False,False,False
frozen_stratum_failure_cases,outputs/tables/phase5p5_repair5g541_frozen_stratum_blind_failure_cases.csv,outputs/tables/phase5p5_repair5g541_frozen_stratum_blind_failure_cases.csv,,True,41,False,False,False,False,False
region_predictor_manifest,artifacts/models/laur_ltm/repair5g541_region_predictor_manifest.json,artifacts/models/laur_ltm/repair5g541_region_predictor_manifest.json,,True,1,False,False,False,False,False
repair5g541_common,scripts/repair5g541_common.py,scripts/repair5g541_common.py,,True,1,False,False,False,False,False
