map,agents,method,runs,successes,success_rate,ratio_mean,runtime_ms_mean,expanded_nodes_mean,low_level_pibt_calls_mean,laur_inference_count_mean,laur_inference_total_ms_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,selected_rules
random-32-32-20,100,lacam_star_lau_ltm_learned_every_restart,1,1,1.0,1.28865058088,1386.2838,243.0,23886.0,4.0,0.4025,0.0,0.0,"{""block_light"": 3, ""wait_light"": 1}"
random-32-32-20,100,lacam_star_lau_ltm_learned_no_safety,1,1,1.0,1.28865058088,1629.0402,342.0,62562.0,3.0,0.8787,1.0,0.0,"{""block_light"": 3}"
random-32-32-20,100,lacam_star_lau_ltm_learned_safety,1,1,1.0,1.28865058088,1614.2458,342.0,62562.0,3.0,0.3045,1.0,0.0,"{""block_light"": 3}"
random-32-32-20,100,lacam_star_lau_ltm_static_block_heavy,1,1,1.0,1.28865058088,1325.5475,238.0,23873.0,0.0,0.0,0.0,0.0,"{""block_heavy"": 4}"
random-32-32-20,100,lacam_star_lau_ltm_static_decay_095,1,1,1.0,1.27167113494,1347.522,236.0,24472.0,0.0,0.0,0.0,0.0,"{""decay_095"": 4}"
random-32-32-20,100,lacam_star_ltm,1,1,1.0,1.28865058088,1328.9307,237.0,23387.0,0.0,0.0,0.0,0.0,{}
warehouse-10-20-10-2-1,50,lacam_star,1,1,1.0,1.06539339838,3096.6795,7132.0,nan,0.0,0.0,0.0,0.0,{}
warehouse-10-20-10-2-1,50,lacam_star_lau_ltm_force_additive,1,1,1.0,1.08573801121,3883.7881,443.0,22000.0,2.0,0.0017,1.0,0.0,"{""additive_ltm"": 2}"
warehouse-10-20-10-2-1,50,lacam_star_lau_ltm_learned_every_k2,1,1,1.0,1.08573801121,3779.3872,443.0,22000.0,1.0,0.1365,2.0,0.0,"{""block_light"": 1}"
warehouse-10-20-10-2-1,50,lacam_star_lau_ltm_learned_every_restart,1,1,1.0,1.08573801121,3977.963,436.0,21650.0,3.0,0.4016,0.0,0.0,"{""block_light"": 3}"
warehouse-10-20-10-2-1,50,lacam_star_lau_ltm_learned_no_safety,1,1,1.0,1.08573801121,3820.8538,443.0,22000.0,2.0,0.3362,1.0,0.0,"{""block_light"": 2}"
warehouse-10-20-10-2-1,50,lacam_star_lau_ltm_learned_safety,1,1,1.0,1.08573801121,3920.977,443.0,22000.0,2.0,0.2563,1.0,0.0,"{""block_light"": 2}"
warehouse-10-20-10-2-1,50,lacam_star_lau_ltm_static_block_heavy,1,1,1.0,1.08573801121,3742.1541,458.0,22750.0,0.0,0.0,0.0,0.0,"{""block_heavy"": 3}"
warehouse-10-20-10-2-1,50,lacam_star_lau_ltm_static_decay_095,1,1,1.0,1.08573801121,3712.2927,443.0,22000.0,0.0,0.0,0.0,0.0,"{""decay_095"": 3}"
warehouse-10-20-10-2-1,50,lacam_star_ltm,1,1,1.0,1.08573801121,3729.6586,443.0,22000.0,0.0,0.0,0.0,0.0,{}
warehouse-10-20-10-2-1,100,lacam_star,1,1,1.0,1.14031526152,3080.7741,3659.0,nan,0.0,0.0,0.0,0.0,{}
warehouse-10-20-10-2-1,100,lacam_star_lau_ltm_force_additive,1,1,1.0,1.13446381658,5031.8746,194.0,19200.0,1.0,0.0004,1.0,0.0,"{""additive_ltm"": 1}"
warehouse-10-20-10-2-1,100,lacam_star_lau_ltm_learned_every_k2,1,1,1.0,1.13446381658,5039.4543,194.0,19200.0,0.0,0.0,2.0,0.0,{}
warehouse-10-20-10-2-1,100,lacam_star_lau_ltm_learned_every_restart,1,1,1.0,1.13446381658,5266.3321,194.0,19200.0,2.0,0.3147,0.0,0.0,"{""block_light"": 2}"
warehouse-10-20-10-2-1,100,lacam_star_lau_ltm_learned_no_safety,1,1,1.0,1.13446381658,5120.1633,194.0,19200.0,1.0,0.227,1.0,0.0,"{""block_light"": 1}"
warehouse-10-20-10-2-1,100,lacam_star_lau_ltm_learned_safety,1,1,1.0,1.13446381658,5303.2462,194.0,19200.0,1.0,0.192,1.0,0.0,"{""block_light"": 1}"
warehouse-10-20-10-2-1,100,lacam_star_lau_ltm_static_block_heavy,1,1,1.0,1.13446381658,5251.4835,194.0,19200.0,0.0,0.0,0.0,0.0,"{""block_heavy"": 2}"
warehouse-10-20-10-2-1,100,lacam_star_lau_ltm_static_decay_095,1,1,1.0,1.13446381658,5004.1363,194.0,19200.0,0.0,0.0,0.0,0.0,"{""decay_095"": 2}"
warehouse-10-20-10-2-1,100,lacam_star_ltm,1,1,1.0,1.13446381658,5038.1544,194.0,19200.0,0.0,0.0,0.0,0.0,{}
