feature,group,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
feature_agent_density_per_corridor_vertex,topology_agent,False,False,False,False,False
feature_agent_density_per_free_vertex,topology_agent,False,False,False,False,False
feature_agent_goal_clustering_proxy,topology_agent,False,False,False,False,False
feature_agent_path_intersection_proxy,topology_agent,False,False,False,False,False
feature_agent_path_length_imbalance,topology_agent,False,False,False,False,False
feature_agent_start_goal_overlap_rate,topology_agent,False,False,False,False,False
feature_blocked_local_position_mean,inherited_g528,False,False,False,False,False
feature_blocked_reason_backtrack_rate,inherited_g528,False,False,False,False,False
feature_blocked_reason_edge_swap_rate,inherited_g528,False,False,False,False,False
feature_blocked_reason_vertex_conflict_rate,inherited_g528,False,False,False,False,False
feature_candidate_predicted_blocked_edge_relief_metric,inherited_g528,False,False,False,False,False
feature_candidate_predicted_blocked_minus_committed_weight,inherited_g528,False,False,False,False,False
feature_candidate_predicted_congestion_decay_effect,inherited_g528,False,False,False,False,False
feature_candidate_predicted_flow_decay_effect,inherited_g528,False,False,False,False,False
feature_candidate_predicted_flow_shield_on_progress_edges,inherited_g528,False,False,False,False,False
feature_candidate_predicted_flow_shield_on_wait_edges,inherited_g528,False,False,False,False,False
feature_candidate_predicted_goal_progress_local_position_shift,inherited_g528,False,False,False,False,False
feature_candidate_predicted_goal_progress_rank_shift,inherited_g528,False,False,False,False,False
feature_candidate_predicted_nonprogress_penalty_metric,inherited_g528,False,False,False,False,False
feature_candidate_predicted_progress_minus_wait_weight,inherited_g528,False,False,False,False,False
feature_candidate_predicted_wait_local_position_shift,inherited_g528,False,False,False,False,False
feature_candidate_predicted_wait_rank_shift,inherited_g528,False,False,False,False,False
feature_candidate_predicted_weight_on_blocked_progress_edges,inherited_g528,False,False,False,False,False
feature_candidate_predicted_weight_on_committed_progress_edges,inherited_g528,False,False,False,False,False
feature_candidate_predicted_weight_on_wait_edges,inherited_g528,False,False,False,False,False
feature_candidate_x_backtrack_beta,candidate_topology_interaction,False,False,False,False,False
feature_candidate_x_bottleneck_alpha_blocked,candidate_topology_interaction,False,False,False,False,False
feature_candidate_x_corridor_flow_shield,candidate_topology_interaction,False,False,False,False,False
feature_candidate_x_dead_end_wait_penalty,candidate_topology_interaction,False,False,False,False,False
feature_candidate_x_density_beta,candidate_topology_interaction,False,False,False,False,False
feature_candidate_x_failure_rank_alpha_wait,candidate_topology_interaction,False,False,False,False,False
feature_candidate_x_local_cut_congestion_decay,candidate_topology_interaction,False,False,False,False,False
feature_candidate_x_path_overlap_flow_progress,candidate_topology_interaction,False,False,False,False,False
feature_candidate_x_vertex_conflict_flow_decay,candidate_topology_interaction,False,False,False,False,False
feature_committed_local_position_mean,inherited_g528,False,False,False,False,False
feature_committed_vs_blocked_rank_margin_x_candidate_flow,inherited_g528,False,False,False,False,False
feature_competing_neighbor_count_max,inherited_g528,False,False,False,False,False
feature_competing_neighbor_count_mean,inherited_g528,False,False,False,False,False
feature_congestion_decay_expected_on_blocked_edges,inherited_g528,False,False,False,False,False
feature_failed_candidate_backtrack_histogram,inherited_g528,False,False,False,False,False
feature_failed_candidate_edge_swap_histogram,inherited_g528,False,False,False,False,False
feature_failed_candidate_priority_block_histogram,inherited_g528,False,False,False,False,False
feature_failed_candidate_rank_histogram_max,inherited_g528,False,False,False,False,False
feature_failed_candidate_rank_histogram_mean,inherited_g528,False,False,False,False,False
feature_failed_candidate_reason_x_candidate_param_backtrack_flow_shield,inherited_g528,False,False,False,False,False
feature_failed_candidate_reason_x_candidate_param_vertex_conflict_alpha_blocked,inherited_g528,False,False,False,False,False
feature_failed_candidate_vertex_conflict_histogram,inherited_g528,False,False,False,False,False
feature_failed_rank_x_alpha_blocked,inherited_g528,False,False,False,False,False
feature_failed_rank_x_alpha_wait,inherited_g528,False,False,False,False,False
feature_failed_rank_x_flow_shield,inherited_g528,False,False,False,False,False
feature_failure_agent_repetition_rate,event_failure_graph,False,False,False,False,False
feature_failure_audit_event_count,event_failure_graph,False,False,False,False,False
feature_failure_backtrack_rate,event_failure_graph,False,False,False,False,False
feature_failure_candidate_count_max,event_failure_graph,False,False,False,False,False
feature_failure_candidate_count_mean,event_failure_graph,False,False,False,False,False
feature_failure_dependency_chain_proxy,event_failure_graph,False,False,False,False,False
feature_failure_edge_swap_rate,event_failure_graph,False,False,False,False,False
feature_failure_first_reason_hash,event_failure_graph,False,False,False,False,False
feature_failure_last_reason_hash,event_failure_graph,False,False,False,False,False
feature_failure_priority_block_rate,event_failure_graph,False,False,False,False,False
feature_failure_rank_entropy,event_failure_graph,False,False,False,False,False
feature_failure_reason_entropy,event_failure_graph,False,False,False,False,False
feature_failure_same_from_vertex_concentration,event_failure_graph,False,False,False,False,False
feature_failure_unknown_rate,event_failure_graph,False,False,False,False,False
feature_failure_vertex_conflict_rate,event_failure_graph,False,False,False,False,False
feature_failure_vertex_repetition_rate,event_failure_graph,False,False,False,False,False
feature_flow_decay_expected_on_committed_edges,inherited_g528,False,False,False,False,False
feature_flow_shield_expected_on_goal_progress,inherited_g528,False,False,False,False,False
feature_flow_shield_expected_on_wait_nonprogress,inherited_g528,False,False,False,False,False
feature_full_coverage_context_seen,inherited_g528,False,False,False,False,False
feature_g525_subset_membership,inherited_g528,False,False,False,False,False
feature_goal_aware_c_minus_f_alignment,inherited_g528,False,False,False,False,False
feature_goal_aware_congestion_on_blocked_edges,inherited_g528,False,False,False,False,False
feature_goal_aware_congestion_on_goal_progress_edges,inherited_g528,False,False,False,False,False
feature_goal_aware_flow_on_blocked_edges,inherited_g528,False,False,False,False,False
feature_goal_aware_flow_on_goal_progress_edges,inherited_g528,False,False,False,False,False
feature_goal_aware_update_balance,inherited_g528,False,False,False,False,False
feature_goal_progress_local_position_mean,inherited_g528,False,False,False,False,False
feature_local_margin_blocked_vs_committed_mean,inherited_g528,False,False,False,False,False
feature_local_margin_top1_top2_mean,inherited_g528,False,False,False,False,False
feature_missing_from_g525_subset,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_blocked_blocked_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_blocked_failed_rank_mean,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_blocked_goal_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_blocked_margin_to_static,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_blocked_region_prior,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_blocked_vertex_conflict_histogram,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_blocked_wait_penalty,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_committed_blocked_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_committed_failed_rank_mean,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_committed_goal_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_committed_margin_to_static,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_committed_region_prior,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_committed_vertex_conflict_histogram,inherited_g528,False,False,False,False,False
feature_mix_alpha_cong_committed_wait_penalty,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_progress_blocked_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_progress_failed_rank_mean,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_progress_goal_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_progress_margin_to_static,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_progress_region_prior,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_progress_vertex_conflict_histogram,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_progress_wait_penalty,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_blocked_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_failed_rank_mean,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_goal_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_margin_to_static,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_region_prior,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_vertex_conflict_histogram,inherited_g528,False,False,False,False,False
feature_mix_alpha_flow_wait_or_nonprogress_wait_penalty,inherited_g528,False,False,False,False,False
feature_mix_c_only_blocked_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_c_only_failed_rank_mean,inherited_g528,False,False,False,False,False
feature_mix_c_only_goal_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_c_only_margin_to_static,inherited_g528,False,False,False,False,False
feature_mix_c_only_region_prior,inherited_g528,False,False,False,False,False
feature_mix_c_only_vertex_conflict_histogram,inherited_g528,False,False,False,False,False
feature_mix_c_only_wait_penalty,inherited_g528,False,False,False,False,False
feature_mix_flow_shield_beta_blocked_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_flow_shield_beta_failed_rank_mean,inherited_g528,False,False,False,False,False
feature_mix_flow_shield_beta_goal_progress_relief,inherited_g528,False,False,False,False,False
feature_mix_flow_shield_beta_margin_to_static,inherited_g528,False,False,False,False,False
feature_mix_flow_shield_beta_region_prior,inherited_g528,False,False,False,False,False
feature_mix_flow_shield_beta_vertex_conflict_histogram,inherited_g528,False,False,False,False,False
