row_type,normalized_context_key,map,agents,seed,map_agent_group,map_family,selected_policy_candidate,selected_candidate_source,selected_candidate_family,selected_total_harmful,selected_solution_quality_delta_vs_static,oracle_new_candidate,oracle_new_candidate_delta_vs_static,old14_oracle_candidate,old14_oracle_delta_vs_static,static_candidate,static_total_harmful,new_candidate_best_gap_vs_old14,predicted_new_opportunity_probability,predicted_harmful_risk,selection_reason,new_opportunity_context,new_candidate_win_context,group_key,opportunity_contexts,captured_contexts,capture_rate
top_16_g518_new_candidate_win_context,maze-32-32-4|a50|s153|it0|14650fb0739d0383,maze-32-32-4,50,153,maze-32-32-4|a50,maze,repair5g59_static_flow_shield,old14,static,False,0.0,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,-0.0418760469,repair5g59_commit_heavy_flow_guard,-0.0188442211,repair5g59_static_flow_shield,False,-0.0230318258,0.35048411806235413,0.5436464799414784,fallback_static_old14_ranker_threshold,True,True,,,,
top_16_g518_new_candidate_win_context,random-32-32-20|a50|s152|it0|14650fb0739d0383,random-32-32-20,50,152,random-32-32-20|a50,random,repair5g59_block_heavy_flow_guard,old14,block_heavy,False,-0.01944209636,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,-0.03550295858,repair5g59_block_heavy_flow_guard,-0.01944209636,repair5g59_static_flow_shield,False,-0.01606086222,0.2938694387783161,0.12510773813481935,selected_old14_ranker,True,True,,,,
top_16_g518_new_candidate_win_context,maze-32-32-4|a50|s152|it0|14650fb0739d0383,maze-32-32-4,50,152,maze-32-32-4|a50,maze,repair5g59_static_flow_shield,old14,static,False,0.0,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,-0.02239583333,repair5g59_wait_conservative,-0.01041666666,repair5g59_static_flow_shield,False,-0.01197916667,0.5183938664807667,0.5174924445602742,fallback_static_old14_ranker_threshold,True,True,,,,
top_16_g518_new_candidate_win_context,random-32-32-20|a50|s148|it0|14650fb0739d0383,random-32-32-20,50,148,random-32-32-20|a50,random,repair5g59_static_flow_shield,old14,static,False,0.0,repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,-0.04680468047,repair5g59_block_heavy_flow_guard,-0.03510351036,repair5g59_static_flow_shield,False,-0.01170117011,0.43888459998464396,0.37483005344055,fallback_static_old14_ranker_threshold,True,True,,,,
top_16_g518_new_candidate_win_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,maze-32-32-4,50,151,maze-32-32-4|a50,maze,repair5g59_static_flow_shield,old14,static,False,0.0,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,-0.01127626858,repair5g59_commit_heavy_flow_guard,0.0,repair5g59_static_flow_shield,False,-0.01127626858,0.4370286224982407,0.32004373669654207,fallback_static_old14_ranker_threshold,True,True,,,,
top_16_g518_new_candidate_win_context,random-32-32-20|a100|s147|it0|14650fb0739d0383,random-32-32-20,100,147,random-32-32-20|a100,random,repair5g59_static_flow_shield,old14,static,False,0.0,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,-0.00760966875,repair5g59_flow_decay,0.0,repair5g59_static_flow_shield,False,-0.00760966875,0.40384264065240505,0.48300169094275214,fallback_static_old14_ranker_threshold,True,True,,,,
top_16_g518_new_candidate_win_context,random-32-32-20|a50|s146|it0|14650fb0739d0383,random-32-32-20,50,146,random-32-32-20|a50,random,repair5g59_block_heavy_flow_guard,old14,block_heavy,False,-0.01850048686,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,-0.03505355404,repair5g59_low_beta_high_cap,-0.03115871471,repair5g59_static_flow_shield,False,-0.00389483933,0.29902197910519485,0.02520586893508403,selected_old14_ranker,True,True,,,,
top_16_g518_new_candidate_win_context,random-32-32-20|a100|s155|it0|14650fb0739d0383,random-32-32-20,100,155,random-32-32-20|a100,random,repair5g59_static_flow_shield,old14,static,False,0.0,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,-0.10286754666,repair5g59_slow_decay_high_shield,-0.09922621757,repair5g59_static_flow_shield,False,-0.00364132909,0.3871867600273903,0.448244630769147,fallback_static_old14_ranker_threshold,True,True,,,,
top_16_g518_new_candidate_win_context,random-32-32-20|a50|s149|it0|14650fb0739d0383,random-32-32-20,50,149,random-32-32-20|a50,random,repair5g59_static_flow_shield,old14,static,False,0.0,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,-0.03238095238,repair5g59_slow_decay_high_shield,-0.03047619047,repair5g59_static_flow_shield,False,-0.00190476191,0.39072317032159987,0.28022182065703083,fallback_static_old14_ranker_threshold,True,True,,,,
top_16_g518_new_candidate_win_context,random-32-32-20|a100|s149|it0|14650fb0739d0383,random-32-32-20,100,149,random-32-32-20|a100,random,repair5g59_static_flow_shield,old14,static,False,0.0,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,-0.00885780885,repair5g59_high_beta_cap_safe,-0.00699300699,repair5g59_static_flow_shield,False,-0.00186480186,0.397815754453858,0.49419213675951923,fallback_static_old14_ranker_threshold,True,True,,,,
