split,map_name,sample_count,non_neutral_count,harmful_update_count,original_label_distribution,executable_label_distribution,family_distribution
train,empty-16-16,180,154,133,"{""block_heavy"": 31, ""block_light"": 19, ""commit_heavy"": 26, ""decay_090"": 12, ""decay_095"": 11, ""neutral_additive"": 26, ""wait_heavy"": 7, ""wait_light"": 48}","{""additive_ltm"": 26, ""block_heavy"": 31, ""block_light"": 19, ""commit_heavy"": 26, ""decay_090"": 12, ""decay_095"": 11, ""wait_heavy"": 7, ""wait_light"": 48}","{""additive"": 26, ""block"": 50, ""commit"": 26, ""decay"": 23, ""wait"": 55}"
train,empty-32-32,240,193,124,"{""block_heavy"": 47, ""block_light"": 13, ""commit_heavy"": 39, ""decay_090"": 11, ""decay_095"": 16, ""neutral_additive"": 47, ""wait_heavy"": 17, ""wait_light"": 50}","{""additive_ltm"": 47, ""block_heavy"": 47, ""block_light"": 13, ""commit_heavy"": 39, ""decay_090"": 11, ""decay_095"": 16, ""wait_heavy"": 17, ""wait_light"": 50}","{""additive"": 47, ""block"": 60, ""commit"": 39, ""decay"": 27, ""wait"": 67}"
train,maze-32-32-2,210,176,123,"{""block_heavy"": 24, ""block_light"": 29, ""commit_heavy"": 34, ""decay_090"": 16, ""decay_095"": 16, ""neutral_additive"": 34, ""wait_heavy"": 11, ""wait_light"": 46}","{""additive_ltm"": 34, ""block_heavy"": 24, ""block_light"": 29, ""commit_heavy"": 34, ""decay_090"": 16, ""decay_095"": 16, ""wait_heavy"": 11, ""wait_light"": 46}","{""additive"": 34, ""block"": 53, ""commit"": 34, ""decay"": 32, ""wait"": 57}"
train,random-32-32-10,240,196,140,"{""block_heavy"": 55, ""block_light"": 26, ""commit_heavy"": 22, ""decay_090"": 17, ""decay_095"": 12, ""neutral_additive"": 44, ""wait_heavy"": 22, ""wait_light"": 42}","{""additive_ltm"": 44, ""block_heavy"": 55, ""block_light"": 26, ""commit_heavy"": 22, ""decay_090"": 17, ""decay_095"": 12, ""wait_heavy"": 22, ""wait_light"": 42}","{""additive"": 44, ""block"": 81, ""commit"": 22, ""decay"": 29, ""wait"": 64}"
train,random-32-32-20,240,195,171,"{""block_heavy"": 34, ""block_light"": 19, ""commit_heavy"": 30, ""decay_090"": 21, ""decay_095"": 17, ""neutral_additive"": 45, ""wait_heavy"": 18, ""wait_light"": 56}","{""additive_ltm"": 45, ""block_heavy"": 34, ""block_light"": 19, ""commit_heavy"": 30, ""decay_090"": 21, ""decay_095"": 17, ""wait_heavy"": 18, ""wait_light"": 56}","{""additive"": 45, ""block"": 53, ""commit"": 30, ""decay"": 38, ""wait"": 74}"
train,random-64-64-10,240,170,40,"{""block_heavy"": 49, ""block_light"": 11, ""commit_heavy"": 61, ""decay_090"": 1, ""decay_095"": 9, ""neutral_additive"": 70, ""wait_heavy"": 30, ""wait_light"": 9}","{""additive_ltm"": 70, ""block_heavy"": 49, ""block_light"": 11, ""commit_heavy"": 61, ""decay_090"": 1, ""decay_095"": 9, ""wait_heavy"": 30, ""wait_light"": 9}","{""additive"": 70, ""block"": 60, ""commit"": 61, ""decay"": 10, ""wait"": 39}"
train,random-64-64-20,240,190,74,"{""block_heavy"": 58, ""block_light"": 11, ""commit_heavy"": 31, ""decay_090"": 13, ""decay_095"": 4, ""neutral_additive"": 50, ""wait_heavy"": 42, ""wait_light"": 31}","{""additive_ltm"": 50, ""block_heavy"": 58, ""block_light"": 11, ""commit_heavy"": 31, ""decay_090"": 13, ""decay_095"": 4, ""wait_heavy"": 42, ""wait_light"": 31}","{""additive"": 50, ""block"": 69, ""commit"": 31, ""decay"": 17, ""wait"": 73}"
train,room-32-32-4,231,201,166,"{""block_heavy"": 35, ""block_light"": 29, ""commit_heavy"": 40, ""decay_090"": 17, ""decay_095"": 22, ""neutral_additive"": 30, ""wait_heavy"": 16, ""wait_light"": 42}","{""additive_ltm"": 30, ""block_heavy"": 35, ""block_light"": 29, ""commit_heavy"": 40, ""decay_090"": 17, ""decay_095"": 22, ""wait_heavy"": 16, ""wait_light"": 42}","{""additive"": 30, ""block"": 64, ""commit"": 40, ""decay"": 39, ""wait"": 58}"
train,room-64-64-8,240,173,110,"{""block_heavy"": 38, ""block_light"": 30, ""commit_heavy"": 15, ""decay_090"": 11, ""decay_095"": 11, ""neutral_additive"": 67, ""wait_heavy"": 22, ""wait_light"": 46}","{""additive_ltm"": 67, ""block_heavy"": 38, ""block_light"": 30, ""commit_heavy"": 15, ""decay_090"": 11, ""decay_095"": 11, ""wait_heavy"": 22, ""wait_light"": 46}","{""additive"": 67, ""block"": 68, ""commit"": 15, ""decay"": 22, ""wait"": 68}"
train,warehouse-10-20-10-2-1,240,197,141,"{""block_heavy"": 30, ""block_light"": 27, ""commit_heavy"": 48, ""decay_090"": 17, ""decay_095"": 20, ""neutral_additive"": 43, ""wait_heavy"": 22, ""wait_light"": 33}","{""additive_ltm"": 43, ""block_heavy"": 30, ""block_light"": 27, ""commit_heavy"": 48, ""decay_090"": 17, ""decay_095"": 20, ""wait_heavy"": 22, ""wait_light"": 33}","{""additive"": 43, ""block"": 57, ""commit"": 48, ""decay"": 37, ""wait"": 55}"
