selector_type,min_support_count,min_effective_neighbors,max_neighbor_distance,min_predicted_margin,max_candidate_worse_rate,max_group_worse_rate,min_fold_agreement,non_additive_budget,additive_fallback_threshold,support_rows,better,equal,worse,better_minus_worse,mean_delta_ratio_vs_ltm,ratio_worse_than_ltm_groups,success_worse_than_ltm_groups,zero_nonadditive_groups,selected_nonadditive_cases,additive_fallback_cases,additive_fallback_rate,support_primary_passed,selected_candidate_distribution
group_balanced_utility,5,3,999.0,0.0,0.5,0.5,0,1.0,0.0,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,5,3,999.0,0.0,1.0,1.0,0,1.0,0.0,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,5,3,999.0,0.003,0.5,0.5,0,1.0,0.003,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,5,3,999.0,0.003,1.0,1.0,0,1.0,0.003,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,5,5,999.0,0.0,0.5,0.5,0,1.0,0.0,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,5,5,999.0,0.0,1.0,1.0,0,1.0,0.0,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,5,5,999.0,0.003,0.5,0.5,0,1.0,0.003,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,5,5,999.0,0.003,1.0,1.0,0,1.0,0.003,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,20,3,999.0,0.0,0.5,0.5,0,1.0,0.0,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,20,3,999.0,0.0,1.0,1.0,0,1.0,0.0,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,20,3,999.0,0.003,0.5,0.5,0,1.0,0.003,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,20,3,999.0,0.003,1.0,1.0,0,1.0,0.003,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,20,5,999.0,0.0,0.5,0.5,0,1.0,0.0,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
group_balanced_utility,20,5,999.0,0.0,1.0,1.0,0,1.0,0.0,120,31,66,23,8,-0.0028752109667166794,1,0,0,120,0,0.0,True,"{""c100_b100_w075_d090"": 119, ""c125_b125_w100_d100"": 1}"
