min_predicted_margin,min_support_count,max_neighbor_distance,min_fold_agreement,max_rule_risk,rule_risk_caps,non_additive_budget,allow_commit_heavy,rows,selected_nonadditive_rows,better,equal,worse,mean_delta_ratio_vs_ltm,ratio_worse_than_ltm_groups,success_worse_than_ltm_groups,zero_nonadditive_groups,total_groups,selected_rule_distribution,passes_primary_goal
0.001,4,0.25,1,0.0,"{""commit_heavy"": 0.0}",1,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.0,"{""commit_heavy"": 0.0}",1,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.0,"{""commit_heavy"": 0.0}",2,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.0,"{""commit_heavy"": 0.0}",2,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.0,"{""commit_heavy"": 0.0}",3,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.0,"{""commit_heavy"": 0.0}",3,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.0,"{""commit_heavy"": 0.0}",99,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.0,"{""commit_heavy"": 0.0}",99,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.1,"{""commit_heavy"": 0.0}",1,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.1,"{""commit_heavy"": 0.1}",1,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.1,"{""commit_heavy"": 0.0}",2,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.1,"{""commit_heavy"": 0.1}",2,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.1,"{""commit_heavy"": 0.0}",3,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.1,"{""commit_heavy"": 0.1}",3,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.1,"{""commit_heavy"": 0.0}",99,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.1,"{""commit_heavy"": 0.1}",99,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.25,"{""commit_heavy"": 0.0}",1,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.25,"{""commit_heavy"": 0.1}",1,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.25,"{""commit_heavy"": 0.0}",2,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.25,"{""commit_heavy"": 0.1}",2,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.25,"{""commit_heavy"": 0.0}",3,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.25,"{""commit_heavy"": 0.1}",3,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.25,"{""commit_heavy"": 0.0}",99,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,1,0.25,"{""commit_heavy"": 0.1}",99,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.0,"{""commit_heavy"": 0.0}",1,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.0,"{""commit_heavy"": 0.0}",1,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.0,"{""commit_heavy"": 0.0}",2,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.0,"{""commit_heavy"": 0.0}",2,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.0,"{""commit_heavy"": 0.0}",3,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.0,"{""commit_heavy"": 0.0}",3,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.0,"{""commit_heavy"": 0.0}",99,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.0,"{""commit_heavy"": 0.0}",99,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.1,"{""commit_heavy"": 0.0}",1,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.1,"{""commit_heavy"": 0.1}",1,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.1,"{""commit_heavy"": 0.0}",2,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.1,"{""commit_heavy"": 0.1}",2,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.1,"{""commit_heavy"": 0.0}",3,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.1,"{""commit_heavy"": 0.1}",3,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.1,"{""commit_heavy"": 0.0}",99,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.1,"{""commit_heavy"": 0.1}",99,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.25,"{""commit_heavy"": 0.0}",1,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.25,"{""commit_heavy"": 0.1}",1,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.25,"{""commit_heavy"": 0.0}",2,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.25,"{""commit_heavy"": 0.1}",2,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.25,"{""commit_heavy"": 0.0}",3,False,2100,0,0,2100,0,0.0,0,0,6,6,{},False
0.001,4,0.25,2,0.25,"{""commit_heavy"": 0.1}",3,True,2100,0,0,2100,0,0.0,0,0,6,6,{},False
