agents,baseline_method,baseline_ratio,baseline_success,better_vs_ltm,candidate_id,component,contender_method,delta_ratio_vs_ltm,equal_vs_ltm,g51_classification,map,policy_control,repair5g2_selected_source_method,repair5g3_synthetic_source_method,scen,seed,strict_policy_failure,success,sum_of_loss_ratio,worse_vs_ltm
100,lacam_star_ltm,,False,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,time_budget_or_success_sensitivity_pending_reproducer,random-32-32-20,force_additive,,,random-32-32-20-random-126.scen,126,True,False,,False
100,lacam_star_ltm,,False,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-127.scen,127,True,False,,False
100,lacam_star_ltm,1.14442413163,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-128.scen,128,True,False,,True
100,lacam_star_ltm,1.16354981299,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-129.scen,129,True,False,,True
100,lacam_star_ltm,,False,True,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-130.scen,130,True,True,1.15028293196,False
100,lacam_star_ltm,1.1542219995,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-131.scen,131,True,False,,True
100,lacam_star_ltm,1.18359329867,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-132.scen,132,True,False,,True
100,lacam_star_ltm,1.16053157709,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-133.scen,133,True,False,,True
100,lacam_star_ltm,,False,True,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,force_additive,,,warehouse-10-20-10-2-1-random-135.scen,135,True,True,1.17181751288,False
100,lacam_star_ltm,,False,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,,False,time_budget_or_success_sensitivity_pending_reproducer,random-32-32-20,disable,,,random-32-32-20-random-126.scen,126,True,False,,False
50,lacam_star_ltm,1.07934304881,True,True,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,-0.016655100629999975,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,disable,,,warehouse-10-20-10-2-1-random-133.scen,133,True,True,1.06268794818,False
100,lacam_star_ltm,1.13091679123,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,disable,,,warehouse-10-20-10-2-1-random-126.scen,126,True,False,,True
100,lacam_star_ltm,,False,True,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,,False,time_budget_or_success_sensitivity_pending_reproducer,warehouse-10-20-10-2-1,disable,,,warehouse-10-20-10-2-1-random-127.scen,127,True,True,1.20449144487,False
