agent_count,contexts,complete_triples,ltm_30s_success_rate,ltm_30s_median_ratio,static_flow_30s_success_rate,static_flow_30s_median_ratio,gate3b_actor_30s_success_rate,gate3b_actor_30s_median_ratio,actor_vs_ltm_median_relative_quality_improvement,actor_vs_ltm_success_gain_count,actor_vs_ltm_success_regression_count,actor_vs_static_flow_median_relative_quality_improvement,actor_vs_static_flow_success_gain_count,actor_vs_static_flow_success_regression_count,static_flow_vs_ltm_median_relative_quality_improvement,static_flow_vs_ltm_success_gain_count,static_flow_vs_ltm_success_regression_count
1000,34,34,1.0,1.403484314455,1.0,1.40671623771,1.0,1.445539848755,-0.05832174364366009,0,0,-0.04438254030307248,0,0,-0.007422045361089874,0,0
12,96,96,1.0,1.018423767,1.0,1.013449975135,1.0,1.006751802865,0.007506830789695929,0,0,0.004098636027280744,0,0,0.0,0,0
128,20,20,1.0,1.3403869636999999,1.0,1.387989811575,1.0,1.47735502931,-0.02325479154753987,0,0,-0.02336074411481746,0,0,-0.002958770482706854,0,0
1500,22,22,1.0,1.8223331759699999,1.0,1.9128889189049998,1.0,1.985989009735,-0.09258611563305306,0,0,-0.03538262226111029,0,0,-0.053530416262089625,0,0
16,87,87,1.0,1.03401360544,1.0,1.01955307263,0.9080459770114943,1.01169590643,0.008108108107736257,0,8,0.0018214936206931644,0,8,0.003154574136146347,0,0
192,65,65,1.0,1.2599517491,1.0,1.24470766129,0.9692307692307692,1.26762019645,0.002614379082336469,0,2,-0.0027850589828357754,0,2,0.008186935021123078,0,0
2000,18,18,0.5555555555555556,5.900543019894999,0.5555555555555556,6.01064640241,0.5555555555555556,6.00962662281,-0.0562036544539308,0,0,-0.021696821747337714,0,0,-0.04587976643085641,0,0
24,69,69,1.0,1.05215827338,1.0,1.03569192235,1.0,1.03045685279,0.014608233729497893,0,0,0.0032154340864569823,0,0,0.005791505791505796,0,0
256,53,53,1.0,1.23592444606,1.0,1.22828875046,1.0,1.24264016501,0.0011307100867069544,0,0,-0.005114034718603261,0,0,0.006558118497416658,0,0
32,105,105,1.0,1.03678929766,1.0,1.0272479564,1.0,1.01749271137,0.00909681611875746,0,0,0.0036231884041811545,0,0,0.0033206831167644957,0,0
384,58,58,1.0,1.36029525989,1.0,1.354545769715,1.0,1.279567734375,0.00404081428895532,0,0,-0.005874008538366491,0,0,0.006142114417492628,0,0
48,99,99,1.0,1.085,1.0,1.06323777403,1.0,1.06126687435,0.015548645051074643,0,0,0.0015008576367582715,0,0,0.013445378152333027,0,0
512,43,43,0.9534883720930233,1.85327090477,0.9534883720930233,1.98656998739,0.9534883720930233,2.11106306751,-0.05734807889567482,0,0,-0.018956584602396975,0,0,-0.019154030329056545,0,0
64,66,66,1.0,1.094054390535,1.0,1.06799297477,1.0,1.0655932418,0.012952074188896417,0,0,0.0014391947928531833,0,0,0.012622431552877306,0,0
768,47,47,0.9574468085106383,1.34577529402,0.9574468085106383,1.34603468394,0.8723404255319149,1.36985118803,-0.018231397645295914,0,4,-0.021368344979272036,0,4,0.0,0,0
8,24,24,1.0,1.01063829787,1.0,1.00863787131,1.0,1.00176678445,0.005708977922263031,0,0,0.004226956884455994,0,0,0.0,0,0
80,94,94,1.0,1.101250525435,1.0,1.0870287378499999,0.9468085106382979,1.06587574149,0.012377185150516121,0,5,0.0020629190300366722,0,5,0.00977720852048999,0,0
