better,component,equal,mean_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,worse
0,control,239,0.0,always_additive_defer,0,240,0,0
0,control,238,0.0,laur_disable,0,240,0,1
0,control,237,0.0,laur_force_additive_direct,0,240,0,2
54,scalar,132,1.9386608310920164e-05,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,2,240,0,54
0,scalar,237,0.0,repair5f_candidate_additive_ltm,0,240,0,2
56,scalar,129,0.0005339901798577423,repair5f_static_c100_b100_w075_d090,3,240,0,55
119,flow_shield,78,-0.01740697971160084,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,2,240,0,43
129,flow_shield,73,-0.017841402696689077,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,1,240,0,38
117,flow_shield,77,-0.012831045359684871,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,2,240,0,46
123,flow_shield,78,-0.016410173082962193,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,1,240,0,39
123,flow_shield,78,-0.016410173082962193,repair5g2_best_frozen_static_candidate,1,240,0,39
52,c_equiv,129,-0.0004763340012899129,repair5g2_c_equiv_best_frozen_baseline,2,240,0,59
124,flow_shield,89,-0.01862021635864017,repair5g2_frozen_static_or_selector,0,240,0,27
123,control,78,-0.016410173082962193,repair5g2_g1_top_diagnostic_candidate,1,240,0,39
122,negative_control,77,-0.01563740779221009,repair5g4_random_flow_shield_diagnostic_seed0,1,240,0,41
119,negative_control,81,-0.01565005014586555,repair5g4_random_flow_shield_diagnostic_seed1,1,240,0,40
117,negative_control,81,-0.016062811026100843,repair5g4_shuffled_flow_shield_diagnostic_seed0,1,240,0,42
114,negative_control,89,-0.015481350629920171,repair5g4_shuffled_goal_progress_diagnostic_seed0,2,240,0,37
1,control,236,0.00016960799759493646,repair5g_dual_additive_parity,1,240,0,3
1,c_equiv,239,0.0,repair5g_dual_c_equiv_additive,0,240,0,0
56,c_equiv,124,0.00039514939941772504,repair5g_dual_c_equiv_c100_b100_w075_d095,2,240,0,60
52,c_equiv,129,-0.0004763340012899129,repair5g_dual_c_equiv_c100_b100_w075_d100,2,240,0,59
