source_region_id,candidate_id,suggestion,map_family,budget_ms,agents,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g539_s2_081|maze|2000|50,repair5g539_s2_081,local_refine_around_safe_region,maze,2000,50,False,False,False,False,False
repair5g539_s3_112|maze|2000|50,repair5g539_s3_112,local_refine_around_safe_region,maze,2000,50,False,False,False,False,False
