actual_action_class,predicted_action_class,count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
abstain_due_risk,old14_select,50,False,False,False,False,False
abstain_due_risk,safe_g522_select,3,False,False,False,False,False
old14_g518_fallback,old14_select,160,False,False,False,False,False
old14_g518_fallback,safe_g522_select,8,False,False,False,False,False
old14_select,old14_select,199,False,False,False,False,False
safe_g522_select,old14_select,67,False,False,False,False,False
safe_g522_select,safe_g522_select,123,False,False,False,False,False
