agents,decision_status,map,method,selected_candidate_id,selected_rule_source,updates
50,applied,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,runtime,10
50,applied,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,runtime,30
100,applied,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,runtime,10
100,applied,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,runtime,30
50,applied,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,runtime,10
50,applied,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,runtime,30
100,applied,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,runtime,9
100,applied,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,runtime,27
50,applied,warehouse-10-20-10-2-1,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,runtime,20
100,applied,warehouse-10-20-10-2-1,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,runtime,10
