split,checkpoint_id,run_id,map_name,agents,seed,iteration,top_k,safety_scope,target_rule,target_in_candidates,top1_among_candidates,selected_decision,selected_rule,selection_reason,candidate_rules,safe_candidate_rules,selected_delta,additive_delta,selected_vs_additive_delta,selected_utility,additive_utility,selected_vs_additive_utility,oracle_best_safe_rule,utility_regret_to_oracle,selected_harmful,has_high_margin_nonadditive_opportunity,opportunity_margin
validation,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000,empty-48-48,100,10,0,3,per_rule,block_heavy,True,True,defer_ltm,additive_ltm,low_opportunity,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[""block_heavy"", ""wait_heavy"", ""decay_090""]",0.0,0.0,0.0,0.0,0.0,0.0,block_heavy,0.0226303706133,False,True,0.01
validation,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000,empty-48-48,100,10,1,3,per_rule,commit_heavy,True,True,use_nonadditive,commit_heavy,safe_reranker_score,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[""commit_heavy"", ""wait_heavy"", ""block_heavy""]",0.0059035749426,0.0,0.0059035749426,0.0059035749426,0.0,0.0059035749426,commit_heavy,0.0,False,False,0.01
validation,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000,empty-48-48,100,10,2,3,per_rule,wait_light,False,False,defer_ltm,additive_ltm,low_opportunity,"[""block_heavy"", ""wait_heavy"", ""commit_heavy""]","[""block_heavy"", ""wait_heavy"", ""commit_heavy""]",0.0,0.0,0.0,0.0,0.0,0.0,wait_light,0.0180387012135,False,False,0.01
validation,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i10__phase4_phase4-full-repair5-expand5000,empty-48-48,100,10,3,3,per_rule,commit_heavy,True,False,defer_ltm,additive_ltm,low_opportunity,"[""block_heavy"", ""wait_heavy"", ""commit_heavy""]","[""block_heavy"", ""wait_heavy"", ""commit_heavy""]",0.0,0.0,0.0,0.0,0.0,0.0,commit_heavy,0.0118071498852,False,False,0.01
validation,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000,empty-48-48,100,11,0,3,per_rule,block_heavy,True,True,defer_ltm,additive_ltm,low_opportunity,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[""block_heavy"", ""wait_heavy"", ""decay_090""]",0.0,0.0,0.0,0.0,0.0,0.0,block_heavy,0.0140974563285,False,False,0.01
validation,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000,empty-48-48,100,11,1,3,per_rule,block_heavy,True,False,defer_ltm,additive_ltm,utility_margin_defer,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[""commit_heavy"", ""wait_heavy"", ""block_heavy""]",0.0,0.0,0.0,0.0,0.0,0.0,block_heavy,0.0186944529574,False,False,0.01
validation,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000__iter2,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000,empty-48-48,100,11,2,3,per_rule,wait_light,False,False,defer_ltm,additive_ltm,utility_margin_defer,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[""commit_heavy"", ""block_heavy"", ""wait_heavy""]",0.0,0.0,0.0,0.0,0.0,0.0,wait_light,0.00459699662887,False,False,0.01
validation,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000__iter3,empty-48-48__a100__i11__phase4_phase4-full-repair5-expand5000,empty-48-48,100,11,3,3,per_rule,wait_light,False,False,defer_ltm,additive_ltm,low_opportunity,"[""commit_heavy"", ""block_heavy"", ""wait_heavy""]","[""commit_heavy"", ""block_heavy"", ""wait_heavy""]",0.0,0.0,0.0,0.0,0.0,0.0,wait_light,0.0137909898866,False,False,0.01
validation,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000__iter0,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000,empty-48-48,100,12,0,3,per_rule,wait_heavy,True,False,defer_ltm,additive_ltm,low_opportunity,"[""block_heavy"", ""wait_heavy"", ""decay_090""]","[""block_heavy"", ""wait_heavy"", ""decay_090""]",0.0,0.0,0.0,0.0,0.0,0.0,wait_heavy,0.00388059701493,False,False,0.01
validation,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000__iter1,empty-48-48__a100__i12__phase4_phase4-full-repair5-expand5000,empty-48-48,100,12,1,3,per_rule,commit_heavy,True,True,use_nonadditive,commit_heavy,safe_reranker_score,"[""commit_heavy"", ""wait_heavy"", ""block_heavy""]","[""commit_heavy"", ""wait_heavy"", ""block_heavy""]",0.00955223880597,0.0,0.00955223880597,0.00955223880597,0.0,0.00955223880597,commit_heavy,0.0,False,False,0.01
