map,agents,method,runs,successes,success_rate,ratio_mean,ratio_median,ratio_std,runtime_ms_mean
empty-32-32,100,lacam_star,25,25,1.0,1.1180902888104,1.11998132586,0.011277458771817777,31786.53731416
empty-32-32,100,lacam_star_ltm,25,25,1.0,1.0691327997792,1.06826401447,0.008828250802980843,30009.08692908
empty-32-32,200,lacam_star,25,25,1.0,1.2576338654144,1.25856125029,0.019075821368810815,31492.02208708
empty-32-32,200,lacam_star_ltm,25,25,1.0,1.161841760662,1.16092730137,0.011500620727430962,30017.396171
empty-32-32,300,lacam_star,25,25,1.0,1.4180343543612,1.41344257321,0.019635624841165145,31211.16333912
empty-32-32,300,lacam_star_ltm,25,25,1.0,1.2715739003288,1.27137367915,0.011026027104850225,30026.36794888
empty-32-32,400,lacam_star,25,25,1.0,1.6194694580032,1.61582177768,0.025029315902043842,30863.4034504
empty-32-32,400,lacam_star_ltm,25,25,1.0,1.3969055535448,1.39393573327,0.015382381370613612,30023.45612828
empty-32-32,500,lacam_star,25,25,1.0,1.8881039043412,1.89241557483,0.043232506725889464,30809.51932656
empty-32-32,500,lacam_star_ltm,25,25,1.0,1.5489392158832,1.54413244306,0.01781189462375024,30033.15583156
empty-32-32,600,lacam_star,25,25,1.0,2.2228375124276,2.2371102192,0.0551397729906113,30471.61820288
empty-32-32,600,lacam_star_ltm,25,25,1.0,1.73330512061,1.73375507654,0.019410274849800496,30047.3514114
empty-32-32,700,lacam_star,25,25,1.0,2.6598337943136,2.67379965227,0.07001193119143367,30553.18973788
empty-32-32,700,lacam_star_ltm,25,25,1.0,1.9833320364404001,1.98100514444,0.02442756573920174,30039.07137804
empty-32-32,800,lacam_star,25,25,1.0,3.2444022784464,3.23277478322,0.08771651852576348,30394.5732556
empty-32-32,800,lacam_star_ltm,25,25,1.0,2.3813720947612,2.3805273597,0.028953779741955836,30052.4710946
empty-32-32,900,lacam_star,25,25,1.0,4.2407055685692,4.25731903207,0.11609542688744673,30469.91039548
empty-32-32,900,lacam_star_ltm,25,25,1.0,3.1671015448712,3.16628654365,0.0577602875833574,30084.08652876
empty-32-32,1000,lacam_star,25,25,1.0,8.5314693425952,8.01157580284,2.008098338563108,30449.2211054
empty-32-32,1000,lacam_star_ltm,25,25,1.0,8.210123125888,7.71383395478,3.1350704211494294,30029.8360622
empty-48-48,200,lacam_star,25,25,1.0,1.1142661957748,1.1126984127,0.008472571697114654,31771.09969104
empty-48-48,200,lacam_star_ltm,25,25,1.0,1.0679393475232,1.06912513501,0.004753469519576139,30042.0402344
empty-48-48,400,lacam_star,25,25,1.0,1.2360049955152,1.23836276083,0.011430343206342246,31195.65632936
empty-48-48,400,lacam_star_ltm,25,25,1.0,1.1507416114103999,1.15041230574,0.003923826735073164,30101.07777752
empty-48-48,600,lacam_star,25,25,1.0,1.3692863654256,1.36999894437,0.013010566015757135,30600.40933852
empty-48-48,600,lacam_star_ltm,25,25,1.0,1.2442796327012,1.24598847172,0.006080840794405519,30109.31328092
empty-48-48,800,lacam_star,25,25,1.0,1.5383804608832,1.53826540467,0.020054459199377712,30499.59755264
