agents,better,equal,map,mean_delta_ratio_vs_ltm,method,rows,worse
50,0,25,maze-32-32-4,0.0,always_additive_defer,25,0
50,0,25,maze-32-32-4,0.0,laur_disable,25,0
50,0,25,maze-32-32-4,0.0,laur_force_additive_direct,25,0
50,11,4,maze-32-32-4,-0.007337401867999978,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,25,10
50,0,25,maze-32-32-4,0.0,repair5f_candidate_additive_ltm,25,0
50,10,7,maze-32-32-4,-0.0075824497663200185,repair5f_static_c100_b100_w075_d090,25,8
50,9,6,maze-32-32-4,-0.0037380665385999645,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75,25,10
50,13,4,maze-32-32-4,-0.009481965105119965,repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75,25,8
50,12,4,maze-32-32-4,-0.006984912253719977,repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75,25,9
50,13,4,maze-32-32-4,-0.007779230651839999,repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75,25,8
50,13,6,maze-32-32-4,-0.00658202735099997,repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75,25,6
50,15,4,maze-32-32-4,-0.006034915192519965,repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75,25,6
50,10,6,maze-32-32-4,-0.009684322162279995,repair5g1_random_static_diagnostic,25,9
50,16,5,maze-32-32-4,-0.011217641872799975,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,25,4
50,16,2,maze-32-32-4,-0.010325883079439983,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,25,7
50,16,2,maze-32-32-4,-0.010325883079439983,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,25,7
50,16,4,maze-32-32-4,-0.0120228327538,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,25,5
50,15,2,maze-32-32-4,-0.016330972680679973,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,25,8
50,18,2,maze-32-32-4,-0.018896551952239982,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,25,5
50,15,3,maze-32-32-4,-0.010745412371799996,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,25,7
50,18,3,maze-32-32-4,-0.020570101928199955,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,25,4
50,21,0,maze-32-32-4,-0.02240639553699998,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,25,4
50,17,4,maze-32-32-4,-0.018993760612879985,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,25,4
50,20,1,maze-32-32-4,-0.02155742323395998,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,25,4
50,20,1,maze-32-32-4,-0.03559589137623997,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,25,4
50,18,2,maze-32-32-4,-0.012930365497679973,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,25,5
50,15,4,maze-32-32-4,-0.007009117925399995,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,25,6
50,15,4,maze-32-32-4,-0.007009117925399995,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,25,6
50,13,5,maze-32-32-4,-0.016597144983599998,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,25,7
50,18,3,maze-32-32-4,-0.02232682298203998,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,25,4
50,17,4,maze-32-32-4,-0.02012145340795999,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,25,4
50,17,2,maze-32-32-4,-0.012216082936319973,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,25,6
50,20,1,maze-32-32-4,-0.028666620283119996,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,25,4
50,17,2,maze-32-32-4,-0.025403660181359974,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,25,6
50,17,2,maze-32-32-4,-0.017564992863519965,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,25,6
50,22,2,maze-32-32-4,-0.025725615829599965,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,25,1
50,22,0,maze-32-32-4,-0.032182957189879964,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,25,3
50,13,4,maze-32-32-4,-0.01113929552747999,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25,25,8
50,16,3,maze-32-32-4,-0.012657213929479978,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5,25,6
50,16,3,maze-32-32-4,-0.012657213929479978,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75,25,6
50,17,2,maze-32-32-4,-0.013874179422439993,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25,25,6
50,14,4,maze-32-32-4,-0.01797155348263998,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,25,7
50,20,1,maze-32-32-4,-0.02275449907031998,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75,25,4
50,18,0,maze-32-32-4,-0.012653025904559976,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25,25,7
50,22,1,maze-32-32-4,-0.02783185870703997,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,25,2
50,22,1,maze-32-32-4,-0.02870055567859996,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,25,2
50,13,4,maze-32-32-4,-0.009447703999399999,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25,25,8
50,20,1,maze-32-32-4,-0.024882032022559963,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,25,4
50,24,0,maze-32-32-4,-0.03589908291539998,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,25,1
50,15,4,maze-32-32-4,-0.016600014626399994,repair5g2_random_candidate_diagnostic,25,6
50,22,2,maze-32-32-4,-0.026260579140959965,repair5g2_shuffled_flow_shield_diagnostic,25,1
50,20,2,maze-32-32-4,-0.024253644848159964,repair5g2_shuffled_goal_progress_diagnostic,25,3
50,0,25,maze-32-32-4,0.0,repair5g_dual_additive_parity,25,0
50,0,25,maze-32-32-4,0.0,repair5g_dual_c_equiv_additive,25,0
50,10,7,maze-32-32-4,-0.0075824497663200185,repair5g_dual_c_equiv_c100_b100_w075_d090,25,8
50,8,8,maze-32-32-4,-0.0032592497814399836,repair5g_dual_c_equiv_c100_b100_w075_d095,25,9
50,11,6,maze-32-32-4,-0.001296942054079966,repair5g_dual_c_equiv_c100_b100_w075_d100,25,8
50,10,5,maze-32-32-4,-0.0031994390307999777,repair5g_dual_c_equiv_c100_b125_w075_d100,25,10
50,11,4,maze-32-32-4,-0.007337401867999978,repair5g_dual_c_equiv_c125_b125_w075_d095,25,10
100,0,25,maze-32-32-4,0.0,always_additive_defer,25,0
100,0,25,maze-32-32-4,0.0,laur_disable,25,0
100,0,25,maze-32-32-4,0.0,laur_force_additive_direct,25,0
100,10,0,maze-32-32-4,0.00802093231079998,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,25,15
100,0,25,maze-32-32-4,0.0,repair5f_candidate_additive_ltm,25,0
100,11,0,maze-32-32-4,0.0066034553608000125,repair5f_static_c100_b100_w075_d090,25,14
100,13,1,maze-32-32-4,0.002045786619599994,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75,25,11
100,12,0,maze-32-32-4,0.002909056384399964,repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75,25,13
100,9,0,maze-32-32-4,0.01100412433039998,repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75,25,16
100,10,0,maze-32-32-4,0.0027288403027999754,repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75,25,15
100,11,0,maze-32-32-4,0.013330416579999999,repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75,25,14
100,9,0,maze-32-32-4,0.0048895332223999775,repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75,25,16
100,12,0,maze-32-32-4,0.005008203522799999,repair5g1_random_static_diagnostic,25,13
100,14,0,maze-32-32-4,-0.002595681133600012,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,25,11
100,12,1,maze-32-32-4,0.0077897125247999984,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,25,12
100,12,1,maze-32-32-4,0.0077897125247999984,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,25,12
100,19,0,maze-32-32-4,-0.005738046206400016,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,25,6
100,13,0,maze-32-32-4,0.0016130640843999534,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,25,12
100,9,0,maze-32-32-4,0.012677252436399958,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,25,16
100,14,0,maze-32-32-4,0.002825496439599977,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,25,11
100,14,0,maze-32-32-4,0.0021543944627999776,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,25,11
100,14,0,maze-32-32-4,-0.0011065694280000303,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,25,11
100,12,0,maze-32-32-4,0.004091244600399993,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,25,13
100,18,0,maze-32-32-4,-0.005143224593600007,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,25,7
100,15,0,maze-32-32-4,-0.0015805316224000254,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,25,10
100,12,0,maze-32-32-4,0.003088810799999964,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,25,13
100,14,0,maze-32-32-4,0.004302628435999996,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,25,11
100,14,0,maze-32-32-4,0.004302628435999996,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,25,11
100,14,0,maze-32-32-4,-0.004682632393200032,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,25,11
100,15,0,maze-32-32-4,0.006183512091199983,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,25,10
100,14,0,maze-32-32-4,0.0026177553871999937,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,25,11
100,14,0,maze-32-32-4,0.0005072370911999791,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,25,11
100,16,0,maze-32-32-4,-0.005396514698799999,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,25,9
100,12,0,maze-32-32-4,0.0045327288903999645,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,25,13
100,11,0,maze-32-32-4,0.004011962255599961,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,25,14
100,18,0,maze-32-32-4,-0.0045656111012000265,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,25,7
100,15,0,maze-32-32-4,0.0027200542607999888,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,25,10
100,13,0,maze-32-32-4,0.0004818494275999807,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25,25,12
100,12,1,maze-32-32-4,0.0014405776060000086,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5,25,12
100,12,1,maze-32-32-4,0.0014405776060000086,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75,25,12
100,16,1,maze-32-32-4,-0.00516236077280003,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25,25,8
100,14,0,maze-32-32-4,-0.005896115643600019,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,25,11
100,9,0,maze-32-32-4,0.009318610507999986,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75,25,16
100,13,0,maze-32-32-4,-0.0015883059224000285,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25,25,12
100,17,0,maze-32-32-4,-0.008126329762000006,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,25,8
100,11,0,maze-32-32-4,0.0027484757863999844,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,25,14
100,15,0,maze-32-32-4,-0.0010428198896000219,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25,25,10
100,17,0,maze-32-32-4,-0.007530525324000008,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,25,8
100,14,0,maze-32-32-4,-0.006617924408800011,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,25,11
100,11,0,maze-32-32-4,0.00030457754959998693,repair5g2_random_candidate_diagnostic,25,14
100,16,0,maze-32-32-4,-0.004515236958800033,repair5g2_shuffled_flow_shield_diagnostic,25,9
100,16,0,maze-32-32-4,-0.004259428722800039,repair5g2_shuffled_goal_progress_diagnostic,25,9
100,0,25,maze-32-32-4,0.0,repair5g_dual_additive_parity,25,0
100,0,24,maze-32-32-4,0.005310647073999997,repair5g_dual_c_equiv_additive,25,1
100,11,0,maze-32-32-4,0.010264192664400014,repair5g_dual_c_equiv_c100_b100_w075_d090,25,14
100,11,0,maze-32-32-4,0.0023052941803999704,repair5g_dual_c_equiv_c100_b100_w075_d095,25,14
100,16,0,maze-32-32-4,-0.004605748995199992,repair5g_dual_c_equiv_c100_b100_w075_d100,25,9
100,13,0,maze-32-32-4,0.005742355163199973,repair5g_dual_c_equiv_c100_b125_w075_d100,25,12
100,10,0,maze-32-32-4,0.00802093231079998,repair5g_dual_c_equiv_c125_b125_w075_d095,25,15
50,0,25,random-32-32-20,0.0,always_additive_defer,25,0
50,0,25,random-32-32-20,0.0,laur_disable,25,0
50,0,25,random-32-32-20,0.0,laur_force_additive_direct,25,0
50,5,18,random-32-32-20,-0.002359772849039996,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,25,2
50,0,25,random-32-32-20,0.0,repair5f_candidate_additive_ltm,25,0
50,3,20,random-32-32-20,-0.0022104490071999995,repair5f_static_c100_b100_w075_d090,25,2
50,3,20,random-32-32-20,-0.0011897766532000008,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75,25,2
50,2,20,random-32-32-20,-0.0012666198759999946,repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75,25,3
50,3,21,random-32-32-20,-0.0017177284655999969,repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75,25,1
50,4,19,random-32-32-20,-0.0013442697988000063,repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75,25,2
50,4,19,random-32-32-20,-0.00029712028639999666,repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75,25,2
50,3,20,random-32-32-20,-0.0031601766024,repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75,25,2
50,2,21,random-32-32-20,0.0003546885224000018,repair5g1_random_static_diagnostic,25,2
50,6,17,random-32-32-20,-0.0037461467071999975,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,25,2
