replay_phase,map,agents,seed,budget_ms,horizon_id,split,map_family,g562_dataset_row_id,g562_evaluation_uid,g562_identity_digest,theta_id,method,variant_id,actor_training_seed,model_path,candidate_success,baseline_success,additive_success,success_regression,success_gain,both_success,both_fail,quality_delta_vs_g556,quality_delta_vs_additive,candidate_recognized,fingerprint_match,scenario_hash_match,identity_retained,force_additive_false,dual_channel_enabled,candidate_runtime_ms,baseline_runtime_ms,candidate_expanded_nodes,baseline_expanded_nodes,candidate_low_level_pibt_calls,baseline_low_level_pibt_calls,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,54550002716b842e56c7afdc304d73b514f10993323379422e4c163c8a0a17cc,g562_g565_alpha_response_b1_alpha_0p0_s565_0ed4c7842855,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold0_all_seed565_alpha_0.0,B1_ALPHA_0p0,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold0_all_seed565.pt,True,True,True,False,False,True,False,0.0,-0.18095238096,True,True,True,True,True,True,1.369834,1.457897,29,29,896,896,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,82a27f7401fdd9ef81c07ed9b52dfff719d9ec4868a202dc6a7b6e91c62b9a94,g562_g565_alpha_response_b1_alpha_0p0_s565_41d9be682e30,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold1_all_seed565_alpha_0.0,B1_ALPHA_0p0,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold1_all_seed565.pt,True,True,True,False,False,True,False,0.0,-0.18095238096,True,True,True,True,True,True,2.587046,1.457897,29,29,896,896,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,04b639eefdcfd96badd8cc862e5536f34e64ddede0e204ee3a6cfa9d65488ac2,g562_g565_alpha_response_b1_alpha_0p0_s565_e4941d9baf2a,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold3_all_seed565_alpha_0.0,B1_ALPHA_0p0,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold3_all_seed565.pt,True,True,True,False,False,True,False,0.0,-0.18095238096,True,True,True,True,True,True,1.414867,1.457897,29,29,896,896,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,d3e183950a3a5c8567a2d76c2cdc1f0c3e60c79fa80b9209243b5a2fe3e7a453,g562_g565_alpha_response_b1_alpha_0p0_s565_f91393fa67ff,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold2_all_seed565_alpha_0.0,B1_ALPHA_0p0,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold2_all_seed565.pt,True,True,True,False,False,True,False,0.0,-0.18095238096,True,True,True,True,True,True,1.347248,1.457897,29,29,896,896,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,b9e466b99772aa38c4700e571642971435926b933c092cbbf7de688f794495ea,g562_g565_alpha_response_b1_alpha_0p125_s565_054fea371e15,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold3_all_seed565_alpha_0.125,B1_ALPHA_0p125,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold3_all_seed565.pt,True,True,True,False,False,True,False,0.022857142859999957,-0.15809523810000004,True,True,True,True,True,True,1.492118,1.457897,29,29,896,896,1.2490984201431274,1.1589497327804565,1.2531102895736694,0.7499637603759766,0.7504123449325562,1.0385359525680542,0.6949150562286377,0.9800528287887573,1.0,0.6835057139396667,0.6504330039024353,0.33665931224823,0.8639140725135803,0.9999088048934937,10.796846389770508,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,c3fbba91b7805db98fd63d32380a45032b60411fb6fed2550e585f3bc8422b19,g562_g565_alpha_response_b1_alpha_0p125_s565_270f466ca340,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold1_all_seed565_alpha_0.125,B1_ALPHA_0p125,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold1_all_seed565.pt,True,True,True,False,False,True,False,-0.04190476190000014,-0.22285714286000013,True,True,True,True,True,True,2.842236,1.457897,29,29,896,896,1.2499077320098877,1.1585307121276855,1.2508618831634521,0.7492565512657166,0.7500259876251221,1.0386881828308105,0.6948201060295105,0.9800616502761841,0.9999807476997375,0.6840744614601135,0.6499767899513245,0.3361608386039734,0.8626738786697388,1.0,10.796677589416504,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,3bf59a15d933e4966af75840c76e18844c9a9a0b273210662b086a0a1b616250,g562_g565_alpha_response_b1_alpha_0p125_s565_64092df20f8b,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold0_all_seed565_alpha_0.125,B1_ALPHA_0p125,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold0_all_seed565.pt,True,True,True,False,False,True,False,0.019047619049999964,-0.16190476191000003,True,True,True,True,True,True,1.409771,1.457897,29,29,896,896,1.2489898204803467,1.1592196226119995,1.2515664100646973,0.7489161491394043,0.7500783801078796,1.0374714136123657,0.6944957375526428,0.9800624847412109,1.0,0.683836817741394,0.6501901149749756,0.3362225592136383,0.8638696670532227,1.0,10.79765510559082,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,a8ed49b66b2cffc09807a68b65ec5b5d122e73526917f4b32ef185031eb68245,g562_g565_alpha_response_b1_alpha_0p125_s565_f60450d85f4f,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold2_all_seed565_alpha_0.125,B1_ALPHA_0p125,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold2_all_seed565.pt,True,True,True,False,False,True,False,0.034285714289999936,-0.14666666667000006,True,True,True,True,True,True,1.513978,1.457897,29,29,896,896,1.2497555017471313,1.15787672996521,1.2521045207977295,0.7500097155570984,0.750213623046875,1.0372428894042969,0.6949875950813293,0.9800654649734497,1.0,0.6841447353363037,0.6501222252845764,0.33631259202957153,0.8633595705032349,1.0,10.797426223754883,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,5f705a7d7459abe4dbfe588db3ea6749b641e6a118c85e9ee61a3d9c0c91dce4,g562_g565_alpha_response_b1_alpha_0p25_s565_0975a79e2d8d,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold3_all_seed565_alpha_0.25,B1_ALPHA_0p25,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold3_all_seed565.pt,True,True,True,False,False,True,False,0.017142857149999857,-0.16380952381000013,True,True,True,True,True,True,1.476958,1.457897,30,29,928,896,1.2481968402862549,1.1598951816558838,1.2562205791473389,0.7499275207519531,0.7508246302604675,1.0367320775985718,0.6965641975402832,0.9801697731018066,1.0,0.6828560829162598,0.6508660316467285,0.3378073573112488,0.8688221573829651,0.9998175501823425,10.800430297851562,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,63d520af69515f1e18f1dce635a45c13feaa5a0ab78f1b2466964a1eda214227,g562_g565_alpha_response_b1_alpha_0p25_s565_3c3a72c3877c,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold0_all_seed565_alpha_0.25,B1_ALPHA_0p25,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold0_all_seed565.pt,True,True,True,False,False,True,False,0.040000000000000036,-0.14095238095999996,True,True,True,True,True,True,1.429714,1.457897,29,29,896,896,1.2479796409606934,1.1604348421096802,1.2531328201293945,0.7478322982788086,0.7501567602157593,1.0346029996871948,0.6957256197929382,0.9801890850067139,1.0,0.6835182905197144,0.6503802537918091,0.33693385124206543,0.8687332272529602,1.0,10.802046775817871,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,9889c98df015b26903af6904d14794cb1188b51df08d7dd3369e333afe369448,g562_g565_alpha_response_b1_alpha_0p25_s565_6c226a1c0694,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold1_all_seed565_alpha_0.25,B1_ALPHA_0p25,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold1_all_seed565.pt,True,True,True,False,False,True,False,0.017142857149999857,-0.16380952381000013,True,True,True,True,True,True,2.888935,1.457897,30,29,928,896,1.2498154640197754,1.1590572595596313,1.2517236471176147,0.7485131025314331,0.7500519752502441,1.0370365381240845,0.6963744163513184,0.9801874756813049,0.9999614953994751,0.6839936375617981,0.6499536037445068,0.3368104100227356,0.866341769695282,1.0,10.800093650817871,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,f25e352e6c91074dd8216e08075576011052b3bf2bc48742e50c4067196dd746,g562_g565_alpha_response_b1_alpha_0p25_s565_d132797e245e,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold2_all_seed565_alpha_0.25,B1_ALPHA_0p25,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold2_all_seed565.pt,True,True,True,False,False,True,False,0.017142857149999857,-0.16380952381000013,True,True,True,True,True,True,1.391829,1.457897,30,29,928,896,1.2495110034942627,1.1577491760253906,1.2542089223861694,0.7500194907188416,0.75042724609375,1.0341460704803467,0.6967092752456665,0.9801950454711914,1.0,0.6841341257095337,0.6502444744110107,0.3371139168739319,0.8677130341529846,1.0,10.801589965820312,False,False,False,False,False
g565_alpha_response,empty-16-16,32,7001,1000,g559_b1000_i3,validation,other,g565_real_graph_001614,d0e8479f1d04534fc4c288aa1bed24e91f1dbbf32887c89b6b44cbb1d7e881d1,25d70bdb8a3f711dad4461dbc6bb0a4fb03ac576fcbf15e47e2111c9539e537f,g562_g565_alpha_response_b1_alpha_0p5_s565_4502231e52bb,g565_alpha_response_g565_B1_phase5p5_repair5g565_scaling_b1_fold2_all_seed565_alpha_0.5,B1_ALPHA_0p5,565,artifacts/models/gcst/phase5p5_repair5g565_scaling_b1_fold2_all_seed565.pt,True,True,True,False,False,True,False,0.0533333333399999,-0.1276190476200001,True,True,True,True,True,True,1.403851,1.457897,29,29,896,896,1.2490220069885254,1.157494306564331,1.2584178447723389,0.7500389814376831,0.7508544921875,1.0279525518417358,0.7001527547836304,0.9804542064666748,1.0,0.6841129064559937,0.6504890322685242,0.3387165665626526,0.8764200210571289,1.0,10.809916496276855,False,False,False,False,False
