agents,best_ratio_before,context_id,decision_status,feature_agents,feature_best_ratio_before,feature_blocked_count,feature_blocked_per_agent,feature_blocked_per_committed,feature_c_flow_update_ratio,feature_c_nonzero_edges,feature_c_update_count,feature_committed_count,feature_committed_per_agent,feature_cost_bounds_respected,feature_cost_max,feature_cost_min,feature_cost_span,feature_density,feature_f_nonzero_edges,feature_f_update_count,feature_free_cells,feature_has_incumbent_before,feature_improved_last_iteration,feature_ltm_iterations,feature_map_height,feature_map_width,feature_nonprogress_committed_count,feature_obstacle_ratio,feature_progress_committed_count,feature_progress_ratio,feature_returned_solutions_count_so_far,feature_wait_event_count,feature_wait_per_committed,has_incumbent_before,iteration,map,method,scen,seed,selected_candidate_id,source_log,trace_events_available,traffic_snapshot_available
50,0,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:0,applied,50,0,234,4.68,0.0850909090909,0,0,0,2750,55,1,2,2,0,0.0610500610501,0,0,819,0,1,0,32,32,1361,0.2001953125,1389,0.505090909091,1,102,0.0370909090909,False,0,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,random-32-32-20-random-126.scen,126,repair5g_dual_c_equiv_c100_b100_w100_d090,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.19915254237,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:1,applied,50,1.19915254237,121,2.42,0.0396721311475,0,926,926,3050,61,1,11,1,10,0.0610500610501,0,0,819,1,0,1,32,32,1589,0.2001953125,1461,0.479016393443,1,45,0.0147540983607,True,1,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,random-32-32-20-random-126.scen,126,repair5g_dual_c_equiv_c100_b100_w100_d090,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.19915254237,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:2,applied,50,1.19915254237,156,3.12,0.0452173913043,0,1546,1546,3450,69,1,11,1,10,0.0610500610501,0,0,819,1,0,2,32,32,1883,0.2001953125,1567,0.454202898551,1,60,0.0173913043478,True,2,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,random-32-32-20-random-126.scen,126,repair5g_dual_c_equiv_c100_b100_w100_d090,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.19915254237,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:3,applied,50,1.19915254237,187,3.74,0.0534285714286,0,1889,1889,3500,70,1,11,1,10,0.0610500610501,0,0,819,1,0,3,32,32,1997,0.2001953125,1503,0.429428571429,1,81,0.0231428571429,True,3,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,random-32-32-20-random-126.scen,126,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,0,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:4,force_additive,50,0,234,4.68,0.0850909090909,0,0,0,2750,55,1,2,2,0,0.0610500610501,0,0,819,0,1,0,32,32,1361,0.2001953125,1389,0.505090909091,1,102,0.0370909090909,False,0,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,random-32-32-20-random-126.scen,126,additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.19915254237,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:5,force_additive,50,1.19915254237,121,2.42,0.0396721311475,0,926,926,3050,61,1,11,1,10,0.0610500610501,0,0,819,1,0,1,32,32,1589,0.2001953125,1461,0.479016393443,1,45,0.0147540983607,True,1,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,random-32-32-20-random-126.scen,126,additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.19915254237,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:6,force_additive,50,1.19915254237,166,3.32,0.048115942029,0,1546,1546,3450,69,1,11,1,10,0.0610500610501,0,0,819,1,0,2,32,32,1861,0.2001953125,1589,0.460579710145,1,66,0.0191304347826,True,2,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,random-32-32-20-random-126.scen,126,additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.19915254237,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:7,force_additive,50,1.19915254237,125,2.5,0.0347222222222,0,1894,1894,3600,72,1,11,1,10,0.0610500610501,0,0,819,1,0,3,32,32,2111,0.2001953125,1489,0.413611111111,1,42,0.0116666666667,True,3,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,random-32-32-20-random-126.scen,126,additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,0,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:8,applied,50,0,234,4.68,0.0850909090909,0,0,0,2750,55,1,2,2,0,0.0610500610501,0,0,819,0,1,0,32,32,1361,0.2001953125,1389,0.505090909091,1,102,0.0370909090909,False,0,random-32-32-20,repair5g5_contextual_flow_shield_selector_shuffled_label_diagnostic,random-32-32-20-random-126.scen,126,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.19915254237,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:9,applied,50,1.19915254237,114,2.28,0.0414545454545,1.08813160987,926,926,2750,55,1,11,1,10,0.0610500610501,851,851,819,1,1,1,32,32,1393,0.2001953125,1357,0.493454545455,1,40,0.0145454545455,True,1,random-32-32-20,repair5g5_contextual_flow_shield_selector_shuffled_label_diagnostic,random-32-32-20-random-126.scen,126,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.16271186441,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:10,applied,50,1.16271186441,118,2.36,0.0386885245902,1.07583643123,1447,1447,3050,61,1,11,1,10,0.0610500610501,1345,1345,819,1,1,2,32,32,1709,0.2001953125,1341,0.439672131148,1,44,0.0144262295082,True,2,random-32-32-20,repair5g5_contextual_flow_shield_selector_shuffled_label_diagnostic,random-32-32-20-random-126.scen,126,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.14576271186,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:11,applied,50,1.14576271186,141,2.82,0.0512727272727,1.061462815,1727,1727,2750,55,1,11,1,10,0.0610500610501,1627,1627,819,1,1,3,32,32,1423,0.2001953125,1327,0.482545454545,1,56,0.0203636363636,True,3,random-32-32-20,repair5g5_contextual_flow_shield_selector_shuffled_label_diagnostic,random-32-32-20-random-126.scen,126,repair5g_dual_c_equiv_c100_b100_w100_d090,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,0,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:12,applied,50,0,234,4.68,0.0850909090909,0,0,0,2750,55,1,2,2,0,0.0610500610501,0,0,819,0,1,0,32,32,1361,0.2001953125,1389,0.505090909091,1,102,0.0370909090909,False,0,random-32-32-20,repair5g5_contextual_flow_shield_selector_random_feature_diagnostic,random-32-32-20-random-126.scen,126,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.19915254237,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:13,applied,50,1.19915254237,114,2.28,0.0414545454545,1.08813160987,926,926,2750,55,1,11,1,10,0.0610500610501,851,851,819,1,1,1,32,32,1393,0.2001953125,1357,0.493454545455,1,40,0.0145454545455,True,1,random-32-32-20,repair5g5_contextual_flow_shield_selector_random_feature_diagnostic,random-32-32-20-random-126.scen,126,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.16271186441,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:14,applied,50,1.16271186441,118,2.36,0.0386885245902,1.07583643123,1447,1447,3050,61,1,11,1,10,0.0610500610501,1345,1345,819,1,1,2,32,32,1709,0.2001953125,1341,0.439672131148,1,44,0.0144262295082,True,2,random-32-32-20,repair5g5_contextual_flow_shield_selector_random_feature_diagnostic,random-32-32-20-random-126.scen,126,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,1.14576271186,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:15,applied,50,1.14576271186,141,2.82,0.0512727272727,1.061462815,1727,1727,2750,55,1,11,1,10,0.0610500610501,1627,1627,819,1,1,3,32,32,1423,0.2001953125,1327,0.482545454545,1,56,0.0203636363636,True,3,random-32-32-20,repair5g5_contextual_flow_shield_selector_random_feature_diagnostic,random-32-32-20-random-126.scen,126,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
50,0,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:16,force_additive,50,0,137,2.74,0.0652380952381,0,0,0,2100,42,1,2,2,0,0.0610500610501,0,0,819,0,1,0,32,32,993,0.2001953125,1107,0.527142857143,1,59,0.0280952380952,False,0,random-32-32-20,repair5g5_contextual_flow_shield_selector_force_additive_parity,random-32-32-20-random-127.scen,127,additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl,True,False
