feature,allowed,feature_group,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
theta_alpha_cong_commit_progress,True,theta,False,False,False,False,False
theta_alpha_cong_commit_nonprogress,True,theta,False,False,False,False,False
theta_alpha_cong_block,True,theta,False,False,False,False,False
theta_alpha_cong_wait_progress,True,theta,False,False,False,False,False
theta_alpha_cong_wait_nonprogress,True,theta,False,False,False,False,False
theta_alpha_flow_commit_progress,True,theta,False,False,False,False,False
theta_alpha_flow_wait_progress,True,theta,False,False,False,False,False
theta_rho_cong_decay,True,theta,False,False,False,False,False
theta_rho_flow_decay,True,theta,False,False,False,False,False
theta_lambda_cong,True,theta,False,False,False,False,False
theta_lambda_flow,True,theta,False,False,False,False,False
theta_flow_shield_beta,True,theta,False,False,False,False,False
theta_max_flow_shield,True,theta,False,False,False,False,False
theta_min_edge_cost,True,theta,False,False,False,False,False
theta_max_edge_cost,True,theta,False,False,False,False,False
theta_goal_projection_mode_flow_shield,True,theta,False,False,False,False,False
theta_goal_projection_mode_agent_progress,True,theta,False,False,False,False,False
theta_goal_projection_mode_none,True,theta,False,False,False,False,False
distance_from_g554_c00051,True,context_or_source,False,False,False,False,False
distance_from_old_hand_staticflow,True,context_or_source,False,False,False,False,False
map_family,True,context_or_source,False,False,False,False,False
map,True,context_or_source,False,False,False,False,False
agents,True,context_or_source,False,False,False,False,False
nominal_budget_ms,True,context_or_source,False,False,False,False,False
short_budget_ms,True,context_or_source,False,False,False,False,False
base_time_limit_sec,True,context_or_source,False,False,False,False,False
ltm_max_iterations,True,context_or_source,False,False,False,False,False
horizon_id,True,context_or_source,False,False,False,False,False
source_round,True,context_or_source,False,False,False,False,False
candidate_family,True,context_or_source,False,False,False,False,False
candidate_success,False,forbidden_outcome,False,False,False,False,False
baseline_success,False,forbidden_outcome,False,False,False,False,False
success_regression,False,forbidden_outcome,False,False,False,False,False
success_gain,False,forbidden_outcome,False,False,False,False,False
both_success,False,forbidden_outcome,False,False,False,False,False
quality_delta,False,forbidden_outcome,False,False,False,False,False
future_replay_outcome,False,forbidden_outcome,False,False,False,False,False
oracle_label,False,forbidden_outcome,False,False,False,False,False
post_hoc_rank,False,forbidden_outcome,False,False,False,False,False
