split,runs,maps,label_rows,successes,feasible,map_names
train,6,6,79274,6,6,empty-32-32;random-32-32-20;random-64-64-20;room-64-64-8;warehouse-10-20-10-2-1;warehouse-10-20-10-2-2
validation,1,1,9024,1,1,empty-48-48
test,1,1,2694,1,1,maze-32-32-4
