context_key,map,map_family,agents,seed,budget_ms,sampling_policy,selected_candidate,selected_method,baseline_role,baseline_candidate,selected_success,baseline_success,selected_ratio,baseline_ratio,quality_delta_ratio,corrected_delta_ratio_for_mean,success_regression,success_gain,both_success,both_fail,better,worse,safe_high_margin_gain,seed_block,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,failure_type,horizon_id,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,context_horizon_key,panel,route,theta_cluster,registry_label,candidate_group,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none
random-32-32-20|50|1412|1000|0|14650fb0739d0383,random-32-32-20,random,50,1412,2000,alpha_flow_wait_progress_sweep,repair5g549_theta_549000633,repair5g549_theta_549000633,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.16651745748,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_static_flow_shield,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1412|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep_0632,alpha_flow_wait_progress_sweep,1.25,1.25,1.25,0.75,0.75,1,0.00483749032502,0.95,1,1,0.515430469139,0.35,0.75,1,11,1,0,0
random-32-32-20|50|1412|1000|0|14650fb0739d0383,random-32-32-20,random,50,1412,2000,alpha_flow_wait_progress_sweep,repair5g549_theta_549000633,repair5g549_theta_549000633,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,False,True,,1.14503133393,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_frozen_family_static_goal_aware,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1412|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep_0632,alpha_flow_wait_progress_sweep,1.25,1.25,1.25,0.75,0.75,1,0.00483749032502,0.95,1,1,0.515430469139,0.35,0.75,1,11,1,0,0
random-32-32-20|50|1412|1000|0|14650fb0739d0383,random-32-32-20,random,50,1412,2000,alpha_flow_wait_progress_sweep,repair5g549_theta_549000633,repair5g549_theta_549000633,additive_ltm,repair5g59_additive_fallback,False,True,,1.22381378693,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_additive_ltm,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1412|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep_0632,alpha_flow_wait_progress_sweep,1.25,1.25,1.25,0.75,0.75,1,0.00483749032502,0.95,1,1,0.515430469139,0.35,0.75,1,11,1,0,0
random-32-32-20|50|1412|1000|0|14650fb0739d0383,random-32-32-20,random,50,1412,2000,edge_cost_clamp_sweep,repair5g549_theta_549000634,repair5g549_theta_549000634,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.16651745748,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_static_flow_shield,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1412|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,edge_cost_clamp_sweep,edge_cost_clamp_sweep_0633,edge_cost_clamp_sweep,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.605431789136,10.5511668977,1,0,0
random-32-32-20|50|1412|1000|0|14650fb0739d0383,random-32-32-20,random,50,1412,2000,edge_cost_clamp_sweep,repair5g549_theta_549000634,repair5g549_theta_549000634,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,False,True,,1.14503133393,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_frozen_family_static_goal_aware,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1412|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,edge_cost_clamp_sweep,edge_cost_clamp_sweep_0633,edge_cost_clamp_sweep,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.605431789136,10.5511668977,1,0,0
random-32-32-20|50|1412|1000|0|14650fb0739d0383,random-32-32-20,random,50,1412,2000,edge_cost_clamp_sweep,repair5g549_theta_549000634,repair5g549_theta_549000634,additive_ltm,repair5g59_additive_fallback,False,True,,1.22381378693,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_additive_ltm,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1412|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,edge_cost_clamp_sweep,edge_cost_clamp_sweep_0633,edge_cost_clamp_sweep,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.605431789136,10.5511668977,1,0,0
random-32-32-20|50|1400|1000|0|14650fb0739d0383,random-32-32-20,random,50,1400,2000,alpha_cong_commit_nonprogress_sweep,repair5g549_theta_549001476,repair5g549_theta_549001476,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.14744801512,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_static_flow_shield,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1400|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep_1475,alpha_cong_commit_nonprogress_sweep,1.25,1.58239033522,1.25,0.75,0.75,1,1,0.95,1,0.723924552151,1,0.35,0.75,1,11,1,0,0
random-32-32-20|50|1400|1000|0|14650fb0739d0383,random-32-32-20,random,50,1400,2000,alpha_cong_commit_nonprogress_sweep,repair5g549_theta_549001476,repair5g549_theta_549001476,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,False,True,,1.13421550095,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_frozen_family_static_goal_aware,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1400|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep_1475,alpha_cong_commit_nonprogress_sweep,1.25,1.58239033522,1.25,0.75,0.75,1,1,0.95,1,0.723924552151,1,0.35,0.75,1,11,1,0,0
random-32-32-20|50|1400|1000|0|14650fb0739d0383,random-32-32-20,random,50,1400,2000,alpha_cong_commit_nonprogress_sweep,repair5g549_theta_549001476,repair5g549_theta_549001476,additive_ltm,repair5g59_additive_fallback,False,True,,1.28638941399,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_additive_ltm,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1400|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,alpha_cong_commit_nonprogress_sweep,alpha_cong_commit_nonprogress_sweep_1475,alpha_cong_commit_nonprogress_sweep,1.25,1.58239033522,1.25,0.75,0.75,1,1,0.95,1,0.723924552151,1,0.35,0.75,1,11,1,0,0
random-32-32-20|50|1402|1000|0|14650fb0739d0383,random-32-32-20,random,50,1402,2000,alpha_flow_wait_progress_sweep,repair5g549_theta_549001733,repair5g549_theta_549001733,static_flow_shield,repair5g59_static_flow_shield,False,True,,1.13449781659,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_static_flow_shield,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1402|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep_1732,alpha_flow_wait_progress_sweep,1.25,1.25,1.25,0.75,0.75,1,0.829923340153,0.95,1,1,0.590031319937,0.35,0.75,1,11,1,0,0
random-32-32-20|50|1402|1000|0|14650fb0739d0383,random-32-32-20,random,50,1402,2000,alpha_flow_wait_progress_sweep,repair5g549_theta_549001733,repair5g549_theta_549001733,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,False,True,,1.16069868996,,0.25,True,False,False,False,False,False,False,1400_1419,False,False,False,False,False,success_regression_vs_frozen_family_static_goal_aware,c0_short1000_t050_i2,2000,1000,0.5,2,random-32-32-20|50|1402|2000|c0_short1000_t050_i2,fulltheta_replay,staticflow_primary_fulltheta_replay,alpha_flow_wait_progress_sweep,alpha_flow_wait_progress_sweep_1732,alpha_flow_wait_progress_sweep,1.25,1.25,1.25,0.75,0.75,1,0.829923340153,0.95,1,1,0.590031319937,0.35,0.75,1,11,1,0,0
