iteration,candidate_id,paired_groups,better_count,equal_count,worse_count,mean_delta_ratio,median_delta_ratio,bootstrap_ci_low,bootstrap_ci_high,success_regression_count,actual_success_regression_count,candidate_harmful_count,expanded_node_regression_count,ttfs_regression,winner_stability_score,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
0,repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,180,0,180,0,0,0,0,0,3,3,10,7,reported_if_available,0,False,False,False,False,False
0,repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,180,0,180,0,0,0,0,0,4,4,9,5,reported_if_available,0,False,False,False,False,False
0,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,180,2,178,0,-0.000168574752244,0,-0.000402325448549,6.51759440602e-05,2,2,6,4,reported_if_available,0.0111111111111,False,False,False,False,False
0,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,180,2,178,0,-0.00024820990495,0,-0.000598809953382,0.000102390143482,1,1,5,4,reported_if_available,0.0111111111111,False,False,False,False,False
0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,180,2,178,0,-0.000219669738489,0,-0.000519049204426,7.97097274483e-05,1,1,5,4,reported_if_available,0.0111111111111,False,False,False,False,False
0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,180,3,177,0,-0.000317369198361,0,-0.000672128738648,3.73903419257e-05,2,2,6,4,reported_if_available,0.0166666666667,False,False,False,False,False
0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,180,3,177,0,-0.000255662534611,0,-0.000556335399556,4.50103303338e-05,1,1,4,3,reported_if_available,0.0166666666667,False,False,False,False,False
0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,180,2,178,0,-0.000213643004167,0,-0.000492866541459,6.5580533126e-05,3,3,6,3,reported_if_available,0.0111111111111,False,False,False,False,False
0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,180,5,175,0,-0.000926852688217,0,-0.00180335685183,-5.03485246062e-05,0,0,5,5,reported_if_available,0.0277777777778,False,False,False,False,False
0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,180,3,177,0,-0.000402641986756,0,-0.000879214950138,7.39309766274e-05,1,1,6,5,reported_if_available,0.0166666666667,False,False,False,False,False
0,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,523,28,493,2,-0.0013221149968,0,-0.00191332442942,-0.000730905564193,5,5,18,13,reported_if_available,0.0535372848948,False,False,False,False,False
0,repair5g59_additive_fallback,671,0,671,0,0,0,0,0,0,0,0,0,reported_if_available,0,False,False,False,False,False
0,repair5g59_block_heavy_flow_guard,327,1,326,0,-6.05565143731e-05,0,-0.000179065659227,5.79526304811e-05,2,2,7,5,reported_if_available,0.00305810397554,False,False,False,False,False
0,repair5g59_c_only_f_disabled,327,0,327,0,0,0,0,0,4,4,10,6,reported_if_available,0,False,False,False,False,False
0,repair5g59_commit_heavy_flow_guard,327,2,325,0,-5.98865008624e-05,0,-0.00014459289062,2.48198888957e-05,4,4,12,8,reported_if_available,0.00611620795107,False,False,False,False,False
0,repair5g59_flow_decay,669,23,644,2,-0.00110709135326,0,-0.00171887355658,-0.00049530914995,5,5,17,12,reported_if_available,0.034379671151,False,False,False,False,False
0,repair5g59_high_beta_cap_safe,670,19,649,2,-0.000932804181748,0,-0.0014061748471,-0.000459433516399,8,8,22,14,reported_if_available,0.0283582089552,False,False,False,False,False
0,repair5g59_light_cong_light_flow,327,0,327,0,0,0,0,0,5,5,10,5,reported_if_available,0,False,False,False,False,False
0,repair5g59_low_beta_high_cap,327,2,325,0,-0.000312906361498,0,-0.000753580907203,0.000127768184206,2,2,7,5,reported_if_available,0.00611620795107,False,False,False,False,False
0,repair5g59_static_flow_shield,670,23,645,2,-0.000930292045419,0,-0.00139198751765,-0.000468596573186,4,4,19,15,reported_if_available,0.034328358209,False,False,False,False,False
0,repair5g59_wait_aggressive,327,2,325,0,-7.77563860765e-05,0,-0.000179789727169,2.42769550159e-05,2,2,7,5,reported_if_available,0.00611620795107,False,False,False,False,False
0,repair5g59_wait_conservative,669,24,644,1,-0.00109456694907,0,-0.00161674486616,-0.000572389031969,3,3,19,16,reported_if_available,0.0358744394619,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,2,0,2,0,0,0,0,0,0,0,0,0,reported_if_available,0,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,5,0,4,1,0.03631961259,0,-0.0273514755815,0.0999907007615,0,0,1,0,reported_if_available,0,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,9,1,7,1,-0.00770732928889,0,-0.0289697614019,0.0135551028242,0,0,1,0,reported_if_available,0.111111111111,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,4,0,4,0,0,0,0,0,0,0,0,0,reported_if_available,0,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,5,1,4,0,-0.02418235877,0,-0.0665759028538,0.0182111853138,0,0,0,0,reported_if_available,0.2,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,5,1,4,0,-0.0080249048772,0,-0.0220931834068,0.00604337365242,0,0,0,0,reported_if_available,0.2,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,9,2,6,1,-0.0137536414161,0,-0.039964465852,0.0124571830198,0,0,1,0,reported_if_available,0.222222222222,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,8,2,6,0,-0.022960226405,0,-0.0521852238532,0.00626477104318,0,0,0,0,reported_if_available,0.25,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,7,0,7,0,0,0,0,0,0,0,0,0,reported_if_available,0,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,10,1,9,0,-0.012091179385,0,-0.0345737512601,0.0103913924901,0,0,0,0,reported_if_available,0.1,False,False,False,False,False
1,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,32,3,29,0,-0.00522064997325,0,-0.0126447758755,0.00220347592904,0,0,1,1,reported_if_available,0.09375,False,False,False,False,False
1,repair5g59_additive_fallback,77,0,77,0,0,0,0,0,0,0,0,0,reported_if_available,0,False,False,False,False,False
1,repair5g59_block_heavy_flow_guard,46,18,27,1,-0.0383762055648,0,-0.0557430477786,-0.021009363351,15,15,16,1,reported_if_available,0.391304347826,False,False,False,False,False
1,repair5g59_c_only_f_disabled,45,15,24,6,-0.00629296032489,0,-0.0127521721836,0.000166251533864,9,9,13,1,reported_if_available,0.333333333333,False,False,False,False,False
1,repair5g59_commit_heavy_flow_guard,39,18,21,0,-0.0423154505292,0,-0.0599890430691,-0.0246418579893,15,15,15,0,reported_if_available,0.461538461538,False,False,False,False,False
1,repair5g59_flow_decay,64,22,41,1,-0.0314940480894,0,-0.0445603407467,-0.018427755432,15,15,16,1,reported_if_available,0.34375,False,False,False,False,False
