group_type,group_value,threshold,sample_count,harmful_count,predicted_harmful_count,tp,fp,fn,precision,recall,f1,fallback_rate,mean_delta_no_gate,mean_delta_after_gate,mean_delta_loss_from_gate
all,all,0.0,1897,782,1897,782,1115,0,0.41222983658408013,1.0,0.583799925345278,1.0,0.02211948325442082,0.0,0.02211948325442082
all,all,0.05,1897,782,1547,762,785,20,0.49256625727213965,0.9744245524296675,0.6543580936024045,0.8154981549815498,0.02211948325442082,0.0028392951921951113,0.019280188062225707
all,all,0.1,1897,782,1435,747,688,35,0.5205574912891986,0.9552429667519181,0.6738836265223275,0.7564575645756457,0.02211948325442082,0.0037095157509808847,0.018409967503439935
all,all,0.15,1897,782,1326,728,598,54,0.5490196078431373,0.9309462915601023,0.6907020872865276,0.6989984185556142,0.02211948325442082,0.005286185496960798,0.016833297757460022
all,all,0.2,1897,782,1240,712,528,70,0.5741935483870968,0.9104859335038363,0.7042532146389713,0.6536636794939378,0.02211948325442082,0.00673853793497157,0.01538094531944925
all,all,0.25,1897,782,1164,691,473,91,0.5936426116838488,0.8836317135549873,0.710174717368962,0.6136004217185029,0.02211948325442082,0.007313641286686056,0.014805841967734764
all,all,0.3,1897,782,1085,671,414,111,0.6184331797235023,0.8580562659846548,0.718800214247456,0.5719557195571956,0.02211948325442082,0.008481200346844728,0.013638282907576092
all,all,0.35,1897,782,1012,652,360,130,0.6442687747035574,0.8337595907928389,0.7268673355629878,0.5334739061676331,0.02211948325442082,0.009605926490539247,0.012513556763881573
all,all,0.4,1897,782,930,622,308,160,0.6688172043010753,0.7953964194373402,0.7266355140186915,0.49024775962045336,0.02211948325442082,0.010878771534239086,0.011240711720181734
all,all,0.45,1897,782,845,589,256,193,0.6970414201183432,0.7531969309462916,0.7240319606637984,0.44544016868740116,0.02211948325442082,0.011496674461968052,0.010622808792452768
all,all,0.5,1897,782,761,548,213,234,0.7201051248357424,0.7007672634271099,0.7103046014257939,0.4011597258829731,0.02211948325442082,0.012260074405199483,0.009859408849221337
all,all,0.55,1897,782,674,499,175,283,0.7403560830860534,0.6381074168797954,0.6854395604395606,0.3552978386926726,0.02211948325442082,0.013946139611504945,0.008173343642915875
all,all,0.6,1897,782,603,464,139,318,0.7694859038142621,0.5933503836317136,0.6700361010830326,0.31787032156035844,0.02211948325442082,0.016890202012336285,0.005229281242084535
all,all,0.65,1897,782,513,403,110,379,0.7855750487329435,0.5153452685421995,0.6223938223938223,0.2704269899841856,0.02211948325442082,0.01822196001189369,0.0038975232425271303
all,all,0.7,1897,782,448,356,92,426,0.7946428571428571,0.45524296675191817,0.5788617886178863,0.23616236162361623,0.02211948325442082,0.018721198954518105,0.003398284299902715
all,all,0.75,1897,782,377,308,69,474,0.8169761273209549,0.3938618925831202,0.5314926660914582,0.19873484449130205,0.02211948325442082,0.019490370996140455,0.0026291122582803653
all,all,0.8,1897,782,303,256,47,526,0.8448844884488449,0.3273657289002558,0.471889400921659,0.15972588297311544,0.02211948325442082,0.02020447222196498,0.0019150110324558413
all,all,0.85,1897,782,236,208,28,574,0.8813559322033898,0.2659846547314578,0.4086444007858547,0.12440695835529784,0.02211948325442082,0.020882229246251605,0.0012372540081692154
all,all,0.9,1897,782,173,154,19,628,0.8901734104046243,0.1969309462915601,0.32251308900523556,0.0911966262519768,0.02211948325442082,0.02165745871961258,0.0004620245348082412
all,all,0.95,1897,782,118,101,17,681,0.8559322033898306,0.12915601023017903,0.22444444444444442,0.06220347917764892,0.02211948325442082,0.022302345597207073,-0.00018286234278625316
all,all,1.0,1897,782,13,9,4,773,0.6923076923076923,0.011508951406649617,0.022641509433962263,0.006852925672113864,0.02211948325442082,0.024160097820710116,-0.0020406145662892963
map,empty-32-32,0.0,240,121,240,121,119,0,0.5041666666666667,1.0,0.6703601108033241,1.0,0.01522449326955386,0.0,0.01522449326955386
map,empty-32-32,0.05,240,121,236,121,115,0,0.5127118644067796,1.0,0.6778711484593837,0.9833333333333333,0.01522449326955386,0.00028867631831315,0.01493581695124071
map,empty-32-32,0.1,240,121,223,120,103,1,0.5381165919282511,0.9917355371900827,0.6976744186046512,0.9291666666666667,0.01522449326955386,0.0007743794721635249,0.014450113797390335
map,empty-32-32,0.15,240,121,205,120,85,1,0.5853658536585366,0.9917355371900827,0.736196319018405,0.8541666666666666,0.01522449326955386,0.0023976365660833576,0.012826856703470503
map,empty-32-32,0.2,240,121,199,119,80,2,0.5979899497487438,0.9834710743801653,0.74375,0.8291666666666667,0.01522449326955386,0.0028815725829555664,0.012342920686598294
map,empty-32-32,0.25,240,121,190,116,74,5,0.6105263157894737,0.9586776859504132,0.7459807073954984,0.7916666666666666,0.01522449326955386,0.0029687267588444414,0.012255766510709419
map,empty-32-32,0.3,240,121,181,112,69,9,0.6187845303867403,0.9256198347107438,0.7417218543046358,0.7541666666666667,0.01522449326955386,0.003466650245014025,0.011757843024539836
map,empty-32-32,0.35,240,121,171,110,61,11,0.6432748538011696,0.9090909090909091,0.7534246575342466,0.7125,0.01522449326955386,0.0037088038591789416,0.011515689410374919
map,empty-32-32,0.4,240,121,149,101,48,20,0.6778523489932886,0.8347107438016529,0.7481481481481481,0.6208333333333333,0.01522449326955386,0.005139173562453903,0.010085319707099957
map,empty-32-32,0.45,240,121,135,97,38,24,0.7185185185185186,0.8016528925619835,0.7578125,0.5625,0.01522449326955386,0.0058779352175078615,0.009346558052045999
map,empty-32-32,0.5,240,121,117,90,27,31,0.7692307692307693,0.743801652892562,0.7563025210084033,0.4875,0.01522449326955386,0.007280453600977236,0.007944039668576625
map,empty-32-32,0.55,240,121,103,84,19,37,0.8155339805825242,0.6942148760330579,0.75,0.42916666666666664,0.01522449326955386,0.00807765114544807,0.00714684212410579
map,empty-32-32,0.6,240,121,94,77,17,44,0.8191489361702128,0.6363636363636364,0.7162790697674419,0.39166666666666666,0.01522449326955386,0.00876544090675582,0.00645905236279804
map,empty-32-32,0.65,240,121,74,62,12,59,0.8378378378378378,0.512396694214876,0.6358974358974359,0.30833333333333335,0.01522449326955386,0.009854255511632236,0.005370237757921625
map,empty-32-32,0.7,240,121,64,54,10,67,0.84375,0.4462809917355372,0.5837837837837838,0.26666666666666666,0.01522449326955386,0.010415563738474319,0.0048089295310795414
map,empty-32-32,0.75,240,121,61,52,9,69,0.8524590163934426,0.4297520661157025,0.5714285714285714,0.25416666666666665,0.01522449326955386,0.010642853939527654,0.004581639330026206
map,empty-32-32,0.8,240,121,50,45,5,76,0.9,0.371900826446281,0.5263157894736842,0.20833333333333334,0.01522449326955386,0.011307325796940283,0.003917167472613578
map,empty-32-32,0.85,240,121,38,37,1,84,0.9736842105263158,0.30578512396694213,0.4654088050314465,0.15833333333333333,0.01522449326955386,0.011950979048562361,0.0032735142209914993
map,empty-32-32,0.9,240,121,22,22,0,99,1.0,0.18181818181818182,0.3076923076923077,0.09166666666666666,0.01522449326955386,0.013760587346065277,0.001463905923488584
map,empty-32-32,0.95,240,121,12,12,0,109,1.0,0.09917355371900827,0.18045112781954886,0.05,0.01522449326955386,0.014690942725471366,0.000533550544082495
map,empty-32-32,1.0,240,121,0,0,0,121,0.0,0.0,0.0,0.0,0.01522449326955386,0.01522449326955386,0.0
map,empty-48-48,0.0,240,49,240,49,191,0,0.20416666666666666,1.0,0.3391003460207613,1.0,0.0060142327187139724,0.0,0.0060142327187139724
map,empty-48-48,0.05,240,49,156,38,118,11,0.24358974358974358,0.7755102040816326,0.3707317073170731,0.65,0.0060142327187139724,0.002822925147777967,0.0031913075709360055
map,empty-48-48,0.1,240,49,133,35,98,14,0.2631578947368421,0.7142857142857143,0.3846153846153846,0.5541666666666667,0.0060142327187139724,0.0030763289290462255,0.002937903789667747
