row_type,policy,rhs_policy,metric,estimate,ci_low_p025,ci_high_p975,bootstrap_samples
policy_interval,g512_ranker,,mean_delta_vs_static,-0.010423295036333333,-0.021546915625858334,-0.001935500437,2000
policy_interval,g512_ranker,,mean_delta_vs_additive,-0.09984319068166667,-0.13315482584063332,-0.07083646955631667,2000
policy_interval,g512_ranker,,harmful_vs_static_rate,0.03333333333333333,0.0,0.1,2000
policy_interval,g512_ranker,,coverage,0.2,0.06666666666666667,0.3333333333333333,2000
policy_interval,g512_ranker,,regret_to_oracle,0.027511037073000004,0.016980973490691664,0.03943483652210832,2000
policy_interval,safe_slow_decay_train_gate,,mean_delta_vs_static,-0.007964026668666666,-0.01754769428666667,-0.00023697018733333328,2000
policy_interval,safe_slow_decay_train_gate,,mean_delta_vs_additive,-0.09738392231400002,-0.13012490345606673,-0.06820463312366666,2000
policy_interval,safe_slow_decay_train_gate,,harmful_vs_static_rate,0.03333333333333333,0.0,0.1,2000
policy_interval,safe_slow_decay_train_gate,,coverage,0.16666666666666666,0.03333333333333333,0.3,2000
policy_interval,safe_slow_decay_train_gate,,regret_to_oracle,0.02997030544066667,0.019369038374458337,0.04230477174805,2000
policy_interval,safe_train_only_map_agent_gate,,mean_delta_vs_static,-0.013730627973333331,-0.02693168366046667,-0.0017597071968416694,2000
policy_interval,safe_train_only_map_agent_gate,,mean_delta_vs_additive,-0.10315052361866671,-0.13917456589588337,-0.07327097192807502,2000
policy_interval,safe_train_only_map_agent_gate,,harmful_vs_static_rate,0.23333333333333334,0.1,0.36666666666666664,2000
policy_interval,safe_train_only_map_agent_gate,,coverage,0.6666666666666666,0.5,0.8333333333333334,2000
policy_interval,safe_train_only_map_agent_gate,,regret_to_oracle,0.024203704136000006,0.015751110892741668,0.03372864830128331,2000
policy_difference_interval,g512_ranker,safe_slow_decay_train_gate,difference_vs_control_mean_delta_vs_static,-0.0024592683676666668,-0.007377805103000001,0.0,2000
policy_difference_interval,g512_ranker,safe_train_only_map_agent_gate,difference_vs_control_mean_delta_vs_static,0.003307332936999998,-0.007216383100458336,0.014461535744075004,2000
