theta_id,map_family,agents,nominal_budget_ms,rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g549_theta_549000001,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000001,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000002,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000002,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000003,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000003,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000004,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000004,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000005,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000005,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000006,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000006,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000007,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000007,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000008,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000008,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000009,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000009,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000010,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000010,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000011,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000011,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000012,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000012,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000013,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000013,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000014,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000014,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000015,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000015,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000016,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000016,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000017,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000017,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000018,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000018,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000019,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000019,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000020,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000020,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000021,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000021,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000022,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000022,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000023,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000023,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000024,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000024,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000025,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000025,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000026,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000026,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000027,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000027,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000028,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000028,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000029,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000029,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000030,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000030,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000031,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000031,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000032,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000032,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000033,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000033,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000034,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000034,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000035,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000035,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000036,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000036,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000037,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000037,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000038,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000038,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000039,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000039,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000040,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000040,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000041,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000041,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000042,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000042,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000043,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000043,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000044,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000044,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000045,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000045,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000046,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000046,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000047,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000047,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000048,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000048,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000049,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000049,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000050,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000050,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000051,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000051,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000052,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000052,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000053,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000053,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000054,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000054,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000055,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000055,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000056,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000056,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000057,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000057,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000058,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000058,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000059,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000059,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000060,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000060,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000061,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000061,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000062,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000062,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000063,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000063,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000064,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000064,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000065,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000065,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000066,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000066,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000067,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000067,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000068,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000068,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000069,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000069,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000070,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000070,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000071,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000071,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000072,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000072,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000073,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000073,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000074,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000074,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000075,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000075,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000076,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000076,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000077,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000077,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000078,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000078,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000079,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000079,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000080,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000080,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000081,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000081,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000082,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000082,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000083,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000083,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000084,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000084,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000085,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000085,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000086,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000086,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000087,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000087,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000088,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000088,random,100,2000,16,False,False,False,False,False
repair5g549_theta_549000089,random,50,2000,12,False,False,False,False,False
repair5g549_theta_549000089,random,100,2000,16,False,False,False,False,False
