candidate_id,stage,candidate_family,candidate_rows,raw_generated_rows,success_regression_count_vs_static_flow,success_gain_count_vs_static_flow,success_rate_delta_vs_static_flow,both_success_quality_pairs_vs_static_flow,both_success_quality_delta_mean_vs_static_flow,bootstrap_ci_upper,better_count_vs_static_flow,worse_count_vs_static_flow,support_strata,support_seed_blocks,fingerprint_match_rate,candidate_recognized_all,cost_finite_all,theta_in_bounds_all,shortlist_ready,not_ready_reason,distance_from_current_static_flow,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c00992,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0199675898924,-0.0188429797967,1517,327,140,200,1,True,True,True,False,materialization_gate_not_met,1.5215998558,1.25,1.27118667368,1.25,0.75,0.75,1.02011255411,0.677184858701,0.923621929722,1,0.877878518052,0.541167597665,0.389514777115,0.802275408526,0.964466596466,11.2568880309,1,0,0,False,False,False,False,False
g554_c00918,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0198027568355,-0.0186488179683,1505,326,140,200,1,True,True,True,False,materialization_gate_not_met,1.87536795101,1.25,1.09519708011,1.25,0.75,0.75,1.04895033345,0.695013747513,0.9825,1,0.823090029006,0.682882589233,0.315429023829,0.812076703327,0.949005148005,10.8206087516,1,0,0,False,False,False,False,False
g554_c00020,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0191285799234,-0.0178863801383,1462,383,140,200,1,True,True,True,False,materialization_gate_not_met,2.56593230439,1.25,1.35400281307,1.25,0.75,0.75,0.952060720811,0.85215983341,0.913059189309,1,1.06675128363,0.84,0.37547041997,0.86233027108,0.805129603648,9.43458463902,1,0,0,False,False,False,False,False
g554_c02574,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0183430162325,-0.0171846009537,1461,360,140,200,1,True,True,True,False,materialization_gate_not_met,2.13184430891,1.25,1.30183705184,1.25,0.75,0.75,1.068498056,1.03516603517,0.921761103011,1,0.741364091142,0.775643948712,0.325094155094,0.771771209271,0.979915317415,10.667492905,1,0,0,False,False,False,False,False
g554_c02514,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0173541248362,-0.0162278474892,1442,357,140,200,1,True,True,True,False,materialization_gate_not_met,1.89742223374,1.25,0.927555062898,1.25,0.75,0.75,1.02914203814,0.610642428143,0.9825,1,0.893064747843,0.821820591358,0.370161959362,0.79667953668,1,11.3566503647,1,0,0,False,False,False,False,False
g554_c00005,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0171517057871,-0.0160717506258,1463,359,140,200,1,True,True,True,False,materialization_gate_not_met,1.05978822229,1.25,1.17118532744,1.25,0.75,0.75,1.11666790417,0,1,1,0.917999117999,0,0.372080682081,0.809197184197,1,9.95200640201,1,0,0,False,False,False,False,False
g554_c00022,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.016892260893,-0.0156190562,1405,432,140,200,1,True,True,True,False,materialization_gate_not_met,1.78519243614,1.25,1.12689391502,1.25,0.75,0.75,1.02182186732,0.565033452283,0.93444002184,1,1.07497199641,0.7085,0.305562807613,0.879378514879,0.785721895841,10.7101026313,1,0,0,False,False,False,False,False
g554_c00983,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0162969149079,-0.0151381272691,1434,398,140,200,1,True,True,True,False,materialization_gate_not_met,1.12105891582,1.25,1.27113572989,1.25,0.75,0.75,0.925315549316,0.598971617722,0.968488413089,1,0.949494043892,0.217293915412,0.374182332983,0.812673403924,0.971985491986,10.6911544402,1,0,0,False,False,False,False,False
g554_c02496,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.0161704554408,-0.0150484328104,1423,389,140,200,1,True,True,True,False,materialization_gate_not_met,1.10143982233,1.25,1.30447671698,1.25,0.75,0.75,1.05891301042,0.624439666939,0.932553582153,1,0.965942006942,0.245686833627,0.377463827464,0.811586034086,1,11.2524774775,1,0,0,False,False,False,False,False
g554_c00011,stage2,,2081,2081,0,3,-0.998558385392,2078,-0.015771162481,-0.0146669076885,1401,381,140,200,1,True,True,True,False,materialization_gate_not_met,0.41,1.25,1.05,1.25,0.75,0.75,1,0,0.95,1,0.75,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
