feature_name,feature_group,present_in_v3,present_in_v4,included_in_perf_safe_model
feature_candidate_alpha_cong_blocked,candidate_param,True,True,True
feature_candidate_alpha_cong_committed,candidate_param,True,True,True
feature_candidate_alpha_flow_progress,candidate_param,True,True,True
feature_candidate_alpha_flow_wait_or_nonprogress,candidate_param,True,True,True
feature_candidate_flow_shield_beta,candidate_param,True,True,True
feature_candidate_is_additive_fallback,candidate_param,True,True,True
feature_candidate_is_c_only_f_disabled,candidate_param,True,True,True
feature_candidate_is_goal_aware_dual_channel,candidate_param,True,True,True
feature_candidate_is_static_fallback,candidate_param,True,True,True
feature_candidate_max_flow_shield,candidate_param,True,True,True
feature_candidate_rho_cong,candidate_param,True,True,True
feature_candidate_rho_flow,candidate_param,True,True,True
feature_interaction_agents_x_alpha_cong_blocked,interaction,True,True,True
feature_interaction_agents_x_alpha_cong_committed,interaction,True,True,True
feature_interaction_agents_x_alpha_flow_progress,interaction,True,True,True
feature_interaction_agents_x_alpha_flow_wait_or_nonprogress,interaction,True,True,True
feature_interaction_agents_x_flow_shield_beta,interaction,True,True,True
feature_interaction_agents_x_max_flow_shield,interaction,True,True,True
feature_interaction_agents_x_rho_cong,interaction,True,True,True
feature_interaction_agents_x_rho_flow,interaction,True,True,True
feature_interaction_trace_events_x_alpha_cong_blocked,interaction,True,True,True
feature_interaction_trace_events_x_alpha_cong_committed,interaction,True,True,True
feature_interaction_trace_events_x_alpha_flow_progress,interaction,True,True,True
feature_interaction_trace_events_x_alpha_flow_wait_or_nonprogress,interaction,True,True,True
feature_interaction_trace_events_x_flow_shield_beta,interaction,True,True,True
feature_interaction_trace_events_x_max_flow_shield,interaction,True,True,True
feature_interaction_trace_events_x_rho_cong,interaction,True,True,True
feature_interaction_trace_events_x_rho_flow,interaction,True,True,True
feature_interaction_trace_per_agent_x_flow_shield_beta,interaction,True,True,True
feature_interaction_trace_per_agent_x_max_flow_shield,interaction,True,True,True
feature_map_agents,context_v3,True,True,True
feature_map_family_empty,context_v3,True,True,True
feature_map_family_maze,context_v3,True,True,True
feature_map_family_other,context_v3,True,True,True
feature_map_family_random,context_v3,True,True,True
feature_map_family_room,context_v3,True,True,True
feature_map_family_warehouse,context_v3,True,True,True
feature_map_iteration,context_v3,True,True,True
feature_map_log_agents,context_v3,True,True,True
feature_map_trace_event_count,context_v3,True,True,True
feature_map_trace_events_log,context_v3,True,True,True
feature_map_trace_events_per_agent,context_v3,True,True,True
feature_rich_blocked_count,rich_context,False,True,True
feature_rich_blocked_per_agent,rich_context,False,True,True
feature_rich_blocked_per_committed,rich_context,False,True,True
feature_rich_c_flow_update_ratio,rich_context,False,True,True
feature_rich_c_nonzero_edges,rich_context,False,True,True
feature_rich_c_update_count,rich_context,False,True,True
feature_rich_committed_count,rich_context,False,True,True
feature_rich_committed_per_agent,rich_context,False,True,True
feature_rich_cost_bounds_respected,rich_context,False,True,True
feature_rich_cost_max,rich_context,False,True,True
feature_rich_cost_min,rich_context,False,True,True
feature_rich_cost_span,rich_context,False,True,True
feature_rich_f_nonzero_edges,rich_context,False,True,True
feature_rich_f_update_count,rich_context,False,True,True
feature_rich_nonprogress_committed_count,rich_context,False,True,True
feature_rich_progress_committed_count,rich_context,False,True,True
feature_rich_progress_ratio,rich_context,False,True,True
feature_rich_wait_event_count,rich_context,False,True,True
feature_rich_wait_per_committed,rich_context,False,True,True
