model_family,threshold,rows,unsafe_positive_rows,true_positive_count,false_negative_count,false_positive_count,true_negative_count,success_regression_recall,safe_opportunity_retention_rate,high_margin_safe_opportunity_retention_rate,fallback_rate,non_additive_allowed_rate,unsafe_prevented_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
G5.35_hybrid_rule_gate_baseline,0.1,8333,211,211,0,4584,3538,1,0.378272073783,0,0.575423016921,0.334693387736,211,False,False,False,False,False
G5.35_hybrid_rule_gate_baseline,0.001,8333,211,211,0,7373,749,1,0,0,0.910116404656,0,211,False,False,False,False,False
G5.35_hybrid_rule_gate_baseline,0.01,8333,211,211,0,7373,749,1,0,0,0.910116404656,0,211,False,False,False,False,False
G5.35_hybrid_rule_gate_baseline,0.05,8333,211,211,0,4584,3538,1,0.378272073783,0,0.575423016921,0.334693387736,211,False,False,False,False,False
G5.35_hybrid_rule_gate_baseline,0.1,8333,211,211,0,4584,3538,1,0.378272073783,0,0.575423016921,0.334693387736,211,False,False,False,False,False
G5.35_hybrid_rule_gate_baseline,0.2,8333,211,211,0,4584,3538,1,0.378272073783,0,0.575423016921,0.334693387736,211,False,False,False,False,False
G5.35_hybrid_rule_gate_baseline,0.4,8333,211,211,0,4554,3568,1,0.382340973823,0,0.571822872915,0.338293531741,211,False,False,False,False,False
G5.35_hybrid_rule_gate_baseline,0.8,8333,211,211,0,4554,3568,1,0.382340973823,0,0.571822872915,0.338293531741,211,False,False,False,False,False
candidate_stratum_rule_gate,0,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
candidate_stratum_rule_gate,0.001,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
candidate_stratum_rule_gate,0.01,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
candidate_stratum_rule_gate,0.05,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
candidate_stratum_rule_gate,0.1,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
candidate_stratum_rule_gate,0.2,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
candidate_stratum_rule_gate,0.4,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
candidate_stratum_rule_gate,0.8,8333,211,211,0,3030,5092,1,0.58904109589,0.313253012048,0.388935557422,0.521180847234,211,False,False,False,False,False
candidate_stratum_rule_plus_torch_score,0,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
candidate_stratum_rule_plus_torch_score,0.001,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
candidate_stratum_rule_plus_torch_score,0.01,8333,211,211,0,3310,4812,1,0.551064695511,0.262048192771,0.422536901476,0.48757950318,211,False,False,False,False,False
