parent_physical_map_sha256,map_examples,source_categories,panels,scientific_splits_observed,parent_map_crosses_scientific_splits,official_scenario_values,derived_scenario_values,official_and_derived_scenarios_distinguishable,rows_for_parent,validation_result
06575cc259ea90e6dad003a72f891ab9f82cc9f5e5de4a5f46b90125a46e5f90,den520d,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,30,pass
0702bcc7df0529a819845c5d70050464c0946ae234881f27b9f4202b81f40c83,random-64-64-20,ggo_alignment_reference;movingai_canonical,G;M,split_later_by_parent_map_hash,False,False;True,False;True,True,27,pass
0aa95f3f8701eea7938b8ed84a38fa17d4eb7fe0a727ecd43edf413f3774ccc0,ht_chantry,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,28,pass
0df903ac3ce1ca7673d22bcab6325ff4bc0e486f41d6e5a5a85859ba4c34d9bb,sortation_large,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,8,pass
160177a47fbede6a4e56a1ed674bab1f7ad0d6f81749b2c4ea93f1e04b2f6667,warehouse_small,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,1,pass
1b3d72a358329a9a37d0aed62ad2668ee7882c4c745c73dc8b4f5d75493c79c4,den312d,ggo_alignment_reference;movingai_canonical,G;M,split_later_by_parent_map_hash,False,False;True,False;True,True,28,pass
1b8fcdab40c3e226a3625b6e6cab315bbfa1f3c870613999ffcf898f47eb1a17,sortation_small,lorr_ood_reference,L,split_later_by_parent_map_hash,False,,,True,1,pass
2081e15b565f6285eb59308b3626a61843763a0df14756ff5906ab0bb8f34c3d,ost003d,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,30,pass
2281ef15df0c94efc79b7c62f0c60ce4cb22c43c2cc584226d307c7676d53986,maze-128-128-10,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,31,pass
22c335cd2022f6c1be19e240bade2488f65db5b962347c64279564d840a276c8,orz900d,movingai_canonical;movingai_high_agent_orz900d,H;M,split_later_by_parent_map_hash,False,True,False,True,160,pass
25e2a6bf2cc1ec4905a8511617ca0e479c6d3165e4fbb8d2963165de153fc9bb,w_woundedcoast,movingai_canonical,M,split_later_by_parent_map_hash,False,True,False,True,32,pass
