map,agents,seed,scen,oracle_delta_ratio,e4_delta_ratio,max_predicted_margin,mean_predicted_margin,max_support_count,mean_support_count,min_neighbor_distance,nonadditive_selected_rules,nonadditive_update_count
maze-32-32-4,50,11,maze-32-32-4-random-11.scen,-0.045971779700000104,0.0,0.0,0.0,0.0,0.0,1.2737613530710685,{},0
maze-32-32-4,50,12,maze-32-32-4-random-12.scen,-0.010537407790000008,0.0,0.0,0.0,0.0,0.0,0.5881184615675666,{},0
maze-32-32-4,50,13,maze-32-32-4-random-13.scen,-0.03738317756999998,0.0,0.0,0.0,0.0,0.0,0.9280281728849333,{},0
maze-32-32-4,50,14,maze-32-32-4-random-14.scen,-0.017182130579999955,0.0,0.0,0.0,0.0,0.0,0.23739150047010066,{},0
maze-32-32-4,50,15,maze-32-32-4-random-15.scen,-0.01766620177,0.0,0.0,0.0,0.0,0.0,0.4973992354025164,{},0
maze-32-32-4,50,16,maze-32-32-4-random-16.scen,-0.022596366859999995,0.0,0.0,0.0,0.0,0.0,0.5678428136447433,{},0
maze-32-32-4,50,17,maze-32-32-4-random-17.scen,-0.0034030141000001013,0.0,0.0,0.0,0.0,0.0,0.5406469549822706,{},0
maze-32-32-4,50,18,maze-32-32-4-random-18.scen,-0.011115522033000036,0.0,0.0,0.0,0.0,0.0,0.9035924385605778,{},0
maze-32-32-4,50,19,maze-32-32-4-random-19.scen,-0.017973040440000032,0.0,0.0,0.0,0.0,0.0,0.9894568352573072,{},0
maze-32-32-4,100,11,maze-32-32-4-random-11.scen,-0.011143410849999924,0.0,0.0,0.0,0.0,0.0,0.4493982195018383,{},0
maze-32-32-4,100,12,maze-32-32-4-random-12.scen,-0.07418699187,0.0,0.0,0.0,0.0,0.0,0.34478534762094903,{},0
maze-32-32-4,100,13,maze-32-32-4-random-13.scen,-0.07594615188999998,0.0,0.0,0.0,0.0,0.0,0.29940417019605475,{},0
maze-32-32-4,100,14,maze-32-32-4-random-14.scen,-0.050769584189999994,0.0,0.0,0.0,0.0,0.0,0.7239125361292948,{},0
maze-32-32-4,100,15,maze-32-32-4-random-15.scen,-0.039841514409999945,0.0,0.0,0.0,0.0,0.0,0.3315493422903941,{},0
maze-32-32-4,100,16,maze-32-32-4-random-16.scen,-0.05736940299000004,0.0,0.0,0.0,0.0,0.0,0.3316827805890195,{},0
maze-32-32-4,100,17,maze-32-32-4-random-17.scen,-0.013625866049999935,0.0,0.0,0.0,0.0,0.0,0.6317703629635053,{},0
maze-32-32-4,100,18,maze-32-32-4-random-18.scen,-0.00795698924999999,0.0,0.0,0.0,0.0,0.0,0.36690426824450495,{},0
maze-32-32-4,100,19,maze-32-32-4-random-19.scen,-0.008631578949999996,0.0,0.0,0.0,0.0,0.0,0.3065449412679245,{},0
maze-32-32-4,100,20,maze-32-32-4-random-20.scen,-0.01660377357999998,0.0,0.0,0.0,0.0,0.0,0.3447130219434595,{},0
