candidate_method,candidate_id,label,rows,better,equal,worse,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,bootstrap_95ci_mean_delta_ratio_vs_ltm,bootstrap_probability_mean_delta_lt_0,ratio_worse_than_ltm_groups,success_worse_than_ltm_groups,pairwise_total_wins,pairwise_total_losses,pairwise_beats_minus_losses,pairwise_matrix
repair5f_static_c100_b100_w075_d100,c100_b100_w075_d100,wait 0.75 only,120,25,72,23,-0.0008398811590833434,0.0,"[-0.0035289097079583397, 0.0018576541593999906]",0.727,2,0,96,88,8,"{""repair5f_static_c100_b100_w075_d090"": {""compared"": 120, ""losses"": 27, ""ties"": 70, ""wins"": 23}, ""repair5f_static_c100_b100_w075_d095"": {""compared"": 120, ""losses"": 20, ""ties"": 74, ""wins"": 26}, ""repair5f_static_c100_b100_w100_d090"": {""compared"": 120, ""losses"": 21, ""ties"": 76, ""wins"": 23}, ""repair5f_static_c100_b100_w100_d095"": {""compared"": 120, ""losses"": 20, ""ties"": 76, ""wins"": 24}}"
repair5f_static_c100_b100_w075_d095,c100_b100_w075_d095,wait 0.75 + decay 0.95,120,22,76,22,-0.0008186365335416705,0.0,"[-0.003262461136049995, 0.0014584445334583419]",0.7504,2,0,90,98,-8,"{""repair5f_static_c100_b100_w075_d090"": {""compared"": 120, ""losses"": 27, ""ties"": 69, ""wins"": 24}, ""repair5f_static_c100_b100_w075_d100"": {""compared"": 120, ""losses"": 26, ""ties"": 74, ""wins"": 20}, ""repair5f_static_c100_b100_w100_d090"": {""compared"": 120, ""losses"": 22, ""ties"": 74, ""wins"": 24}, ""repair5f_static_c100_b100_w100_d095"": {""compared"": 120, ""losses"": 23, ""ties"": 75, ""wins"": 22}}"
repair5f_static_c100_b100_w100_d090,c100_b100_w100_d090,decay 0.90 only,120,23,74,23,-0.0003064312557916717,0.0,"[-0.0023377890459249985, 0.0017873470575750033]",0.6148,1,0,90,93,-3,"{""repair5f_static_c100_b100_w075_d090"": {""compared"": 120, ""losses"": 26, ""ties"": 70, ""wins"": 24}, ""repair5f_static_c100_b100_w075_d095"": {""compared"": 120, ""losses"": 24, ""ties"": 74, ""wins"": 22}, ""repair5f_static_c100_b100_w075_d100"": {""compared"": 120, ""losses"": 23, ""ties"": 76, ""wins"": 21}, ""repair5f_static_c100_b100_w100_d095"": {""compared"": 120, ""losses"": 20, ""ties"": 77, ""wins"": 23}}"
repair5f_static_c100_b100_w075_d090,c100_b100_w075_d090,locked wait 0.75 + decay 0.90,120,25,68,27,4.51908770666587e-05,0.0,"[-0.0025520060482666805, 0.0027488667566999887]",0.5014,2,0,109,92,17,"{""repair5f_static_c100_b100_w075_d095"": {""compared"": 120, ""losses"": 24, ""ties"": 69, ""wins"": 27}, ""repair5f_static_c100_b100_w075_d100"": {""compared"": 120, ""losses"": 23, ""ties"": 70, ""wins"": 27}, ""repair5f_static_c100_b100_w100_d090"": {""compared"": 120, ""losses"": 24, ""ties"": 70, ""wins"": 26}, ""repair5f_static_c100_b100_w100_d095"": {""compared"": 120, ""losses"": 21, ""ties"": 70, ""wins"": 29}}"
repair5f_static_c100_b100_w100_d095,c100_b100_w100_d095,decay 0.95 only,120,25,74,21,0.00012301019519166494,0.0,"[-0.0017178233221999998, 0.001991228750250011]",0.4514,3,0,84,98,-14,"{""repair5f_static_c100_b100_w075_d090"": {""compared"": 120, ""losses"": 29, ""ties"": 70, ""wins"": 21}, ""repair5f_static_c100_b100_w075_d095"": {""compared"": 120, ""losses"": 22, ""ties"": 75, ""wins"": 23}, ""repair5f_static_c100_b100_w075_d100"": {""compared"": 120, ""losses"": 24, ""ties"": 76, ""wins"": 20}, ""repair5f_static_c100_b100_w100_d090"": {""compared"": 120, ""losses"": 23, ""ties"": 77, ""wins"": 20}}"
