target_rule,predicted_rule,selected_decision,count
None,additive_ltm,defer_ltm,23
block_heavy,additive_ltm,defer_ltm,119
block_heavy,block_heavy,use_nonadditive,4
block_heavy,block_light,use_nonadditive,2
block_heavy,commit_heavy,use_nonadditive,30
block_heavy,decay_090,use_nonadditive,6
block_heavy,wait_light,use_nonadditive,10
block_light,additive_ltm,defer_ltm,45
block_light,block_light,use_nonadditive,5
block_light,commit_heavy,use_nonadditive,4
block_light,decay_090,use_nonadditive,3
block_light,wait_light,use_nonadditive,8
commit_heavy,additive_ltm,defer_ltm,78
commit_heavy,block_heavy,use_nonadditive,4
commit_heavy,block_light,use_nonadditive,3
commit_heavy,commit_heavy,use_nonadditive,61
commit_heavy,decay_090,use_nonadditive,2
commit_heavy,wait_light,use_nonadditive,19
decay_090,additive_ltm,defer_ltm,22
decay_090,block_heavy,use_nonadditive,2
decay_090,block_light,use_nonadditive,2
decay_090,commit_heavy,use_nonadditive,13
decay_090,wait_light,use_nonadditive,6
decay_095,additive_ltm,defer_ltm,35
decay_095,block_heavy,use_nonadditive,2
decay_095,block_light,use_nonadditive,5
decay_095,commit_heavy,use_nonadditive,13
decay_095,decay_090,use_nonadditive,3
decay_095,wait_light,use_nonadditive,11
wait_heavy,additive_ltm,defer_ltm,56
wait_heavy,block_heavy,use_nonadditive,3
wait_heavy,block_light,use_nonadditive,5
wait_heavy,commit_heavy,use_nonadditive,31
wait_heavy,decay_090,use_nonadditive,3
wait_heavy,wait_light,use_nonadditive,6
wait_light,additive_ltm,defer_ltm,66
wait_light,block_heavy,use_nonadditive,6
wait_light,block_light,use_nonadditive,5
wait_light,commit_heavy,use_nonadditive,17
wait_light,decay_090,use_nonadditive,7
wait_light,wait_light,use_nonadditive,17
