theta_parameter,current_static_flow_value,legacy_helper_static_flow_value,differs_from_legacy_helper,within_bounds,active_in_materialization,active_in_update,active_in_cost_projection,active_only_under_specific_goal_projection_mode,ignored_or_alias,requires_nonzero_flow_events,requires_nonzero_wait_progress_events,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
theta_alpha_cong_commit_progress,1.25,1.25,False,True,True,True,False,False,False,False,False,False,False,False,False,False
theta_alpha_cong_commit_nonprogress,1.25,1.25,False,True,True,True,False,False,False,False,False,False,False,False,False,False
theta_alpha_cong_block,1.25,1.25,False,True,True,True,False,False,False,False,False,False,False,False,False,False
theta_alpha_cong_wait_progress,0.75,0.75,False,True,True,True,False,False,False,False,True,False,False,False,False,False
theta_alpha_cong_wait_nonprogress,0.75,0.75,False,True,True,True,False,False,False,False,False,False,False,False,False,False
theta_alpha_flow_commit_progress,1,1,False,True,True,True,False,False,False,True,False,False,False,False,False,False
theta_alpha_flow_wait_progress,0,1,True,True,True,True,False,False,False,True,True,False,False,False,False,False
theta_rho_cong_decay,0.95,0.95,False,True,True,True,False,False,False,False,False,False,False,False,False,False
theta_rho_flow_decay,1,1,False,True,True,True,False,False,False,True,False,False,False,False,False,False
theta_lambda_cong,1,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False
theta_lambda_flow,0,1,True,True,True,False,True,True,True,True,False,False,False,False,False,False
theta_flow_shield_beta,0.35,0.35,False,True,True,False,True,True,False,True,False,False,False,False,False,False
theta_max_flow_shield,0.75,0.75,False,True,True,False,True,True,False,True,False,False,False,False,False,False
theta_min_edge_cost,1,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False
theta_max_edge_cost,11,11,False,True,True,False,True,False,False,False,False,False,False,False,False,False
theta_goal_projection_mode_flow_shield,1,1,False,True,True,False,True,True,False,False,False,False,False,False,False,False
theta_goal_projection_mode_agent_progress,0,0,False,True,True,False,True,True,False,False,False,False,False,False,False,False
theta_goal_projection_mode_none,0,0,False,True,True,False,True,True,False,False,False,False,False,False,False,False
