candidate_id,registry_row_id,candidate_family,theta_cluster,source_model,distance_from_g554_c00051,theta_in_bounds,goal_projection_mode,predicted_regression_risk_vs_g554_c00051,predicted_success_gain_rate_vs_g554_c00051,predicted_quality_delta_vs_g554_c00051,support_coverage,pareto_score,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,selected_for_solver
g556_c008035,g556_c008035,trust_region_g554_c00051,g556_surrogate_candidate,FTRST_or_control_ensemble,0.0671247461168,True,flow_shield,0.0230945112649,0.00189989739757,-0.00624125393377,0.740348378955,0.0317114172491,1.25,1.1244578673,1.25,0.75,0.75,1.06127827937,0.678734916293,0.983754941485,1,0.671829659511,0.65,0.313735694534,0.801322400824,0.988074803276,10.7326043623,1,0,0,False,False,False,False,False,True
g556_c043243,g556_c043243,trust_region_g554_c00051,g556_surrogate_candidate,FTRST_or_control_ensemble,0.0582710351837,True,flow_shield,0.0237441965668,0.00478794029718,-0.00659024409928,0.762179063463,0.032827098989,1.25,1.12666153881,1.25,0.75,0.75,1.05005630678,0.696049904973,0.9811499828,1,0.663046180861,0.65,0.305114640398,0.809404151579,1,10.6969238894,1,0,0,False,False,False,False,False,True
g556_c018133,g556_c018133,trust_region_g554_c00051,g556_surrogate_candidate,FTRST_or_control_ensemble,0.0661890089426,True,flow_shield,0.023768596046,0.0108832100136,-0.00427033706646,0.926803819589,0.0387262300229,1.25,1.12552115786,1.25,0.75,0.75,1.04205562329,0.679595538711,0.984445792913,1,0.679060212819,0.65,0.313697408649,0.829816902841,1,10.6909657272,1,0,0,False,False,False,False,False,True
g556_c085993,g556_c085993,trust_region_g554_c00051,g556_surrogate_candidate,FTRST_or_control_ensemble,0.0707398677796,True,flow_shield,0.0240115123653,0.0073768659474,-0.0106524153028,0.828505864482,0.0400719523442,1.25,1.15488494477,1.25,0.75,0.75,1.06470274659,0.675999543249,0.982036360891,1,0.682208358375,0.65,0.308649433793,0.789254562028,1,10.6978123667,1,0,0,False,False,False,False,False,True
g556_c009619,g556_c009619,trust_region_g554_c00051,g556_surrogate_candidate,FTRST_or_control_ensemble,0.0771406935716,True,flow_shield,0.0242857936415,0.0105756449406,-0.0107684624196,0.792017723947,0.0382264517962,1.25,1.12708535317,1.25,0.75,0.75,1.02465431049,0.693855374056,0.983065633553,1,0.684602418693,0.65,0.303187728178,0.791406989945,1,10.7273096782,1,0,0,False,False,False,False,False,True
g556_c099610,g556_c099610,trust_region_g554_c00051,g556_surrogate_candidate,FTRST_or_control_ensemble,0.0716556825439,True,flow_shield,0.0243059286342,0.00676265570427,-0.0114081055832,0.867209248372,0.0426156036847,1.25,1.15801386976,1.25,0.75,0.75,1.04955505329,0.693094398214,0.981784397647,1,0.679699143403,0.65,0.30589398406,0.840191593592,1,10.6995648414,1,0,0,False,False,False,False,False,True
g556_c055531,g556_c055531,ftrst_gradient_guided_search,g556_surrogate_candidate,FTRST_or_control_ensemble,0.0759219782253,True,flow_shield,0.024340474057,0.00941111503126,-0.00399838888686,0.803348689954,0.0319955863561,1.25,1.15303153783,1.25,0.75,0.75,1.04216525346,0.673412560385,0.983469714091,1,0.681927381218,0.65,0.314631780246,0.797440074346,1,10.7475330575,1,0,0,False,False,False,False,False,True
g556_c023713,g556_c023713,trust_region_g554_c00051,g556_surrogate_candidate,FTRST_or_control_ensemble,0.0761563665177,True,flow_shield,0.0243791639601,0.00429812692013,-0.0069384468997,0.716862949411,0.0305920123902,1.25,1.1200754992,1.25,0.75,0.75,1.04680885778,0.707146927932,0.983232972301,1,0.668475212074,0.65,0.316513500201,0.791923279022,1,10.7009547073,1,0,0,False,False,False,False,False,True
g556_c079813,g556_c079813,ftrst_gradient_guided_search,g556_surrogate_candidate,FTRST_or_control_ensemble,0.079674156985,True,flow_shield,0.0246085374557,0.00221137630946,-0.00436297122306,0.77725676823,0.0309215409067,1.25,1.13825353716,1.25,0.75,0.75,1.0469854275,0.659974700698,0.984081075957,1,0.679438744684,0.65,0.305530779549,0.789726264988,1,10.7339576063,1,0,0,False,False,False,False,False,True
g556_c016126,g556_c016126,trust_region_g554_c00051,g556_surrogate_candidate,FTRST_or_control_ensemble,0.0813418234748,True,flow_shield,0.0246706481381,0.00819022781857,-0.00588312364813,0.767096298711,0.0319026145146,1.25,1.12923035611,1.25,0.75,0.75,1.04358283995,0.662198900276,0.981249115253,1,0.679546481361,0.65,0.317386803581,0.811018099862,0.984774299427,10.7306848481,1,0,0,False,False,False,False,False,True
g556_c022087,g556_c022087,ftrst_gradient_guided_search,g556_surrogate_candidate,FTRST_or_control_ensemble,0.0713755548774,True,flow_shield,0.0248190739635,0.0103011393545,-0.00353549958649,0.820896137312,0.0321707694703,1.25,1.12480501626,1.25,0.75,0.75,1.04683914194,0.680130241482,0.982127942616,1,0.654501541495,0.65,0.314875837914,0.824188552851,0.990398684804,10.6999361003,1,0,0,False,False,False,False,False,True
g556_c074590,g556_c074590,trust_region_g554_c00051,g556_surrogate_candidate,FTRST_or_control_ensemble,0.082267403191,True,flow_shield,0.0248817723535,0.0116337218638,-0.00441817129551,0.933155800533,0.0386350751454,1.25,1.13894461446,1.25,0.75,0.75,1.04907904472,0.663612205411,0.982843016971,1,0.668478182065,0.65,0.306286922881,0.818225781364,0.983377357368,10.6536817191,1,0,0,False,False,False,False,False,True
