candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,maze,2000,12,0,1,1,11,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,random,1000,27,0,0,0,24,0,3,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,random,2000,13,0,1,1,11,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,random,500,24,1,0,2,21,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,warehouse,2000,12,0,0,2,4,0,6,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,maze,2000,12,0,1,2,10,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,random,1000,27,0,0,0,24,0,3,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,random,2000,14,0,1,2,11,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,random,500,24,1,0,2,21,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,warehouse,2000,12,0,0,1,4,0,7,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,maze,2000,13,0,2,4,9,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,random,1000,27,0,0,0,24,0,3,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,random,2000,13,0,1,1,11,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,random,500,24,1,0,2,21,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,warehouse,2000,12,1,0,1,3,0,7,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False
