theta_cluster,map_family,agents,nominal_budget_ms,horizon_id,theta_parameter,min,max,mean,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_cong_commit_progress,1.25,1.25,1.25,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_cong_commit_nonprogress,0.50001499997,1.74982250035,1.13431216672,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_cong_block,1.25,1.25,1.25,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_cong_wait_progress,0.75,0.75,0.75,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_cong_wait_nonprogress,0.75,0.75,0.75,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_flow_commit_progress,1,1,1,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_flow_wait_progress,1,1,1,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_rho_cong_decay,0.95,0.95,0.95,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_rho_flow_decay,1,1,1,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_lambda_cong,0.505548988902,1.49944000112,0.992699831842,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_lambda_flow,1,1,1,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_flow_shield_beta,0.35,0.35,0.35,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_max_flow_shield,0.75,0.75,0.75,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_min_edge_cost,1,1,1,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_max_edge_cost,11,11,11,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_goal_projection_mode_flow_shield,1,1,1,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_goal_projection_mode_agent_progress,0,0,0,False,False,False,False,False
alpha_cong_commit_nonprogress_sweep,random,100,2000,c0_short5000_t050_i2,theta_goal_projection_mode_none,0,0,0,False,False,False,False,False
alpha_flow_wait_progress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_cong_commit_progress,1.25,1.25,1.25,False,False,False,False,False
alpha_flow_wait_progress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_cong_commit_nonprogress,1.25,1.25,1.25,False,False,False,False,False
alpha_flow_wait_progress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_cong_block,1.25,1.25,1.25,False,False,False,False,False
alpha_flow_wait_progress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_cong_wait_progress,0.75,0.75,0.75,False,False,False,False,False
alpha_flow_wait_progress_sweep,random,100,2000,c0_short5000_t050_i2,theta_alpha_cong_wait_nonprogress,0.75,0.75,0.75,False,False,False,False,False
