map,map_family,agents,budget_ms,observed,solver_rows,seed_support,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4,maze,50,2000,True,396,3,False,False,False,False,False
maze-32-32-4,maze,100,1000,True,396,3,False,False,False,False,False
random-32-32-20,random,50,2000,True,396,3,False,False,False,False,False
random-32-32-20,random,100,500,True,396,3,False,False,False,False,False
random-32-32-20,random,100,2000,True,396,3,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,True,396,3,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,2000,True,396,3,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,True,396,3,False,False,False,False,False
