context_key,seed,seed_block,theta_cluster,selected_candidate,quality_delta_ratio,selected_ratio,baseline_ratio,better,worse,success_regression,horizon_id,nominal_budget_ms,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random-32-32-20|100|1415|5000|0|14650fb0739d0383,1415,1400_1419,g543_true_near_signal_neighborhood,repair5g549_theta_549001227,-0.09967089798,1.20780441937,1.30747531735,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1452|5000|0|14650fb0739d0383,1452,1440_1459,g543_true_near_signal_neighborhood,repair5g549_theta_549000807,-0.09882903981,1.19718969555,1.29601873536,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,g543_true_near_signal_neighborhood,repair5g549_theta_549001917,-0.0956321839,1.31218390805,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1457|2000|no_probe|c0_short5000_t050_i2,1457,1440_1459,g543_true_near_signal_neighborhood,repair5g549_theta_549001327,,,,False,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1457|2000|no_probe|c0_short5000_t050_i2,1457,1440_1459,g543_true_near_signal_neighborhood,repair5g549_theta_549001337,,,,False,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1457|2000|no_probe|c0_short5000_t050_i2,1457,1440_1459,g543_true_near_signal_neighborhood,repair5g549_theta_549001347,,,,False,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1457|2000|no_probe|c0_short5000_t050_i2,1457,1440_1459,g543_true_near_signal_neighborhood,repair5g549_theta_549001357,,,,False,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001918,-0.13747126436,1.27034482759,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001908,-0.13701149425,1.2708045977,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001968,-0.11816091954,1.28965517241,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001938,-0.10574712643,1.30206896552,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
random-32-32-20|100|1443|5000|0|14650fb0739d0383,1443,1440_1459,g546_g548_safe_no_gain_neighborhood,repair5g549_theta_549001998,-0.10206896551,1.30574712644,1.40781609195,True,False,False,c0_short5000_t050_i2,2000,False,False,False,False,False
