head,bin,rows,pred_mean,true_rate,split,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,mae,bias
success_regression,0,52,0.1683652879526982,0.0,validation_heldout,False,False,False,False,False,,
success_regression,1,52,0.16852017864584923,0.019230769230769232,validation_heldout,False,False,False,False,False,,
success_regression,2,51,0.1686088816792357,0.0,validation_heldout,False,False,False,False,False,,
success_regression,3,51,0.16869020082202613,0.0,validation_heldout,False,False,False,False,False,,
success_regression,4,51,0.16876527228776148,0.0392156862745098,validation_heldout,False,False,False,False,False,,
success_regression,5,51,0.168841018688445,0.0196078431372549,validation_heldout,False,False,False,False,False,,
success_regression,6,51,0.16898685226253435,0.0784313725490196,validation_heldout,False,False,False,False,False,,
success_regression,7,51,0.1693391718116461,0.0,validation_heldout,False,False,False,False,False,,
success_regression,8,51,0.1696405571465399,0.0,validation_heldout,False,False,False,False,False,,
success_regression,9,51,0.1699196760560952,0.0,validation_heldout,False,False,False,False,False,,
success_gain,0,52,0.1772336891064277,0.0,validation_heldout,False,False,False,False,False,,
success_gain,1,52,0.1776440516114235,0.0,validation_heldout,False,False,False,False,False,,
success_gain,2,51,0.17777891486298805,0.0,validation_heldout,False,False,False,False,False,,
success_gain,3,51,0.17787139146935707,0.0392156862745098,validation_heldout,False,False,False,False,False,,
success_gain,4,51,0.17796298160272486,0.0,validation_heldout,False,False,False,False,False,,
success_gain,5,51,0.1780812173497443,0.0,validation_heldout,False,False,False,False,False,,
success_gain,6,51,0.1782144571051878,0.0,validation_heldout,False,False,False,False,False,,
success_gain,7,51,0.17837441259739445,0.0,validation_heldout,False,False,False,False,False,,
success_gain,8,51,0.17853102058756584,0.0,validation_heldout,False,False,False,False,False,,
success_gain,9,51,0.17878961241712757,0.0,validation_heldout,False,False,False,False,False,,
quality_delta,all_comparable,288,,,validation_heldout,False,False,False,False,False,0.5766738171832844,0.27948779096317866
