row_type,policy,model,sample_index,selected_policy_utility,candidate_induced_no_solution_count,safe_positive_selected_count,region_match_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,0,0.01454365243,24,103,0.633495145631,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,1,0.012686146722,32,99,0.635922330097,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,2,0.01516346635,31,106,0.626213592233,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,3,0.012595285988,37,93,0.616504854369,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,4,0.013528914178,34,91,0.609223300971,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,5,0.009762039284,28,107,0.677184466019,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,6,0.011404861741,21,120,0.684466019417,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,7,0.012072347626,20,114,0.643203883495,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,8,0.013940658124,33,105,0.599514563107,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,9,0.012334529089,21,103,0.631067961165,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,10,0.01440447438,25,100,0.635922330097,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,11,0.011755974591,35,98,0.655339805825,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,12,0.012816098337,20,109,0.645631067961,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,13,0.014912842847,26,87,0.592233009709,False,False,False,False,False
bootstrap,teacher_cpi_oracle_diagnostic_not_for_promotion,teacher_cpi_oracle_diagnostic_not_for_promotion,14,0.011588151809,27,104,0.650485436893,False,False,False,False,False
