budget_sec,mean_runtime_ms,mean_sum_of_loss_ratio,method,rows,success_rate,successes
3,6306.2193,1.16525044723,repair5g54_fixed_map_agent_3s,1,1.0,1
3,3372.9108,,repair5g54_fixed_static_3s,1,0.0,0
3,3079.631,1.16525044723,repair5g54_minimal_hook_map_agent_3s,1,1.0,1
3,3162.2323,1.16525044723,repair5g54_minimal_hook_static_3s,1,1.0,1
3,5220.88,1.16525044723,repair5g54_selector_audit_3s,1,1.0,1
3,3098.1019,1.16525044723,repair5g54_selector_perf_3s,1,1.0,1
5,5868.3988,1.16525044723,repair5g54_fixed_map_agent_5s,1,1.0,1
5,8240.063,1.16525044723,repair5g54_fixed_static_5s,1,1.0,1
5,7431.9309,1.16525044723,repair5g54_minimal_hook_map_agent_5s,1,1.0,1
5,8123.377,1.16525044723,repair5g54_minimal_hook_static_5s,1,1.0,1
5,5265.8076,1.16525044723,repair5g54_selector_audit_5s,1,1.0,1
5,7355.9678,1.16525044723,repair5g54_selector_perf_5s,1,1.0,1
10,10342.9825,1.16525044723,repair5g54_fixed_map_agent_10s,1,1.0,1
10,13581.5939,1.15462880143,repair5g54_fixed_static_10s,1,1.0,1
10,11493.0792,1.16525044723,repair5g54_minimal_hook_map_agent_10s,1,1.0,1
10,13315.0893,1.15462880143,repair5g54_minimal_hook_static_10s,1,1.0,1
10,13046.2101,1.16525044723,repair5g54_selector_audit_10s,1,1.0,1
10,11535.2348,1.16525044723,repair5g54_selector_perf_10s,1,1.0,1
