dataset_row_id,c0_source,f0_source,wait_pressure_source,f0_nonzero_rate,c0_nonzero_rate,path_found_rate,flow_mass_preservation_ratio,head_on_pressure,vertex_wait_pressure_max,vertex_wait_pressure_mean,c0_and_f0_identical,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g562_real_graph_000000,actual_start_goal_shortest_path_contraflow_and_head_on_pressure,actual_start_goal_shortest_path_directed_flow,actual_start_goal_shortest_path_vertex_convergence_proxy,0.38839285714285715,0.38839285714285715,1.0,1.0,0.0505952425301075,1.0,0.4812500476837158,False,False,False,False,False,False
g562_real_graph_000001,actual_start_goal_shortest_path_contraflow_and_head_on_pressure,actual_start_goal_shortest_path_directed_flow,actual_start_goal_shortest_path_vertex_convergence_proxy,0.19488188976377951,0.19488188976377951,1.0,1.0,0.0008424873230978847,1.0,0.05444108322262764,False,False,False,False,False,False
g562_real_graph_000002,actual_start_goal_shortest_path_contraflow_and_head_on_pressure,actual_start_goal_shortest_path_directed_flow,actual_start_goal_shortest_path_vertex_convergence_proxy,0.11564339781328847,0.11564339781328847,1.0,1.0,0.0030487803742289543,1.0,0.08705919235944748,False,False,False,False,False,False
g562_real_graph_000003,actual_start_goal_shortest_path_contraflow_and_head_on_pressure,actual_start_goal_shortest_path_directed_flow,actual_start_goal_shortest_path_vertex_convergence_proxy,0.32119741100323623,0.32119741100323623,1.0,1.0,0.028586842119693756,1.0,0.17212167382240295,False,False,False,False,False,False
g562_real_graph_000004,actual_start_goal_shortest_path_contraflow_and_head_on_pressure,actual_start_goal_shortest_path_directed_flow,actual_start_goal_shortest_path_vertex_convergence_proxy,0.3732394366197183,0.3732394366197183,1.0,1.0,0.01739850826561451,1.0,0.2914438545703888,False,False,False,False,False,False
g562_real_graph_000005,actual_start_goal_shortest_path_contraflow_and_head_on_pressure,actual_start_goal_shortest_path_directed_flow,actual_start_goal_shortest_path_vertex_convergence_proxy,0.25961538461538464,0.25961538461538464,0.96875,1.0,0.005733397323638201,1.0,0.1172545775771141,False,False,False,False,False,False
g562_real_graph_000006,actual_start_goal_shortest_path_contraflow_and_head_on_pressure,actual_start_goal_shortest_path_directed_flow,actual_start_goal_shortest_path_vertex_convergence_proxy,0.22767857142857142,0.22767857142857142,1.0,1.0,0.0297619067132473,1.0,0.2291666567325592,False,False,False,False,False,False
g562_real_graph_000007,actual_start_goal_shortest_path_contraflow_and_head_on_pressure,actual_start_goal_shortest_path_directed_flow,actual_start_goal_shortest_path_vertex_convergence_proxy,0.24673507462686567,0.24673507462686567,1.0,1.0,0.0065644001588225365,1.0,0.0994642823934555,False,False,False,False,False,False
g562_real_graph_000008,actual_start_goal_shortest_path_contraflow_and_head_on_pressure,actual_start_goal_shortest_path_directed_flow,actual_start_goal_shortest_path_vertex_convergence_proxy,0.6401515151515151,0.6401515151515151,1.0,1.0,0.07626263052225113,1.0,0.20088161528110504,False,False,False,False,False,False
g562_real_graph_000009,actual_start_goal_shortest_path_contraflow_and_head_on_pressure,actual_start_goal_shortest_path_directed_flow,actual_start_goal_shortest_path_vertex_convergence_proxy,0.7253521126760564,0.7253521126760564,1.0,1.0,0.23239436745643616,1.0,0.4039216637611389,False,False,False,False,False,False
