stage,decision,rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
A_g549_semantics,g550_g549_signal_semantics_audited,30282,False,False,False,False,False
B_true_gain_forensics,g550_true_gain_forensics_complete,2720,False,False,False,False,False
C_fulltheta_expansion,g550_signal_failed_to_replicate_underpowered_continue_replay,0,False,False,False,False,False
D_active_theta_search,g550_active_theta_search_underpowered_resume,0,False,False,False,False,False
E_policy_suite,g550_generator_offline_failed_continue_model_design,8,False,False,False,False,False
F_targeted,g550_generated_theta_targeted_skipped_generator_gate_not_met,0,False,False,False,False,False
G_blind,g550_blind_replay_skipped_targeted_gate_not_met,0,False,False,False,False,False
H_iteration_counterfactual,g550_iteration_counterfactual_labels_underpowered_resume,0,False,False,False,False,False
