candidate_id,candidate_role,candidate_family,rows,finite_rows,oracle_win_count,candidate_induced_no_solution_count,static_failure_candidate_recovers_count,mean_score,static_finite_comparison_rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,g518_retained,block_heavy,42,39,2,1,0,1.244172649095,40,False,False,False,False,False
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,g518_retained,block_heavy,42,40,6,0,0,1.239053301855,40,False,False,False,False,False
repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,g518_retained,block_heavy,42,39,2,1,0,1.248092047065,40,False,False,False,False,False
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,g518_retained,high_beta,42,39,2,1,0,1.244291231179,40,False,False,False,False,False
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,g518_retained,high_beta,42,39,2,1,0,1.250833115025,40,False,False,False,False,False
repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,g518_retained,high_beta,42,39,6,1,0,1.245979553951,40,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,g518_retained,wait_conservative,42,40,4,0,0,1.247585898891,40,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,g518_retained,wait_conservative,42,38,7,2,0,1.240163371678,40,False,False,False,False,False
repair5g521_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,g521_second_wave,block_heavy,42,40,0,0,0,1.252288033382,40,False,False,False,False,False
repair5g521_grid_c0p90_b1p50_f1p00_w0p45_dc0p90_df1p00_beta0p45_max0p75_c0,g521_second_wave,block_heavy,42,40,0,0,0,1.239053301855,40,False,False,False,False,False
repair5g521_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,g521_second_wave,block_heavy,42,40,0,0,0,1.239053301855,40,False,False,False,False,False
repair5g521_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,g521_second_wave,block_heavy,42,40,0,0,0,1.249048083471,40,False,False,False,False,False
repair5g521_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,g521_second_wave,high_beta,42,38,0,2,0,1.24536774845,40,False,False,False,False,False
repair5g521_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,g521_second_wave,high_beta,42,37,0,3,0,1.247748783821,40,False,False,False,False,False
repair5g521_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,g521_second_wave,high_beta,42,38,0,2,0,1.247640291237,40,False,False,False,False,False
repair5g521_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,g521_second_wave,high_beta,42,40,0,0,0,1.253839190044,40,False,False,False,False,False
repair5g521_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,g521_second_wave,wait_conservative,42,39,0,1,0,1.246250338753,40,False,False,False,False,False
repair5g521_grid_c1p25_b1p25_f1p00_w0p50_dc0p90_df1p00_beta0p35_max0p75_c0,g521_second_wave,wait_conservative,42,39,1,1,0,1.244170499073,40,False,False,False,False,False
repair5g521_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p30_max0p75_c0,g521_second_wave,wait_conservative,42,39,0,1,0,1.260203450862,40,False,False,False,False,False
repair5g521_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,g521_second_wave,wait_conservative,42,39,0,1,0,1.244733328005,40,False,False,False,False,False
repair5g521_grid_c1p25_b1p25_f1p00_w0p75_dc0p90_df1p00_beta0p55_max0p75_c0,g521_second_wave,high_beta,42,40,0,0,0,1.252487097181,40,False,False,False,False,False
repair5g521_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p95_beta0p55_max0p75_c0,g521_second_wave,high_beta,42,40,0,0,0,1.252487097181,40,False,False,False,False,False
repair5g521_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p55_max0p75_c0,g521_second_wave,high_beta,42,39,0,1,0,1.253414535152,40,False,False,False,False,False
