theta_cluster,map_family,agents,nominal_budget_ms,horizon_id,support_pairs,pair_rows,seed_block_support,success_regression_count,success_regression_rate,quality_only_mean_delta_vs_static_flow,better_count_vs_static_flow,worse_count_vs_static_flow,bootstrap_ci_lower,bootstrap_ci_upper,region_status,interpretation,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
goal_projection_mode_ablation,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,0.00128791908704,138,100,-0.00529952818138,0.00689519668646,safe_but_no_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
negative_control,random,100,2000,c0_short5000_t050_i2,260,580,3,0,0,0.00864409385219,125,116,0.00120539020712,0.0151700684014,safe_but_no_gain,negative_delta_is_better_quality_ratio,False,False,False,False,False
