group_type,group_value,threshold,sample_count,near_tie_count,near_tie_rate,neutral_count,mean_best_minus_second_margin,median_best_minus_second_margin,mean_best_minus_neutral_threshold
all,all,0.001,1897,377,0.19873484449130205,413,0.01638669697849323,0.005233111322500001,0.04468462973121565
all,all,0.0025,1897,637,0.33579335793357934,413,0.01638669697849323,0.005233111322500001,0.04468462973121565
all,all,0.005,1897,926,0.4881391671059568,413,0.01638669697849323,0.005233111322500001,0.04468462973121565
all,all,0.01,1897,1279,0.6742224565102793,413,0.01638669697849323,0.005233111322500001,0.04468462973121565
all,all,0.02,1897,1628,0.8581971534001054,413,0.01638669697849323,0.005233111322500001,0.04468462973121565
all,all,0.05,1897,1826,0.9625724828676858,413,0.01638669697849323,0.005233111322500001,0.04468462973121565
map,empty-32-32,0.001,240,39,0.1625,47,0.009137443038472125,0.006135011736955,0.017344066246228758
map,empty-32-32,0.0025,240,62,0.25833333333333336,47,0.009137443038472125,0.006135011736955,0.017344066246228758
map,empty-32-32,0.005,240,103,0.42916666666666664,47,0.009137443038472125,0.006135011736955,0.017344066246228758
map,empty-32-32,0.01,240,161,0.6708333333333333,47,0.009137443038472125,0.006135011736955,0.017344066246228758
map,empty-32-32,0.02,240,210,0.875,47,0.009137443038472125,0.006135011736955,0.017344066246228758
map,empty-32-32,0.05,240,239,0.9958333333333333,47,0.009137443038472125,0.006135011736955,0.017344066246228758
map,empty-48-48,0.001,240,57,0.2375,62,0.005811409609804378,0.003370251810635,0.00925681033711836
map,empty-48-48,0.0025,240,98,0.4083333333333333,62,0.005811409609804378,0.003370251810635,0.00925681033711836
map,empty-48-48,0.005,240,154,0.6416666666666667,62,0.005811409609804378,0.003370251810635,0.00925681033711836
map,empty-48-48,0.01,240,200,0.8333333333333334,62,0.005811409609804378,0.003370251810635,0.00925681033711836
map,empty-48-48,0.02,240,231,0.9625,62,0.005811409609804378,0.003370251810635,0.00925681033711836
map,empty-48-48,0.05,240,237,0.9875,62,0.005811409609804378,0.003370251810635,0.00925681033711836
map,maze-32-32-4,0.001,218,40,0.1834862385321101,47,0.04794915807509566,0.010594628629074997,0.16182419702584666
map,maze-32-32-4,0.0025,218,50,0.22935779816513763,47,0.04794915807509566,0.010594628629074997,0.16182419702584666
map,maze-32-32-4,0.005,218,76,0.3486238532110092,47,0.04794915807509566,0.010594628629074997,0.16182419702584666
map,maze-32-32-4,0.01,218,104,0.47706422018348627,47,0.04794915807509566,0.010594628629074997,0.16182419702584666
map,maze-32-32-4,0.02,218,152,0.6972477064220184,47,0.04794915807509566,0.010594628629074997,0.16182419702584666
map,maze-32-32-4,0.05,218,182,0.8348623853211009,47,0.04794915807509566,0.010594628629074997,0.16182419702584666
map,random-32-32-20,0.001,240,35,0.14583333333333334,27,0.026983657646671266,0.011174449780999999,0.08059018795047869
map,random-32-32-20,0.0025,240,53,0.22083333333333333,27,0.026983657646671266,0.011174449780999999,0.08059018795047869
map,random-32-32-20,0.005,240,73,0.30416666666666664,27,0.026983657646671266,0.011174449780999999,0.08059018795047869
map,random-32-32-20,0.01,240,109,0.45416666666666666,27,0.026983657646671266,0.011174449780999999,0.08059018795047869
map,random-32-32-20,0.02,240,174,0.725,27,0.026983657646671266,0.011174449780999999,0.08059018795047869
map,random-32-32-20,0.05,240,222,0.925,27,0.026983657646671266,0.011174449780999999,0.08059018795047869
map,random-64-64-20,0.001,240,53,0.22083333333333333,45,0.00954428496665848,0.0033964114088649994,0.0145904583220885
map,random-64-64-20,0.0025,240,101,0.42083333333333334,45,0.00954428496665848,0.0033964114088649994,0.0145904583220885
map,random-64-64-20,0.005,240,150,0.625,45,0.00954428496665848,0.0033964114088649994,0.0145904583220885
map,random-64-64-20,0.01,240,202,0.8416666666666667,45,0.00954428496665848,0.0033964114088649994,0.0145904583220885
map,random-64-64-20,0.02,240,232,0.9666666666666667,45,0.00954428496665848,0.0033964114088649994,0.0145904583220885
map,random-64-64-20,0.05,240,238,0.9916666666666667,45,0.00954428496665848,0.0033964114088649994,0.0145904583220885
map,room-64-64-8,0.001,240,36,0.15,57,0.013358389145580166,0.005683768067955,0.023136174639126296
map,room-64-64-8,0.0025,240,74,0.30833333333333335,57,0.013358389145580166,0.005683768067955,0.023136174639126296
map,room-64-64-8,0.005,240,111,0.4625,57,0.013358389145580166,0.005683768067955,0.023136174639126296
map,room-64-64-8,0.01,240,166,0.6916666666666667,57,0.013358389145580166,0.005683768067955,0.023136174639126296
map,room-64-64-8,0.02,240,210,0.875,57,0.013358389145580166,0.005683768067955,0.023136174639126296
map,room-64-64-8,0.05,240,234,0.975,57,0.013358389145580166,0.005683768067955,0.023136174639126296
map,warehouse-10-20-10-2-1,0.001,239,34,0.14225941422594143,40,0.015465242854473047,0.008023535704699998,0.05546026269113369
map,warehouse-10-20-10-2-1,0.0025,239,62,0.2594142259414226,40,0.015465242854473047,0.008023535704699998,0.05546026269113369
map,warehouse-10-20-10-2-1,0.005,239,95,0.39748953974895396,40,0.015465242854473047,0.008023535704699998,0.05546026269113369
map,warehouse-10-20-10-2-1,0.01,239,141,0.5899581589958159,40,0.015465242854473047,0.008023535704699998,0.05546026269113369
map,warehouse-10-20-10-2-1,0.02,239,198,0.8284518828451883,40,0.015465242854473047,0.008023535704699998,0.05546026269113369
map,warehouse-10-20-10-2-1,0.05,239,234,0.9790794979079498,40,0.015465242854473047,0.008023535704699998,0.05546026269113369
map,warehouse-10-20-10-2-2,0.001,240,83,0.3458333333333333,88,0.005733376699529175,0.001893603688185,0.006057572777045291
