theta_parameter,top_zero_regression_candidate_count,min,max,mean,current_static_flow_value,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
theta_alpha_cong_commit_progress,100,1.25,1.25,1.25,1.25,False,False,False,False,False
theta_alpha_cong_commit_nonprogress,100,0.534567430865,1.72379255241,1.23078052968,1.25,False,False,False,False,False
theta_alpha_cong_block,100,1.25,1.25,1.25,1.25,False,False,False,False,False
theta_alpha_cong_wait_progress,100,0.75,0.75,0.75,0.75,False,False,False,False,False
theta_alpha_cong_wait_nonprogress,100,0.75,0.75,0.75,0.75,False,False,False,False,False
theta_alpha_flow_commit_progress,100,1,1,1,1,False,False,False,False,False
theta_alpha_flow_wait_progress,100,0.46908414834,1.21,0.968439343095,0,False,False,False,False,False
theta_rho_cong_decay,100,0.95,0.95,0.95,0.95,False,False,False,False,False
theta_rho_flow_decay,100,1,1,1,1,False,False,False,False,False
theta_lambda_cong,100,0.503962992074,1.300500399,0.871647809607,1,False,False,False,False,False
theta_lambda_flow,100,0.00687448625103,1.49488951022,0.878421145175,0,False,False,False,False,False
theta_flow_shield_beta,100,0.214800970398,0.646481107038,0.377106971046,0.35,False,False,False,False,False
theta_max_flow_shield,100,0.585,1.23259178482,0.804628097344,0.75,False,False,False,False,False
theta_min_edge_cost,100,0.358075883848,1,0.938269833629,1,False,False,False,False,False
theta_max_edge_cost,100,8.07807984384,12,10.6804935859,11,False,False,False,False,False
theta_goal_projection_mode_flow_shield,100,0,1,0.76,1,False,False,False,False,False
theta_goal_projection_mode_agent_progress,100,0,1,0.05,0,False,False,False,False,False
theta_goal_projection_mode_none,100,0,1,0.19,0,False,False,False,False,False
