split,sample_count,non_neutral_count,harmful_update_count,feature_count,rule_vocab,rule_class_distribution,best_rule_histogram
all,4,4,2,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 1, ""commit_heavy"": 1, ""decay_090"": 1, ""wait_light"": 1}","{""block_heavy"": 1, ""commit_heavy"": 1, ""decay_090"": 1, ""wait_light"": 1}"
train,4,4,2,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 1, ""commit_heavy"": 1, ""decay_090"": 1, ""wait_light"": 1}","{""block_heavy"": 1, ""commit_heavy"": 1, ""decay_090"": 1, ""wait_light"": 1}"
