field,leakage_risk,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
theta_alpha_cong_commit_progress,allowed_pre_update_or_theta,False,False,False,False,False
theta_alpha_cong_commit_nonprogress,allowed_pre_update_or_theta,False,False,False,False,False
theta_alpha_cong_block,allowed_pre_update_or_theta,False,False,False,False,False
theta_alpha_cong_wait_progress,allowed_pre_update_or_theta,False,False,False,False,False
theta_alpha_cong_wait_nonprogress,allowed_pre_update_or_theta,False,False,False,False,False
theta_alpha_flow_commit_progress,allowed_pre_update_or_theta,False,False,False,False,False
theta_alpha_flow_wait_progress,allowed_pre_update_or_theta,False,False,False,False,False
theta_rho_cong_decay,allowed_pre_update_or_theta,False,False,False,False,False
theta_rho_flow_decay,allowed_pre_update_or_theta,False,False,False,False,False
theta_lambda_cong,allowed_pre_update_or_theta,False,False,False,False,False
theta_lambda_flow,allowed_pre_update_or_theta,False,False,False,False,False
theta_flow_shield_beta,allowed_pre_update_or_theta,False,False,False,False,False
theta_max_flow_shield,allowed_pre_update_or_theta,False,False,False,False,False
theta_min_edge_cost,allowed_pre_update_or_theta,False,False,False,False,False
theta_max_edge_cost,allowed_pre_update_or_theta,False,False,False,False,False
theta_goal_projection_mode_flow_shield,allowed_pre_update_or_theta,False,False,False,False,False
theta_goal_projection_mode_agent_progress,allowed_pre_update_or_theta,False,False,False,False,False
theta_goal_projection_mode_none,allowed_pre_update_or_theta,False,False,False,False,False
distance_from_g554_c00051,allowed_pre_update_or_theta,False,False,False,False,False
distance_from_old_hand_staticflow,allowed_pre_update_or_theta,False,False,False,False,False
map_family,allowed_pre_update_or_theta,False,False,False,False,False
map,allowed_pre_update_or_theta,False,False,False,False,False
agents,allowed_pre_update_or_theta,False,False,False,False,False
nominal_budget_ms,allowed_pre_update_or_theta,False,False,False,False,False
short_budget_ms,allowed_pre_update_or_theta,False,False,False,False,False
base_time_limit_sec,allowed_pre_update_or_theta,False,False,False,False,False
ltm_max_iterations,allowed_pre_update_or_theta,False,False,False,False,False
horizon_id,allowed_pre_update_or_theta,False,False,False,False,False
source_round,allowed_pre_update_or_theta,False,False,False,False,False
candidate_family,allowed_pre_update_or_theta,False,False,False,False,False
candidate_success,forbidden,False,False,False,False,False
baseline_success,forbidden,False,False,False,False,False
success_regression,forbidden,False,False,False,False,False
success_gain,forbidden,False,False,False,False,False
both_success,forbidden,False,False,False,False,False
quality_delta,forbidden,False,False,False,False,False
future_replay_outcome,forbidden,False,False,False,False,False
oracle_label,forbidden,False,False,False,False,False
post_hoc_rank,forbidden,False,False,False,False,False
