plan_row_id,replay_phase,context_id,g566_dataset_row_id,g566_instance_uid,g566_evaluation_uid,g566_identity_digest,g566_scenario_sha256,g566_physical_map_sha256,g566_assignment_sha256,split,map,map_family,agents,agent_count,seed,budget_ms,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,horizon_id,role,candidate_id,theta_id,materialized_method,generated_theta_uid,sampling_policy,model_path,variant_id,actor_training_seed,expected_updateparams_fingerprint,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none
g566_development_three_tier_00000000,development_three_tier,g566_valid_000007,g566_valid_000007,dd82385971706a81e17754d8f6870dd29f680d7115ecfbb1e3f589dcfb9db4cd,219ae2153a0ea770deaa227cc538c6c3945b9c2e88d1d7b39572d8fab00a86f5,6f3383371416f2d9197643cdd4bf5f9132cb11a99cfbcd88cf2f4bb506b5083a,abdc8602ee36958ac837431b13832926984f28923ba27353bc2d550aa1a7f956,8fe1eb935524ce26bbdd9a46654fa81b05aca8426679db38bf5cc04201fb164d,2f0b4e960f82f4b35a9f7380cf0b80229e3dda9d2cbf14da5db6607f9eac1db4,VALIDATION,g566-loop-32x32-a-v0,loop,80,80,566000008,8000,8000,8000,8.0,8,budget8000_ltm8,no_ltm_diagnostic,lacam_star,lacam_star,lacam_star,,LaCAM* no-LTM diagnostic,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_development_three_tier_00000001,development_three_tier,g566_valid_000008,g566_valid_000008,fce9dd0bf92e59de2bb14f20a21fd7ed8d3b1992d3a3e9d219dff5c99315c060,5f64d2a3638b225083f32065ffae192907871b0a67a3d1474a5c00eb003b64be,647cc432b3e4d9e90e0584b265a0396af9424219af3f90df2ff7f39a11181392,887ef897e973920bdad514a5bc4467d70e2290fbee131e3539cabb1965b6145b,8fe1eb935524ce26bbdd9a46654fa81b05aca8426679db38bf5cc04201fb164d,8448d46110cafcc0952d8d05d4b286af5004b3afd44f5151fe3418bbbb626eb6,VALIDATION,g566-tree-32x32-a-v1,tree,8,8,566000009,750,750,750,0.75,2,budget750_ltm2,no_ltm_diagnostic,lacam_star,lacam_star,lacam_star,,LaCAM* no-LTM diagnostic,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_development_three_tier_00000002,development_three_tier,g566_valid_000009,g566_valid_000009,e9372ffa673f824fc7bef823d7ca671f4dfb4974c998b022078649325f75f25c,bfac17f96f1ad52ecfb2fc09dbe683762ffcfe941b0229c30b8346607082248b,2e948436fbf302abc5f666e1a1ee75a79a2e068a216fa894ad32516d8a3bb82d,cd39ec8045d310eddde3903e52ff7274748230797fc4629dd1421f9e4382d52b,0197b70e303a767a3e4f14a4bd66438add49ea905257d25924a6c1c56b4cf02f,babd4a131330acea06eab4504f4abd0a668dc14b0e23c20649a4ebc828ba56af,CALIBRATION,g566-string-32x24-a-v2,irregular_bottleneck,12,12,566000010,1500,1500,1500,1.5,3,budget1500_ltm3,no_ltm_diagnostic,lacam_star,lacam_star,lacam_star,,LaCAM* no-LTM diagnostic,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_development_three_tier_00000003,development_three_tier,g566_valid_000010,g566_valid_000010,82a46153a30e201a17fe4365d45e5b2bbca313e17e14f38cc63790cbd8bf930f,851d4e4a2eb11923e9a664621b76fad1a7aa991ea5332b5ae509374683cd97d4,3a640fed6b137bb65737ac46bac2f6c393d0e61d53e9a13ddd4ecd415aac7b1d,46fa89377dc0f1952a9d812232ddc6232037e7f2c98758b78ce698b759a2a069,bcbaf861f3cab296520618d4834f374d8ca9ad13ca1b3e5d97a462fa142a8598,ad99e98669fb3900310e034fed7ea886cf843eca547fe06cdef31f0a937aa077,VALIDATION,g566-corners-48x48-a-v3,irregular_bottleneck,16,16,566000011,3000,3000,3000,3.0,4,budget3000_ltm4,no_ltm_diagnostic,lacam_star,lacam_star,lacam_star,,LaCAM* no-LTM diagnostic,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_development_three_tier_00000004,development_three_tier,g566_valid_000013,g566_valid_000013,0ba271b5343db67b882df1b279bf96da34eb8f0ed44365ad81b04b3543ba9dbc,c6eb9a6671e43216af31c4b3589ec6f3976ceba36ef711ba01a320c691a28125,28014a8aeb40696d5968c55b0b8eb21572d5778f18859cae661a76ae21aad44b,0aa03a5f37c57418fda7db095914c4f568caf2479380c6b8197081148cc12130,6cbec0d0f2bb9a77409b5b66ae45c8dfaf912ce867841348ae1983de4a24226c,c9b70ee680896250a7099a86eb4611dde3c7839dc4e9f100e28c31712fee30df,VALIDATION,g566-lanes-64x48-a-v2,lanes,48,48,566000014,1500,1500,1500,1.5,3,budget1500_ltm3,no_ltm_diagnostic,lacam_star,lacam_star,lacam_star,,LaCAM* no-LTM diagnostic,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_development_three_tier_00000005,development_three_tier,g566_valid_000015,g566_valid_000015,8525d93f24c2f404b8d8081acd5363b77e387abc6c03e6b04c6dd57e6979b19d,b16124a2baa0e7220b246ca029bbb72ee4e5849f3ad7606c85350cd132c1303c,24d278feaf578181d840cfa44bd1610b785a086164e11745db63c0e1ad7ffbf0,279953a6bdbcf85120680c018a7f4cbc6de4bdf5b34f2f8cd0f552ade14b7135,640e7429271a0380ac7b38863741633be9103b07793fc11398fb7e86b9fb27f0,4cf0a4bbcf4642cef7d5f03dcfb66dc53c38f558596d2d4bf4ec83b996ce713b,VALIDATION,g566-islands-72x48-a-v0,islands,80,80,566000016,8000,8000,8000,8.0,8,budget8000_ltm8,no_ltm_diagnostic,lacam_star,lacam_star,lacam_star,,LaCAM* no-LTM diagnostic,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_development_three_tier_00000006,development_three_tier,g566_valid_000018,g566_valid_000018,1dc60b1194268476fb9ceb24ee62028050918cf7b20ee53e55f9608d17fb0524,337e64278e011ac62cf8dc6b3d7f025ac95c9bdc8e33caf170db5abe0f73a8d3,ed67be5b263ba5174d8d301da8b029d71a43cb0ebae26266633270033402c2ed,bdde089b37cc529f5520ad7318a3cd2034962d368829055e5b74934499bfac1f,f75108a4c18846c078b1ca449a14a2a1749984ecd7414714470cc8027a0d88ca,df625f9dc4e33e8c56957a5fe888de6db1443cdddd78e4d3698498e9e7e67a79,CALIBRATION,g566-empty-16x16-v3,empty,16,16,566000019,3000,3000,3000,3.0,4,budget3000_ltm4,no_ltm_diagnostic,lacam_star,lacam_star,lacam_star,,LaCAM* no-LTM diagnostic,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_development_three_tier_00000007,development_three_tier,g566_valid_000019,g566_valid_000019,1d69c0c16cd274ae939e7b9fa6c597ce6da4cfbc704e940885bda719135b2120,ca1d6167d11c11421c13dcffd818a05a0e3eb505f56a34a9e18283a996f7bc4f,a05b14fd721cae387be27a3cab539da27c734048bf641cdbd9d8f8d230aa63ed,90c9968412c6ab201b0b5d8272606bf97ec5cd6cc46e53bdd4cfe456db116f9a,0e7709c43cdb56767ac1f1c996151587450d6adfa62e1017179929e152a3cb29,fafe2343eb5131925228fd0342de138b4b1c97cedb581cb6715ffed81737ec9a,CALIBRATION,g566-empty-48x32-v0,empty,24,24,566000020,8000,8000,8000,8.0,8,budget8000_ltm8,no_ltm_diagnostic,lacam_star,lacam_star,lacam_star,,LaCAM* no-LTM diagnostic,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_development_three_tier_00000008,development_three_tier,g566_valid_000027,g566_valid_000027,333b1f47722881dc22bad17221c325c835790c4f8ce7ca37430a3d2468289fcb,0b8a8e5e785058a86d56d8a53d59ace12b558bbabb9a17e832d39c7b692a1aaf,849e002b21e71577d685cedd5e03eb69994effa0c478711fc074f51ef7480a01,80b2386706fbd18d62a738edf8351276c5e484d58f333d62bec1906997a69907,bcbaf861f3cab296520618d4834f374d8ca9ad13ca1b3e5d97a462fa142a8598,3225c5b1843789317985ecc498064226e2ad92c66a01221363df6cf29caa1be2,VALIDATION,g566-connector-48x48-a-v0,connector,24,24,566000028,8000,8000,8000,8.0,8,budget8000_ltm8,no_ltm_diagnostic,lacam_star,lacam_star,lacam_star,,LaCAM* no-LTM diagnostic,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_development_three_tier_00000009,development_three_tier,g566_valid_000034,g566_valid_000034,0227b886bea069b7444376a9069715d9a12e0cfa688c3e7e5ce24320f2c1e3cc,96285a833df07285bb3364a55ecea37af9c159e469cfb4031281afd02380b0ab,628c20aa81e1cd72ea1e115d7f809dfc3d6dda366f70e65186403f054dd24acb,f9d3845c57db4f0afb592f50169943bf0b4727b27767a722fe0a70d9cf598312,567c519c01c527d3efb583d31c886515abe3709a5993eb37517523f3a1e69771,a1f3192198631a998dffd5803f6e35f0ede433791f71ef292e88878908a054fc,VALIDATION,g566-lanes-48x32-a-v3,lanes,16,16,566000035,3000,3000,3000,3.0,4,budget3000_ltm4,no_ltm_diagnostic,lacam_star,lacam_star,lacam_star,,LaCAM* no-LTM diagnostic,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
